"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"i",1,3.53531957968047,4.04565444768758
3,"i",2,1.85125750979379,4.58062289472694
4,"i",3,1.55075076325873,4.26750045493167
5,"i",4,1.16886169020482,3.81619879917806
6,"-VI",5,4.14580651241937,4.33384772175932
7,"v",6,4.18227653169978,3.81635184311429
8,"iv",6,1.61181510169955,3.79119553944711
9,"iv",7,4.61289261873211,4.96927599236379
10,"-VI",4,2.20102745890859,4.81870507725027
11,"v",4,1.8037456666708,4.44421496089222
12,"iv",4,0.91347718214127,3.30049955904682
13,"iv",6,3.90544002676967,4.80109704346947
14,"-III",4,5.43641912229905,4.81870507725027
15,"-VII",3,3.61135440246165,5.16009529849157
16,"i",4,3.43238470113649,4.35728615745483
17,"i",4,3.08180549940724,4.86706791347929
18,"i",5,3.0853129069622,4.82814884579783
19,"i",6,2.34328129402037,4.64748601273355
20,"i",7,2.50270052419248,4.1257079686176
21,"i",7,1.6306779263244,4.27015561649422
22,"i",8,1.46502973530703,3.98564045062149
23,"i",9,1.4765484451512,4.1448087060081
24,"-VII",10,3.98110455269534,4.2659233067552
25,"-VII",10,2.97304707001553,4.25625042703717
26,"-VI",10,2.54418668108154,4.41304445509484
27,"iv",6,6.57940666325824,2.32828385176757
28,"-III",3,5.14560403630123,5.3006602444976
29,"-VII",3,4.54843366298565,5.22632438188399
30,"i",3,3.03379565576557,4.79220649318124
31,"i",4,3.08180549940724,4.86706791347929
32,"i",5,3.0853129069622,4.82814884579783
33,"i",6,2.34328129402037,4.64748601273355
34,"-VII",7,1.85122637580103,4.1257079686176
35,"-VII",6,2.9549780289986,4.04625701586016
36,"-VI",6,1.96724280958295,4.41902377920208
37,"iv",6,6.57940666325824,2.32828385176757
38,"-III",3,5.14560403630123,5.3006602444976
39,"-VII",3,4.54843366298565,5.22632438188399
40,"i",3,3.03379565576557,4.79220649318124
41,"i",4,3.08180549940724,4.86706791347929
42,"i",5,3.0853129069622,4.82814884579783
43,"i",6,2.34328129402037,4.64748601273355
44,"-III",7,4.53028823422818,4.1257079686176
45,"-III",6,1.70891089001937,4.34548271392416
46,"-VI",7,5.40468376167208,4.26952467077652
47,"iv",3,4.43682212450726,5.18737784266053
48,"-III",4,5.40358575111011,4.86902284210916
49,"-VII",3,4.54843366298565,5.22632438188399
50,"i",3,3.03379565576557,4.79220649318124
51,"i",4,3.08180549940724,4.86706791347929
52,"i",5,3.0853129069622,4.82814884579783
53,"i",6,2.34328129402037,4.64748601273355
54,"-III",7,4.53028823422818,4.1257079686176
55,"-III",6,1.70891089001937,4.34548271392416
56,"-VI",7,5.40468376167208,4.26952467077652
57,"iv",3,4.43682212450726,5.18737784266053
58,"-III",4,5.40358575111011,4.86902284210916
59,"-VII",3,4.54843366298565,5.22632438188399
60,"i",3,3.03379565576557,4.79220649318124
61,"i",4,3.08180549940724,4.86706791347929
62,"i",5,3.0853129069622,4.82814884579783
63,"i",6,2.34328129402037,4.64748601273355
64,"i",7,2.50270052419248,4.1257079686176
65,"i",7,1.6306779263244,4.27015561649422
66,"i",8,1.46502973530703,3.98564045062149
67,"i",9,1.4765484451512,4.1448087060081
68,"-III",10,4.08880470668159,4.2659233067552
69,"-III",10,3.77255574378231,4.51709368287807
70,"-VI",7,5.61378216476502,3.82782406720794
71,"iv",3,4.43682212450726,5.18737784266053
72,"-III",4,5.40358575111011,4.86902284210916
73,"-VII",3,4.54843366298565,5.22632438188399
74,"i",3,3.03379565576557,4.79220649318124
75,"i",4,3.08180549940724,4.86706791347929
76,"i",5,3.0853129069622,4.82814884579783
77,"i",6,2.34328129402037,4.64748601273355
78,"-III",7,4.53028823422818,4.1257079686176
79,"-III",6,1.70891089001937,4.34548271392416
80,"-VI",7,5.40468376167208,4.26952467077652
81,"iv",3,4.43682212450726,5.18737784266053
82,"-III",4,5.40358575111011,4.86902284210916
83,"-VII",3,4.54843366298565,5.22632438188399
84,"i",3,3.03379565576557,4.79220649318124
85,"i",4,3.08180549940724,4.86706791347929
86,"i",5,3.0853129069622,4.82814884579783
87,"i",6,2.34328129402037,4.64748601273355
88,"-III",7,4.53028823422818,4.1257079686176
89,"-III",6,1.70891089001937,4.34548271392416
90,"-VI",7,5.40468376167208,4.26952467077652
91,"iv",3,4.43682212450726,5.18737784266053
92,"-III",4,5.40358575111011,4.86902284210916
93,"-VII",3,4.54843366298565,5.22632438188399
94,"i",3,3.03379565576557,4.79220649318124
95,"i",4,3.08180549940724,4.86706791347929
96,"i",5,3.0853129069622,4.82814884579783
97,"i",6,2.34328129402037,4.64748601273355
98,"-III",7,4.53028823422818,4.1257079686176
99,"-III",6,1.70891089001937,4.34548271392416
100,"-VI",7,5.40468376167208,4.26952467077652
101,"-VI",3,3.38725828313041,5.18737784266053
102,"-VI",4,3.44095971629804,4.96388964323174
103,"v",5,4.70825121193541,4.5440234822554
104,"iv",4,5.29583208073511,3.46264819906435
105,"iv",3,4.34754563130181,5.28202735773505
106,"-VI",4,2.20102745890859,4.81870507725027
107,"v",4,1.8037456666708,4.44421496089222
108,"iv",4,0.91347718214127,3.30049955904682
109,"iv",6,3.90544002676967,4.80109704346947
110,"-VI",4,2.20102745890859,4.81870507725027
111,"v",4,1.8037456666708,4.44421496089222
112,"iv",4,0.91347718214127,3.30049955904682
113,"iv",6,3.90544002676967,4.80109704346947
114,"-VI",4,2.20102745890859,4.81870507725027
115,"v",4,1.8037456666708,4.44421496089222
116,"iv",4,0.91347718214127,3.30049955904682
117,"iv",6,3.90544002676967,4.80109704346947
118,"-III",4,5.43641912229905,4.81870507725027
119,"-VII",3,3.61135440246165,5.16009529849157
120,"i",4,3.43238470113649,4.35728615745483
121,"i",4,3.08180549940724,4.86706791347929
122,"i",5,3.0853129069622,4.82814884579783
123,"i",6,2.34328129402037,4.64748601273355
124,"i",7,2.50270052419248,4.1257079686176
125,"i",7,1.6306779263244,4.27015561649422
126,"i",8,1.46502973530703,3.98564045062149
127,"i",9,1.4765484451512,4.1448087060081
128,"-III",10,4.08880470668159,4.2659233067552
129,"-III",10,3.77255574378231,4.51709368287807
130,"-VI",7,5.61378216476502,3.82782406720794
131,"iv",3,4.43682212450726,5.18737784266053
132,"-III",4,5.40358575111011,4.86902284210916
133,"-VII",3,4.54843366298565,5.22632438188399
134,"i",3,3.03379565576557,4.79220649318124
135,"i",4,3.08180549940724,4.86706791347929
136,"i",5,3.0853129069622,4.82814884579783
