"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,59,"vi",4,4.90807143936955,4.28724182293511,"vi",4,4.90807143936955,4.28724182293511,
1,60,"II",3,3.58740056151338,5.14701609459852,"II",3,3.58740056151338,5.14701609459852,
1,61,"IV",4,3.84892935394162,4.40153200460772,"IV",4,3.84892935394162,4.40153200460772,
1,62,"vi",4,6.06781373655711,4.09672979624398,"vi",4,6.06781373655711,4.09672979624398,
1,63,"ii",3,4.95428035468255,4.93846029938263,"ii",3,4.95428035468255,4.93846029938263,
1,64,"III",3,5.8348747533384,5.07335213507081,"VI",3,5.82568519166617,5.07335213507081,0.00918956167223151
1,65,"vi",3,3.46744200800569,4.42583889325016,"vi",3,6.30489870690789,4.4164742641511,
1,66,"vi",3,4.42823231405932,5.0690198293679,"vi",2,3.5460837453386,5.26730427338291,
1,67,"II",3,3.58740056151338,5.14701609459852,"II",3,4.78144101442645,5.18364955245042,
1,68,"IV",4,3.84892935394162,4.40153200460772,"IV",3,3.51614555438472,4.76643708505501,
1,69,"IV",4,3.99600006095068,4.09672979624398,"IV",4,3.99600006095068,4.09672979624398,
,,,,,,,,,,
2,57,"III",8,5.19063048961276,4.34383060863662,"III",8,5.19063048961276,4.34383060863662,
2,58,"vi",4,3.33881775128375,3.99801348696062,"vi",4,3.33881775128375,3.99801348696062,
2,59,"vi",4,4.90807143936955,4.28724182293511,"vi",4,4.90807143936955,4.28724182293511,
2,60,"II",3,3.58740056151338,5.14701609459852,"II",3,3.58740056151338,5.14701609459852,
2,61,"IV",4,3.84892935394162,4.40153200460772,"IV",4,3.84892935394162,4.40153200460772,
2,62,"vi",4,6.06781373655711,4.09672979624398,"-VII",4,6.05090487031632,4.09672979624398,0.0169088662407919
2,63,"ii",3,4.95428035468255,4.93846029938263,"ii",3,5.62032579117876,5.03634141704006,
2,64,"III",3,5.8348747533384,5.07335213507081,"III",3,6.0243789113851,5.17170995429048,
2,65,"vi",3,3.46744200800569,4.42583889325016,"vi",2,3.13439559814693,5.00184428322042,
2,66,"vi",3,4.42823231405932,5.0690198293679,"vi",3,4.42823231405932,5.0690198293679,
2,67,"II",3,3.58740056151338,5.14701609459852,"II",3,3.58740056151338,5.14701609459852,
,,,,,,,,,,
3,11,"IV",6,5.71047986674127,3.21484757344623,"IV",6,5.71047986674127,3.21484757344623,
3,12,"I",4,3.11015356241764,4.52535731810261,"I",4,3.11015356241764,4.52535731810261,
3,13,"IV",5,4.11674592575029,4.77042622904314,"IV",5,4.11674592575029,4.77042622904314,
3,14,"I",5,3.47830990171135,4.71911358578708,"I",5,3.47830990171135,4.71911358578708,
3,15,"ii",5,4.16004143159182,5.02826123573333,"ii",5,4.16004143159182,5.02826123573333,
3,16,"V",6,3.41791893798232,4.33137855015001,"IV",6,3.44117278763383,4.33137855015001,0.0232538496515104
3,17,"I",6,2.36872444278133,4.11226403885312,"I",6,2.26258250117293,3.87329864109857,
3,18,"ii",6,4.50102177750383,4.97729340798572,"ii",7,2.54498991382404,3.86383367284287,
3,19,"V",6,2.62730226763941,3.83217557026064,"V",6,5.85339389643389,0.773634946761719,
3,20,"IV",6,5.71047986674127,3.21484757344623,"IV",6,2.94425915966855,4.62098601995391,
3,21,"I",4,3.11015356241764,4.52535731810261,"I",6,1.3992644642169,3.6231194651207,
,,,,,,,,,,
4,20,"IV",6,5.71047986674127,3.21484757344623,"IV",6,5.71047986674127,3.21484757344623,
4,21,"I",4,3.11015356241764,4.52535731810261,"I",4,3.11015356241764,4.52535731810261,
4,22,"IV",5,4.11674592575029,4.77042622904314,"IV",5,4.11674592575029,4.77042622904314,
4,23,"I",5,3.47830990171135,4.71911358578708,"I",5,3.47830990171135,4.71911358578708,
4,24,"ii",5,4.16004143159182,5.02826123573333,"ii",5,4.16004143159182,5.02826123573333,
4,25,"V",6,3.41791893798232,4.33137855015001,"IV",6,3.44117278763383,4.33137855015001,0.0232538496515104
4,26,"I",6,2.36872444278133,4.11226403885312,"I",6,2.26258250117293,3.87329864109857,
4,27,"ii",6,4.50102177750383,4.97729340798572,"ii",7,2.54498991382404,3.86383367284287,
4,28,"V",6,2.62730226763941,3.83217557026064,"V",6,5.85339389643389,0.773634946761719,
4,29,"IV",6,5.71047986674127,3.21484757344623,"IV",6,2.94425915966855,4.62098601995391,
4,30,"I",4,3.11015356241764,4.52535731810261,"I",6,1.3992644642169,3.6231194651207,
,,,,,,,,,,
5,29,"IV",6,5.71047986674127,3.21484757344623,"IV",6,5.71047986674127,3.21484757344623,
5,30,"I",4,3.11015356241764,4.52535731810261,"I",4,3.11015356241764,4.52535731810261,
5,31,"IV",5,4.11674592575029,4.77042622904314,"IV",5,4.11674592575029,4.77042622904314,
5,32,"I",5,3.47830990171135,4.71911358578708,"I",5,3.47830990171135,4.71911358578708,
5,33,"ii",5,4.16004143159182,5.02826123573333,"ii",5,4.16004143159182,5.02826123573333,
5,34,"V",6,3.41791893798232,4.33137855015001,"IV",6,3.44117278763383,4.33137855015001,0.0232538496515104
5,35,"I",6,2.36872444278133,4.11226403885312,"I",6,2.26258250117293,3.87329864109857,
5,36,"ii",6,4.50102177750383,4.97729340798572,"ii",7,2.54498991382404,3.86383367284287,
5,37,"V",6,2.62730226763941,3.83217557026064,"V",6,5.85339389643389,0.773634946761719,
5,38,"IV",6,5.71047986674127,3.21484757344623,"IV",6,2.94425915966855,4.62098601995391,
5,39,"I",4,3.11015356241764,4.52535731810261,"I",6,1.3992644642169,3.6231194651207,
,,,,,,,,,,
6,38,"IV",6,5.71047986674127,3.21484757344623,"IV",6,5.71047986674127,3.21484757344623,
6,39,"I",4,3.11015356241764,4.52535731810261,"I",4,3.11015356241764,4.52535731810261,
6,40,"IV",5,4.11674592575029,4.77042622904314,"IV",5,4.11674592575029,4.77042622904314,
6,41,"I",5,3.47830990171135,4.71911358578708,"I",5,3.47830990171135,4.71911358578708,
6,42,"ii",5,4.16004143159182,5.02826123573333,"ii",5,4.16004143159182,5.02826123573333,
6,43,"V",6,3.41791893798232,4.33137855015001,"IV",6,3.44117278763383,4.33137855015001,0.0232538496515104
6,44,"I",6,2.36872444278133,4.11226403885312,"I",6,2.26258250117293,3.87329864109857,
6,45,"ii",6,4.50102177750383,4.97729340798572,"ii",7,2.54498991382404,3.86383367284287,
