"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"IV",1,4.80290618807671,4.04465863263071
3,"I",2,3.82796765105938,5.18731731180466
4,"IV",3,4.023561968153,5.23351268791003
5,"I",4,1.80099545707338,4.60965010514629
6,"ii",5,4.48723958660353,5.02162838554143
7,"V",5,3.1464636536184,4.77189188339451
8,"I",6,2.36872444278133,4.11226403885312
9,"ii",6,4.50102177750383,4.97729340798572
10,"V",6,2.62730226763941,3.83217557026064
11,"IV",6,5.71047986674127,3.21484757344623
12,"I",4,3.11015356241764,4.52535731810261
13,"IV",5,4.11674592575029,4.77042622904314
14,"I",5,3.47830990171135,4.71911358578708
15,"ii",5,4.16004143159182,5.02826123573333
16,"V",6,3.41791893798232,4.33137855015001
17,"I",6,2.36872444278133,4.11226403885312
18,"ii",6,4.50102177750383,4.97729340798572
19,"V",6,2.62730226763941,3.83217557026064
20,"IV",6,5.71047986674127,3.21484757344623
21,"I",4,3.11015356241764,4.52535731810261
22,"IV",5,4.11674592575029,4.77042622904314
23,"I",5,3.47830990171135,4.71911358578708
24,"ii",5,4.16004143159182,5.02826123573333
25,"V",6,3.41791893798232,4.33137855015001
26,"I",6,2.36872444278133,4.11226403885312
27,"ii",6,4.50102177750383,4.97729340798572
28,"V",6,2.62730226763941,3.83217557026064
29,"IV",6,5.71047986674127,3.21484757344623
30,"I",4,3.11015356241764,4.52535731810261
31,"IV",5,4.11674592575029,4.77042622904314
32,"I",5,3.47830990171135,4.71911358578708
33,"ii",5,4.16004143159182,5.02826123573333
34,"V",6,3.41791893798232,4.33137855015001
35,"I",6,2.36872444278133,4.11226403885312
36,"ii",6,4.50102177750383,4.97729340798572
37,"V",6,2.62730226763941,3.83217557026064
38,"IV",6,5.71047986674127,3.21484757344623
39,"I",4,3.11015356241764,4.52535731810261
40,"IV",5,4.11674592575029,4.77042622904314
41,"I",5,3.47830990171135,4.71911358578708
42,"ii",5,4.16004143159182,5.02826123573333
43,"V",6,3.41791893798232,4.33137855015001
44,"I",6,2.36872444278133,4.11226403885312
45,"ii",6,4.50102177750383,4.97729340798572
46,"V",6,2.62730226763941,3.83217557026064
47,"IV",6,5.71047986674127,3.21484757344623
48,"IV",4,3.03421973831842,4.52535731810261
49,"I",5,1.29495926031356,3.78661576472481
50,"V",6,4.28441104227901,4.18086847774687
51,"vi",5,3.95299295415268,4.71534452072425
52,"ii",5,5.30481269820511,4.1365947004702
53,"V",4,1.35262463089104,4.10146904469772
54,"I",5,2.36923380013932,4.81554519702277
55,"V",5,1.03837040383452,3.72495395087066
56,"vi",7,2.26780477551831,4.38624968600915
57,"III",8,5.19063048961276,4.34383060863662
58,"vi",4,3.33881775128375,3.99801348696062
59,"vi",4,4.90807143936955,4.28724182293511
60,"II",3,3.58740056151338,5.14701609459852
61,"IV",4,3.84892935394162,4.40153200460772
62,"vi",4,6.06781373655711,4.09672979624398
63,"ii",3,4.95428035468255,4.93846029938263
64,"III",3,5.8348747533384,5.07335213507081
65,"vi",3,3.46744200800569,4.42583889325016
66,"vi",3,4.42823231405932,5.0690198293679
67,"II",3,3.58740056151338,5.14701609459852
68,"IV",4,3.84892935394162,4.40153200460772
69,"IV",4,3.99600006095068,4.09672979624398
70,"IV",4,4.25427590328869,4.52621003270379
71,"I",4,4.20673668818938,4.96669308997706
72,"IV",4,3.86306366496094,5.07339665031831
73,"I",5,2.27449394843287,4.54404792203846
74,"ii",6,4.08675461411067,4.54873964719999
75,"V",6,3.34880422472228,4.50396894131685
76,"I",6,2.36872444278133,4.11226403885312
77,"ii",6,4.50102177750383,4.97729340798572
78,"V",6,2.62730226763941,3.83217557026064
79,"IV",6,5.71047986674127,3.21484757344623
80,"I",4,3.11015356241764,4.52535731810261
81,"IV",5,4.11674592575029,4.77042622904314
82,"I",5,3.47830990171135,4.71911358578708
83,"ii",5,4.16004143159182,5.02826123573333
84,"V",6,3.41791893798232,4.33137855015001
85,"I",6,2.36872444278133,4.11226403885312
86,"ii",6,4.50102177750383,4.97729340798572
87,"V",6,2.62730226763941,3.83217557026064
88,"IV",6,5.71047986674127,3.21484757344623
89,"IV",4,3.03421973831842,4.52535731810261
90,"I",5,1.29495926031356,3.78661576472481
91,"V",6,4.28441104227901,4.18086847774687
92,"vi",5,3.95299295415268,4.71534452072425
93,"ii",5,5.30481269820511,4.1365947004702
94,"IV",4,4.18601289035094,4.10146904469772
95,"V",4,3.21656937002987,4.2912440440944
96,"I",4,2.19458471200208,4.63332695964201
97,"V",5,2.91563503796847,4.93638554320693
98,"vi",6,4.20617574263121,3.95655761023579
99,"ii",5,4.19166631223059,4.83558442927627
100,"IV",4,5.00115452622102,2.71241862585565
101,"V",4,3.21656937002987,4.2912440440944
102,"I",4,2.19458471200208,4.63332695964201
103,"V",5,2.91563503796847,4.93638554320693
104,"vi",6,4.20617574263121,3.95655761023579
105,"ii",5,4.19166631223059,4.83558442927627
106,"IV",4,5.00115452622102,2.71241862585565
107,"V",4,3.21656937002987,4.2912440440944
108,"I",4,2.19458471200208,4.63332695964201
109,"V",5,2.91563503796847,4.93638554320693
110,"vi",6,4.20617574263121,3.95655761023579
111,"ii",5,4.19166631223059,4.83558442927627
112,"IV",4,5.00115452622102,2.71241862585565
113,"V",4,3.21656937002987,4.2912440440944
114,"I",4,2.19458471200208,4.63332695964201
115,"V",5,2.91563503796847,4.93638554320693
116,"vi",6,4.20617574263121,3.95655761023579
117,"r",5,3.57125369205897,4.83558442927627
118,"r",3,0.337447394128665,1.55590458617693
