"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.9887791955562,4.76663950949691
5,"I",4,1.57607565574311,4.4347198062834
6,"I",5,1.2616926996204,3.88650960547304
7,"I",6,1.88979591077031,4.66416159969298
8,"I",7,1.81674642526517,4.54676262824429
9,"vi",8,5.4198940132478,3.96740160452382
10,"iii",8,4.72219182635456,4.47543238271084
11,"IV",5,1.87173657960182,3.97644178490728
12,"I",6,2.78956224126998,4.33109055345607
13,"ii",5,5.21256049705046,4.66360928825123
14,"I",4,3.83384427774558,4.49498522871839
15,"V",4,4.10019646166434,5.04284268083451
16,"V",5,3.74390928749745,4.0198897185084
17,"I",5,1.84561595909975,4.52917622541459
18,"I",6,1.715400958688,4.3957811773888
19,"I",6,2.36010102197089,4.902378588516
20,"vi",7,5.44387952786133,4.21267207751688
21,"iii",5,3.70251369357247,4.89038377229318
22,"IV",6,2.12667742319604,4.33453078383282
23,"I",7,3.20740146595771,3.69505014140901
24,"ii",5,5.21256049705046,4.66360928825123
25,"I",4,3.83384427774558,4.49498522871839
26,"V",4,4.10019646166434,5.04284268083451
27,"V",5,3.74390928749745,4.0198897185084
28,"vi",5,5.46733017925605,4.52917622541459
29,"ii",4,4.71836195844022,4.81478615327584
30,"V",4,2.57536198687635,4.72757619742278
31,"vi",5,5.66616267078443,4.62818052787501
32,"ii",3,3.61554981739459,5.10471660862921
33,"V",4,3.76768462732228,4.45242001583218
34,"vi",4,5.39341561909991,5.06147067930185
35,"ii",3,3.61554981739459,5.10471660862921
36,"V",4,3.76768462732228,4.45242001583218
37,"IV",4,4.47423760213893,5.06147067930185
38,"r",4,3.02885426086086,4.43134685839425
39,"I",4,2.03732170577075,2.93297312593125
40,"I",4,2.64768767202568,3.98488471309459
41,"I",4,2.40537708143735,4.43960433670306
42,"vi",4,5.33969140403364,4.4347198062834
43,"iii",5,4.38617636152823,4.71875294819417
44,"IV",5,1.87173657960182,3.97644178490728
45,"I",6,2.78956224126998,4.33109055345607
46,"ii",5,5.21256049705046,4.66360928825123
47,"I",4,3.83384427774558,4.49498522871839
48,"V",4,4.10019646166434,5.04284268083451
49,"I",5,1.31187808857884,4.0198897185084
50,"I",6,2.8926086739377,4.97003908981811
51,"I",5,0.872678595944619,3.3242400856027
52,"vi",7,5.70274972692637,4.01324849753415
53,"iii",5,3.70251369357247,4.89038377229318
54,"IV",6,2.12667742319604,4.33453078383282
55,"I",7,3.20740146595771,3.69505014140901
56,"ii",5,5.21256049705046,4.66360928825123
57,"I",4,3.83384427774558,4.49498522871839
58,"V",4,4.10019646166434,5.04284268083451
59,"V",5,3.74390928749745,4.0198897185084
60,"vi",5,5.46733017925605,4.52917622541459
61,"ii",4,4.71836195844022,4.81478615327584
62,"V",4,2.57536198687635,4.72757619742278
63,"vi",5,5.66616267078443,4.62818052787501
64,"ii",3,3.61554981739459,5.10471660862921
65,"V",4,3.76768462732228,4.45242001583218
66,"vi",4,5.39341561909991,5.06147067930185
67,"ii",3,3.61554981739459,5.10471660862921
68,"V",4,3.76768462732228,4.45242001583218
69,"vi",4,5.39341561909991,5.06147067930185
70,"ii",3,3.61554981739459,5.10471660862921
71,"V",4,3.76768462732228,4.45242001583218
72,"vi",4,5.39341561909991,5.06147067930185
73,"ii",3,3.61554981739459,5.10471660862921
74,"V",4,3.76768462732228,4.45242001583218
75,"VI",4,6.25467938636834,5.06147067930185
76,"V",3,4.57521317123737,4.69089467510561
77,"VI",3,6.35756518346573,4.88018621612187
78,"V",2,4.2583910243595,5.19674059581946
79,"VI",3,6.35756518346573,4.88018621612187
80,"V",2,4.2583910243595,5.19674059581946
81,"VI",3,6.35756518346573,4.88018621612187
82,"V",2,4.2583910243595,5.19674059581946
83,"IV",3,4.88537647021078,4.88018621612187
84,"V",3,4.45226354978782,4.88713797380135
85,"I",3,3.6169533988227,5.1758828084418
86,"V",4,3.96513065173101,5.25727641049448
87,"vi",5,2.95965407413425,4.49008741435411
88,"V",6,2.88089455369765,4.76752237527076
89,"IV",7,1.82396130593395,4.16185425009355
90,"iii",7,6.58103068533552,2.26283696261414
91,"ii",4,2.15934253020794,4.43780926534695
92,"I",5,3.03120725423749,3.99439869470048
93,"V",5,4.14460055366199,5.04158419371057
94,"V",6,4.21883296607129,4.26943565096731
95,"iii",4,3.95424999321646,4.96433058991791
96,"V",5,1.79525377876464,4.35335029486899
97,"I",5,1.29275197379959,3.92294948034831
98,"I",7,3.50224254225688,4.81921785103754
99,"I",5,3.72279001127892,4.71508199657143
100,"vi",5,4.89548366167475,4.88158046700641
101,"iii",5,3.70251369357247,4.89038377229318
102,"ii",6,3.96272593498203,4.33453078383282
103,"ii",4,5.36695381995045,2.91076187063108
104,"V",3,3.10226049915429,4.99376867772834
105,"r",4,2.48911628674135,4.04667750186185
106,"r",4,0.556391461086982,1.90113529210343
