"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"I",2,1.89816789494214,3.69160509208492
4,"I",3,2.09085697702743,4.61148099977364
5,"IV",4,3.68462180171522,4.60115217214177
6,"I",5,2.58457324257019,4.14793549997666
7,"I",6,2.55401147128144,4.52530232491599
8,"I",7,2.07540540155342,4.54931154160647
9,"IV",7,3.24530788645262,4.36773864823874
10,"I",7,2.66682653000085,4.75422532303447
11,"I",8,2.61123404004943,4.62324328843374
12,"IV",9,2.97986940161024,4.47570154174481
13,"IV",10,1.45784616739287,3.76333752246645
14,"I",10,2.24792946371148,4.60562201869844
15,"I",7,0.520973801123266,2.40563542008732
16,"V",10,3.16808483726294,4.48166859932826
17,"IV",10,1.83127757325604,4.20854657900065
18,"I",10,0.970705866339028,3.04955657556515
19,"I",10,1.81704098258835,3.95273993135146
20,"I",10,1.0007268994193,3.08211050896342
21,"IV",10,4.45177602653594,2.49748166960156
22,"I",8,1.40291842981771,3.61937439642109
23,"I",9,1.8768348152732,4.29923180153571
24,"I",8,3.25977602551894,4.6374079704733
25,"IV",8,2.24828570362967,4.19371836802183
26,"I",9,2.23515463816102,4.4710603383126
27,"I",10,0.473701327100785,2.15609872691848
28,"IV",10,2.87104508375172,3.28336950726197
29,"IV",10,1.45784616739287,3.76333752246645
30,"I",10,2.24792946371148,4.60562201869844
31,"I",7,0.520973801123266,2.40563542008732
32,"V",10,3.16808483726294,4.48166859932826
33,"IV",10,1.83127757325604,4.20854657900065
34,"I",10,0.970705866339028,3.04955657556515
35,"I",10,1.81704098258835,3.95273993135146
36,"I",10,1.0007268994193,3.08211050896342
37,"IV",10,4.45177602653594,2.49748166960156
38,"I",8,1.40291842981771,3.61937439642109
39,"I",9,1.8768348152732,4.29923180153571
40,"I",8,3.25977602551894,4.6374079704733
41,"IV",8,2.24828570362967,4.19371836802183
42,"I",9,2.23515463816102,4.4710603383126
43,"I",10,0.473701327100785,2.15609872691848
44,"IV",10,2.87104508375172,3.28336950726197
45,"IV",10,1.45784616739287,3.76333752246645
46,"I",10,2.24792946371148,4.60562201869844
47,"I",7,0.520973801123266,2.40563542008732
48,"V",10,3.16808483726294,4.48166859932826
49,"IV",10,1.83127757325604,4.20854657900065
50,"I",10,0.970705866339028,3.04955657556515
51,"I",10,1.81704098258835,3.95273993135146
52,"I",10,1.0007268994193,3.08211050896342
53,"IV",10,4.45177602653594,2.49748166960156
54,"I",8,1.40291842981771,3.61937439642109
55,"I",9,1.8768348152732,4.29923180153571
56,"I",8,3.25977602551894,4.6374079704733
57,"IV",8,2.24828570362967,4.19371836802183
58,"I",9,2.23515463816102,4.4710603383126
59,"I",10,0.473701327100785,2.15609872691848
60,"IV",10,2.87104508375172,3.28336950726197
61,"IV",10,1.45784616739287,3.76333752246645
62,"I",10,2.24792946371148,4.60562201869844
63,"I",7,0.520973801123266,2.40563542008732
64,"V",10,3.16808483726294,4.48166859932826
65,"IV",10,1.83127757325604,4.20854657900065
66,"I",10,0.970705866339028,3.04955657556515
67,"I",10,1.81704098258835,3.95273993135146
68,"V",10,3.68317766308373,3.08211050896342
69,"IV",9,1.07097925986655,3.22619254111082
70,"I",10,1.04408781099686,3.33901573496245
71,"I",10,1.23347186775335,3.61027307488992
72,"r",10,3.4073864645653,4.38426653874262
73,"I",5,3.24225729886437,1.81964057858107
74,"r",5,3.03301678877983,4.07395557078012
75,"r",5,1.98540362798788,3.52638648190763
