"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"IV",4,4.47939356329033,4.42945689318241
6,"VI",5,6.87169406053787,4.72557975149618
7,"ii",2,3.39874851448677,5.10014226430804
8,"V",3,2.61964302611756,4.77214744992341
9,"IV",4,5.26436461695931,4.50647678512895
10,"V",3,2.76844284360958,4.73652378220129
11,"IV",4,3.18918012277985,4.89430692561432
12,"V",5,2.08367484658577,4.37175416597307
13,"IV",6,2.22165614695587,4.56698751426466
14,"I",7,3.53023837561616,3.92137933671789
15,"i",7,6.4202218085922,4.43639298268735
16,"IV",4,3.89751414807927,4.50989679963826
17,"I",4,6.21014379933253,4.24097194459888
18,"I",2,4.38112093020302,5.41621455166784
19,"i",3,5.39793818281659,5.36465189644138
20,"IV",4,5.12846034990032,4.68884674109814
21,"I",3,5.84832518215115,4.72628573133508
22,"I",2,4.38112093020302,5.41621455166784
23,"iii",3,4.93766836057915,5.36465189644138
24,"I",4,5.25624961177252,4.69385043431631
25,"IV",3,5.60734966795027,4.485391053614
26,"VI",3,6.33459681708074,4.9427113496542
27,"ii",2,3.39874851448677,5.10014226430804
28,"V",3,2.61964302611756,4.77214744992341
29,"IV",4,5.26436461695931,4.50647678512895
30,"V",3,2.76844284360958,4.73652378220129
31,"IV",4,3.18918012277985,4.89430692561432
32,"V",5,2.08367484658577,4.37175416597307
33,"IV",6,2.22165614695587,4.56698751426466
34,"I",7,3.53023837561616,3.92137933671789
35,"i",7,6.4202218085922,4.43639298268735
36,"IV",4,3.89751414807927,4.50989679963826
37,"I",4,6.21014379933253,4.24097194459888
38,"I",2,4.38112093020302,5.41621455166784
39,"i",3,5.39793818281659,5.36465189644138
40,"IV",4,5.12846034990032,4.68884674109814
41,"I",3,5.84832518215115,4.72628573133508
42,"I",2,4.38112093020302,5.41621455166784
43,"iii",3,4.93766836057915,5.36465189644138
44,"I",4,5.25624961177252,4.69385043431631
45,"IV",3,5.60734966795027,4.485391053614
46,"VI",3,6.33459681708074,4.9427113496542
47,"ii",2,3.39874851448677,5.10014226430804
48,"I",3,4.88057898266717,4.77214744992341
49,"I",3,3.61373743274054,5.26227442336321
50,"I",4,2.95754014970065,5.09082796290931
51,"IV",5,4.40988145350413,4.81837384018876
52,"II",5,5.59820224954532,4.76675081862582
53,"VI",4,6.07940622216589,4.77495294022058
54,"ii",2,4.89147896854201,5.22696783795969
55,"V",2,3.48289321023118,5.16360557026002
56,"IV",3,5.01791339313188,4.9537799504807
57,"V",3,2.76844284360958,4.73652378220129
58,"IV",4,3.18918012277985,4.89430692561432
59,"V",5,2.08367484658577,4.37175416597307
60,"IV",6,2.22165614695587,4.56698751426466
61,"I",7,3.53023837561616,3.92137933671789
62,"i",7,6.4202218085922,4.43639298268735
63,"IV",4,3.89751414807927,4.50989679963826
64,"I",4,6.21014379933253,4.24097194459888
65,"I",2,4.38112093020302,5.41621455166784
66,"i",3,5.39793818281659,5.36465189644138
67,"IV",4,5.12846034990032,4.68884674109814
68,"I",3,5.84832518215115,4.72628573133508
69,"I",2,4.38112093020302,5.41621455166784
70,"iii",3,4.93766836057915,5.36465189644138
71,"I",4,5.25624961177252,4.69385043431631
72,"IV",3,5.60734966795027,4.485391053614
73,"VI",3,6.33459681708074,4.9427113496542
74,"ii",2,3.39874851448677,5.10014226430804
75,"I",3,4.88057898266717,4.77214744992341
76,"iii",3,3.92753412980799,5.26227442336321
77,"I",4,3.74391880503265,4.42844181343332
78,"IV",4,5.26543514194433,5.01257496546909
79,"VI",3,6.33459681708074,4.9427113496542
80,"ii",2,3.39874851448677,5.10014226430804
81,"I",3,4.88057898266717,4.77214744992341
82,"iii",3,3.92753412980799,5.26227442336321
83,"I",4,3.74391880503265,4.42844181343332
84,"IV",4,5.26543514194433,5.01257496546909
85,"VI",3,6.33459681708074,4.9427113496542
86,"ii",2,3.39874851448677,5.10014226430804
87,"r",3,3.4221772082671,4.77214744992341
88,"r",3,0.819685880762348,2.37689874832738
