"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47620171093932
2,"I",1,1.74956545302533,4.04841405817948
3,"-VI",2,6.25155166396413,4.79366597446488
4,"viio",3,6.87413450234213,4.98037305288551
5,"I",2,4.78640193747172,4.47280250732679
6,"-VI",2,5.87315620091968,5.35999297789277
7,"-VII",2,4.03642466300134,5.29579041258001
8,"r",3,2.99269450933288,4.58594043315964
9,"-III",4,7.1755763178883,3.17458892320971
10,"IV",2,4.08143637958402,5.27684114503276
11,"I",3,2.55875540703583,4.64773284612766
12,"-III",4,4.79801843212087,4.90330376861443
13,"IV",4,1.0784452044452,3.58912424366084
14,"I",5,2.706532327203,4.44515928204446
15,"-III",6,3.0716868893421,4.58201650280178
16,"IV",4,0.0589956232509242,0.439809614733744
17,"I",8,1.9791493874011,4.05724575288606
18,"-III",9,3.0716868893421,4.58201650280178
19,"IV",4,0.0589956232509242,0.439809614733744
20,"I",10,0.328687811391657,1.56261429517293
21,"I",10,2.93112726228781,3.47473960400884
22,"i",10,5.01332402735825,4.32809466137913
23,"iv",5,4.96065885126706,4.35200693999334
24,"v",4,4.66428862478438,4.51826972222778
25,"i",3,3.19981023974779,4.92008091300507
26,"iv",4,4.0024402349093,4.35032313677476
27,"v",4,2.78098838781502,4.6585200518963
28,"iv",4,4.23132617070896,4.45751898292654
29,"iv",4,4.12829102459717,4.79031686537094
30,"i",4,2.95290666711677,4.82428235300228
31,"iv",5,4.86322079007408,3.88305498945349
32,"V",4,4.53417750030792,4.90782000584322
33,"V",4,1.53691200369168,4.11865351866729
34,"V",4,4.60670560021832,3.76325802842365
35,"i",4,5.07250600624835,4.62518549732413
36,"iv",4,3.92256695130392,5.02988351546321
37,"v",5,4.60187340687198,4.38862137229233
38,"i",4,3.50830350774773,4.45898368200543
39,"iv",4,4.0024402349093,4.35032313677476
40,"v",4,2.78098838781502,4.6585200518963
41,"iv",4,4.23132617070896,4.45751898292654
42,"iv",4,4.12829102459717,4.79031686537094
43,"i",4,2.95290666711677,4.82428235300228
44,"iv",5,4.86322079007408,3.88305498945349
45,"V",4,4.53417750030792,4.90782000584322
46,"V",4,1.53691200369168,4.11865351866729
47,"I",4,4.15761894007511,3.76325802842365
48,"-VI",4,6.01291874091086,4.53240740539787
49,"V",4,3.76574536017565,4.89305245541337
50,"I",4,3.17094143941748,4.71116772223322
51,"iv",5,5.32988354923561,4.81748165705161
52,"V",4,5.25093235184836,4.84050988269306
53,"I",3,2.14815601681781,4.74842995662818
54,"-III",4,5.81810838808622,5.1995153454004
55,"IV",3,3.2806148020502,5.22381498566037
56,"I",4,1.52787094567279,3.91532935220231
57,"-III",5,3.22248504716682,4.68477232497935
58,"IV",4,0.0589956232509242,0.439809614733744
59,"I",7,1.39075906566537,3.79959000267804
60,"-III",8,1.81055126568173,4.15320683557556
61,"IV",4,0.0589956232509242,0.439809614733744
62,"I",10,2.02354265102741,2.91829586697261
63,"-III",10,1.26204714379517,3.47473960400884
64,"IV",4,0.0589956232509242,0.439809614733744
65,"I",10,0.328687811391657,1.56261429517293
66,"I",10,2.93112726228781,3.47473960400884
67,"i",10,5.01332402735825,4.32809466137913
68,"iv",5,4.96065885126706,4.35200693999334
69,"v",4,4.66428862478438,4.51826972222778
70,"i",3,3.19981023974779,4.92008091300507
71,"iv",4,4.0024402349093,4.35032313677476
72,"v",4,2.78098838781502,4.6585200518963
73,"iv",4,4.23132617070896,4.45751898292654
74,"iv",4,4.12829102459717,4.79031686537094
75,"i",4,2.95290666711677,4.82428235300228
76,"iv",5,4.86322079007408,3.88305498945349
77,"V",4,4.53417750030792,4.90782000584322
78,"V",4,1.53691200369168,4.11865351866729
79,"i",4,1.1314134859522,3.76325802842365
80,"iv",5,3.90257436141579,3.6547307757541
81,"i",5,3.28463121516439,4.4289374723974
82,"iv",5,2.77324926551886,3.9660481243274
83,"v",5,3.74788167650661,4.5944640539288
84,"iv",5,4.52554324667169,4.34445040716351
85,"iv",4,4.12829102459717,4.79031686537094
86,"i",4,2.95290666711677,4.82428235300228
87,"iv",5,4.86322079007408,3.88305498945349
88,"#ivo",4,7.24968794815823,4.90782000584322
89,"V",1,3.00223786832533,5.01116876980394
90,"V",2,4.26127975744506,5.26530469012074
91,"I",3,3.40074089051673,5.1482696969463
92,"-VI",4,5.72410021485419,4.96612764208342
93,"V",4,3.76574536017565,4.89305245541337
94,"I",4,3.17094143941748,4.71116772223322
95,"iv",5,5.32988354923561,4.81748165705161
96,"V",4,5.25093235184836,4.84050988269306
97,"I",3,2.14815601681781,4.74842995662818
98,"-III",4,5.81810838808622,5.1995153454004
99,"IV",3,3.2806148020502,5.22381498566037
100,"I",4,1.52787094567279,3.91532935220231
101,"-III",5,3.22248504716682,4.68477232497935
102,"IV",4,0.0589956232509242,0.439809614733744
103,"I",7,1.39075906566537,3.79959000267804
104,"-III",8,1.81055126568173,4.15320683557556
105,"IV",4,0.0589956232509242,0.439809614733744
106,"I",10,2.02354265102741,2.91829586697261
107,"-III",10,1.26204714379517,3.47473960400884
108,"IV",4,0.0589956232509242,0.439809614733744
109,"I",10,0.328687811391657,1.56261429517293
110,"I",10,2.93112726228781,3.47473960400884
111,"i",10,5.01332402735825,4.32809466137913
112,"iv",5,4.96065885126706,4.35200693999334
113,"v",4,4.66428862478438,4.51826972222778
114,"i",3,3.19981023974779,4.92008091300507
115,"iv",4,4.0024402349093,4.35032313677476
116,"v",4,2.78098838781502,4.6585200518963
117,"i",4,1.87750487310559,4.45751898292654
118,"iv",5,4.40161749410572,3.89363361311421
119,"v",4,2.78098838781502,4.6585200518963
120,"i",4,1.87750487310559,4.45751898292654
121,"iv",5,4.40161749410572,3.89363361311421
122,"v",4,2.78098838781502,4.6585200518963
123,"iv",4,4.23132617070896,4.45751898292654
124,"iv",4,4.12829102459717,4.79031686537094
125,"i",4,2.95290666711677,4.82428235300228
126,"iv",5,4.86322079007408,3.88305498945349
127,"V",4,4.53417750030792,4.90782000584322
128,"V",4,1.53691200369168,4.11865351866729
129,"V",4,4.60670560021832,3.76325802842365
130,"I",4,4.31452425406597,4.62518549732413
131,"-III",4,5.61042374849998,5.20255098782249
132,"IV",4,2.93797278937579,5.01259200142325
133,"I",5,0.822663887304143,2.97308592650254
134,"-III",6,2.26628293253375,4.30030842682805
135,"IV",4,0.0589956232509242,0.439809614733744
136,"I",7,0.413578651168034,1.95451408559764
137,"-III",8,0.616445809783795,2.53266899583261
138,"IV",4,0.0589956232509242,0.439809614733744
139,"I",10,2.02354265102741,2.91829586697261
140,"-III",10,1.26204714379517,3.47473960400884
141,"IV",4,0.0589956232509242,0.439809614733744
142,"I",10,0.328687811391657,1.56261429517293
143,"-III",10,1.26204714379517,3.47473960400884
144,"IV",4,0.0589956232509242,0.439809614733744
145,"I",10,0.328687811391657,1.56261429517293
146,"-III",10,1.26204714379517,3.47473960400884
147,"IV",4,0.0589956232509242,0.439809614733744
148,"I",10,0.328687811391657,1.56261429517293
149,"-III",10,1.26204714379517,3.47473960400884
150,"IV",4,0.0589956232509242,0.439809614733744
151,"I",10,0.328687811391657,1.56261429517293
152,"-III",10,1.26204714379517,3.47473960400884
153,"IV",4,0.0589956232509242,0.439809614733744
154,"r",10,4.12201609111947,1.56261429517293
155,"r",3,0.616826467026413,2.30659567504762
