"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
41,4,"I",3.22761059727571,4.905852112642,"V",3.21126153669364,4.905852112642,0.0163490605820704
42,5,"IV",3.20723291386207,4.98557960564237,"I",3.22396111641553,4.98557960564237,0.0167282025534679
14,5,"IV",4.49702357655399,4.66841006122034,"I",4.51541973241728,4.66841006122034,0.018396155863293
14,4,"IV",4.49702357655399,4.66841006122034,"V",4.47682831721239,4.66841006122034,0.0201952593416035
24,5,"IV",3.55572213945747,5.12892994434035,"I",3.57927533720061,5.12892994434035,0.0235531977431469
56,5,"IV",3.55572213945747,5.12892994434035,"I",3.57927533720061,5.12892994434035,0.0235531977431469
18,22,"-VI",6.35393308211783,4.63769716145592,"-iii",6.38362473016602,4.63769716145592,0.0296916480481961
18,36,"-VI",6.35393308211783,4.63769716145592,"#I",6.32172627521535,4.63769716145592,0.0322068069024732
29,9,"I",3.05759662419488,4.88525827858359,"IV",3.09487788596569,4.88525827858359,0.03728126177081
60,9,"V",2.7626824464204,4.63689312440453,"IV",2.71893547344197,4.63689312440453,0.0437469729784397
80,8,"IV",4.73362231777698,4.63981424775162,"vi",4.67102246038257,4.63981424775162,0.0625998573944155
97,8,"IV",4.73362231777698,4.63981424775162,"vi",4.67102246038257,4.63981424775162,0.0625998573944155
23,9,"I",3.82155862322612,5.23854896550443,"IV",3.75845531923611,5.23854896550443,0.0631033039900051
53,8,"IV",4.42750635213004,4.62760013502277,"vi",4.49513104044009,4.62760013502277,0.0676246883100564
50,43,"#ivo",7.87579939744665,2.90178588543549,"-vio",7.95061610537955,2.90178588543549,0.0748167079329063
64,43,"#ivo",7.87579939744665,2.90178588543549,"-vio",7.95061610537955,2.90178588543549,0.0748167079329063
35,43,"#ivo",7.90723412940056,3.36597272377221,"-vio",7.98205083733346,3.36597272377221,0.0748167079329072
81,43,"#ivo",7.62145217023022,3.22892114301106,"-vio",7.69626887816313,3.22892114301106,0.0748167079329072
98,43,"#ivo",7.62145217023022,3.22892114301106,"-vio",7.69626887816313,3.22892114301106,0.0748167079329072
37,8,"V",3.95441427307665,5.35907680496674,"vi",4.04836054490187,5.35907680496674,0.0939462718252178
66,8,"V",3.95441427307665,5.35907680496674,"vi",4.04836054490187,5.35907680496674,0.0939462718252178
83,8,"V",3.95441427307665,5.35907680496674,"vi",4.04836054490187,5.35907680496674,0.0939462718252178
100,8,"V",3.95441427307665,5.35907680496674,"vi",4.04836054490187,5.35907680496674,0.0939462718252178
18,18,"-VI",6.35393308211783,4.63769716145592,"III",6.45092580527966,4.63769716145592,0.0969927231618311
