"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"IV",1,4.80290618807671,4.04465863263071
3,"vi",2,5.36198340963117,5.17981343941333
4,"V",3,4.34311766949301,4.75107963642007
5,"IV",3,3.34867617838924,4.91786536119003
6,"vi",4,5.30480095747851,3.30867436315031
7,"V",4,2.583824803257,4.51530767453876
8,"IV",5,3.44745997025068,4.30112395431546
9,"vi",4,6.61454180629409,1.6291833232579
10,"V",4,2.583824803257,4.51530767453876
11,"IV",5,3.44745997025068,4.30112395431546
12,"vi",4,6.61454180629409,1.6291833232579
13,"V",4,2.583824803257,4.51530767453876
14,"I",5,3.32102506566625,4.30112395431546
15,"IV",5,3.60181639744938,4.6003017533145
16,"I",5,2.57079874319866,4.72437888609541
17,"V",5,4.83379260719428,4.16993000822021
18,"I",5,2.76098463939464,4.65522358581202
19,"V",6,3.61333687981335,4.97912702110322
20,"IV",7,4.18388516279536,3.71360632745551
21,"-VII",6,5.35800649291612,4.47059575133843
22,"IV",5,3.61849230904109,4.43120134178845
23,"V",4,4.7606895975574,3.84949707658057
24,"I",4,2.22850857385813,4.61635384651237
25,"V",5,4.80219035346114,4.983884985385
26,"I",4,2.82860628145684,4.78419195856067
27,"IV",5,3.86909662036926,5.12200591037065
28,"I",6,1.52252907248781,3.91901069391419
29,"V",7,2.46211687393024,4.07842520329957
30,"I",8,1.33609538594221,3.70268764786824
31,"V",9,3.0313030976355,4.17151250658244
32,"IV",7,5.85527808319566,1.54067094694531
33,"V",6,2.48838407979551,4.47059575133843
34,"IV",7,4.33163993199382,3.96789192409176
35,"vi",6,5.66476957243263,4.21543504934386
36,"V",4,1.83357034559149,4.52246826290569
37,"I",5,3.28667618017157,4.28232698688773
38,"IV",5,3.60181639744938,4.6003017533145
39,"vi",5,2.98242402520662,4.72437888609541
40,"V",4,0.608693029115253,2.67031291186859
41,"I",5,0.63930359306205,2.62198269513552
42,"IV",8,2.29857804618058,3.80551005012027
43,"vi",7,1.1368545531035,3.60122316558009
44,"V",4,0.608693029115253,2.67031291186859
45,"I",5,0.63930359306205,2.62198269513552
46,"-VII",8,7.27184746126571,3.06267454174514
47,"IV",3,3.03109900906287,4.79596549445398
48,"I",4,2.68906550287982,4.86119776652044
49,"V",5,4.38605796944162,4.61443664724483
50,"-VII",5,3.85501963247839,4.88414085403049
51,"IV",5,0.372027569580723,1.7567646067163
52,"I",7,2.6321308119015,3.97939726397249
53,"V",6,5.1317173528441,3.22551787346047
54,"-VII",5,1.25414897817845,3.80197806493822
55,"IV",5,0.372027569580723,1.7567646067163
56,"V",7,3.55679091446974,3.56484146935757
57,"IV",6,3.28377794282662,4.51798540695713
58,"vi",5,5.54092109775895,4.21136012522851
59,"V",4,1.83357034559149,4.52246826290569
60,"IV",5,3.413111084756,4.28232698688773
61,"vi",4,6.61454180629409,1.6291833232579
62,"V",4,2.583824803257,4.51530767453876
63,"IV",5,3.44745997025068,4.30112395431546
64,"vi",4,6.61454180629409,1.6291833232579
65,"V",4,2.583824803257,4.51530767453876
66,"IV",5,3.44745997025068,4.30112395431546
67,"vi",4,6.61454180629409,1.6291833232579
68,"V",4,2.583824803257,4.51530767453876
69,"IV",5,3.44745997025068,4.30112395431546
70,"vi",4,6.61454180629409,1.6291833232579
71,"V",4,2.583824803257,4.51530767453876
72,"IV",5,3.44745997025068,4.30112395431546
73,"vi",4,6.61454180629409,1.6291833232579
74,"V",4,2.583824803257,4.51530767453876
75,"I",5,3.32102506566625,4.30112395431546
76,"IV",5,3.60181639744938,4.6003017533145
77,"I",5,2.57079874319866,4.72437888609541
78,"V",5,4.83379260719428,4.16993000822021
79,"I",5,2.76098463939464,4.65522358581202
80,"V",6,3.61333687981335,4.97912702110322
81,"IV",7,4.18388516279536,3.71360632745551
82,"-VII",6,5.35800649291612,4.47059575133843
83,"IV",5,3.61849230904109,4.43120134178845
84,"V",4,4.7606895975574,3.84949707658057
85,"r",4,3.34068762329987,4.61635384651237
86,"I",4,1.21252071640837,3.06721158420127
87,"IV",5,2.57841421745982,3.27092641869467
88,"I",5,1.09049903465266,3.64857813305986
89,"V",6,4.24486767495519,3.90664496950294
90,"I",5,1.53200414777243,4.05342712167757
91,"V",6,3.20230113156261,4.56580396363435
92,"IV",7,3.98538764054379,4.05581443771487
93,"V",6,2.48838407979551,4.47059575133843
94,"IV",7,4.33163993199382,3.96789192409176
95,"vi",6,5.66476957243263,4.21543504934386
96,"V",4,1.83357034559149,4.52246826290569
97,"I",5,3.28667618017157,4.28232698688773
98,"IV",5,3.60181639744938,4.6003017533145
99,"vi",5,2.98242402520662,4.72437888609541
100,"V",4,0.608693029115253,2.67031291186859
101,"I",5,0.63930359306205,2.62198269513552
102,"IV",8,2.29857804618058,3.80551005012027
103,"vi",7,1.1368545531035,3.60122316558009
104,"V",4,0.608693029115253,2.67031291186859
105,"I",5,0.63930359306205,2.62198269513552
106,"-VII",8,7.27184746126571,3.06267454174514
107,"IV",3,3.03109900906287,4.79596549445398
108,"I",4,2.68906550287982,4.86119776652044
109,"V",5,4.38605796944162,4.61443664724483
110,"-VII",5,3.85501963247839,4.88414085403049
111,"IV",5,0.372027569580723,1.7567646067163
112,"I",7,2.6321308119015,3.97939726397249
113,"V",6,5.1317173528441,3.22551787346047
114,"-VII",5,1.25414897817845,3.80197806493822
115,"IV",5,0.372027569580723,1.7567646067163
116,"V",7,3.55679091446974,3.56484146935757
117,"IV",6,3.28377794282662,4.51798540695713
118,"vi",5,5.54092109775895,4.21136012522851
119,"V",4,1.83357034559149,4.52246826290569
120,"IV",5,3.413111084756,4.28232698688773
121,"vi",4,6.61454180629409,1.6291833232579
122,"V",4,2.583824803257,4.51530767453876
123,"IV",5,3.44745997025068,4.30112395431546
124,"vi",4,6.61454180629409,1.6291833232579
125,"V",4,2.583824803257,4.51530767453876
126,"IV",5,3.44745997025068,4.30112395431546
127,"vi",4,6.61454180629409,1.6291833232579
128,"V",4,2.583824803257,4.51530767453876
129,"IV",5,3.44745997025068,4.30112395431546
130,"vi",4,6.61454180629409,1.6291833232579
131,"V",4,2.583824803257,4.51530767453876
132,"IV",5,3.44745997025068,4.30112395431546
133,"vi",4,6.61454180629409,1.6291833232579
134,"V",4,2.583824803257,4.51530767453876
135,"IV",5,3.44745997025068,4.30112395431546
136,"vi",4,6.61454180629409,1.6291833232579
137,"V",4,2.583824803257,4.51530767453876
138,"IV",5,3.44745997025068,4.30112395431546
139,"vi",4,6.61454180629409,1.6291833232579
140,"V",4,2.583824803257,4.51530767453876
141,"IV",5,3.44745997025068,4.30112395431546
142,"vi",4,6.61454180629409,1.6291833232579
