"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
21,6,"-VII",5.35800649291612,4.47059575133843,"VI",5.353624531268,4.47059575133843,0.00438196164812243
82,6,"-VII",5.35800649291612,4.47059575133843,"VI",5.353624531268,4.47059575133843,0.00438196164812243
178,6,"-VII",5.35800649291612,4.47059575133843,"VI",5.353624531268,4.47059575133843,0.00438196164812243
49,9,"V",4.38605796944162,4.61443664724483,"IV",4.37840567664147,4.61443664724483,0.0076522928001479
109,9,"V",4.38605796944162,4.61443664724483,"IV",4.37840567664147,4.61443664724483,0.0076522928001479
204,9,"V",4.38605796944162,4.61443664724483,"IV",4.37840567664147,4.61443664724483,0.0076522928001479
34,8,"IV",4.33163993199382,3.96789192409176,"vi",4.29647174870363,3.96789192409176,0.0351681832901942
94,8,"IV",4.33163993199382,3.96789192409176,"vi",4.29647174870363,3.96789192409176,0.0351681832901942
189,8,"IV",4.33163993199382,3.96789192409176,"vi",4.29647174870363,3.96789192409176,0.0351681832901942
46,19,"-VII",7.27184746126571,3.06267454174514,"iv",7.22738996505307,3.06267454174514,0.0444574962126367
106,19,"-VII",7.27184746126571,3.06267454174514,"iv",7.22738996505307,3.06267454174514,0.0444574962126367
201,19,"-VII",7.27184746126571,3.06267454174514,"iv",7.22738996505307,3.06267454174514,0.0444574962126367
50,5,"-VII",3.85501963247839,4.88414085403049,"I",3.80988108568906,4.88414085403049,0.0451385467893295
110,5,"-VII",3.85501963247839,4.88414085403049,"I",3.80988108568906,4.88414085403049,0.0451385467893295
205,5,"-VII",3.85501963247839,4.88414085403049,"I",3.80988108568906,4.88414085403049,0.0451385467893295
58,19,"vi",5.54092109775895,4.21136012522851,"iv",5.49217618933749,4.21136012522851,0.0487449084214591
118,19,"vi",5.54092109775895,4.21136012522851,"iv",5.49217618933749,4.21136012522851,0.0487449084214591
213,19,"vi",5.54092109775895,4.21136012522851,"iv",5.49217618933749,4.21136012522851,0.0487449084214591
35,19,"vi",5.66476957243263,4.21543504934386,"iv",5.61602466401117,4.21543504934386,0.04874490842146
95,19,"vi",5.66476957243263,4.21543504934386,"iv",5.61602466401117,4.21543504934386,0.04874490842146
190,19,"vi",5.66476957243263,4.21543504934386,"iv",5.61602466401117,4.21543504934386,0.04874490842146
46,14,"-VII",7.27184746126571,3.06267454174514,"-III",7.35021069319907,3.06267454174514,0.0783632319333654
106,14,"-VII",7.27184746126571,3.06267454174514,"-III",7.35021069319907,3.06267454174514,0.0783632319333654
201,14,"-VII",7.27184746126571,3.06267454174514,"-III",7.35021069319907,3.06267454174514,0.0783632319333654
244,9,"I",4.26684848824216,4.51530767453876,"IV",4.34989288955476,4.51530767453876,0.0830444013126019
33,5,"V",2.48838407979551,4.47059575133843,"I",2.57553232681111,4.47059575133843,0.0871482470155986
93,5,"V",2.48838407979551,4.47059575133843,"I",2.57553232681111,4.47059575133843,0.0871482470155986
188,5,"V",2.48838407979551,4.47059575133843,"I",2.57553232681111,4.47059575133843,0.0871482470155986
56,15,"V",3.55679091446974,3.56484146935757,"-VI",3.65195152969723,3.56484146935757,0.0951606152274911
116,15,"V",3.55679091446974,3.56484146935757,"-VI",3.65195152969723,3.56484146935757,0.0951606152274911
211,15,"V",3.55679091446974,3.56484146935757,"-VI",3.65195152969723,3.56484146935757,0.0951606152274911
14,4,"I",3.32102506566625,4.30112395431546,"V",3.22392606478077,4.30112395431546,0.0970990008854824
75,4,"I",3.32102506566625,4.30112395431546,"V",3.22392606478077,4.30112395431546,0.0970990008854824
171,4,"I",3.32102506566625,4.30112395431546,"V",3.22392606478077,4.30112395431546,0.0970990008854824
