"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
94,19,"v",5.73755084583946,4.8920035216672,"iv",5.73620824332918,4.8920035216672,0.00134260251027651
95,11,"-VII",3.51205159912552,3.77331707626567,"v",3.51459269390142,3.77331707626567,0.00254109477590791
97,19,"iii",6.44208977868903,3.16408840357053,"iv",6.43204544681315,3.16408840357053,0.0100443318758776
54,8,"I",3.12704179785704,4.62012218960343,"vi",3.14126767839574,4.62012218960343,0.014225880538703
122,9,"I",3.31323287676759,5.08808670713192,"IV",3.29843098735161,5.08808670713192,0.0148018894159812
97,15,"iii",6.44208977868903,3.16408840357053,"-VI",6.45774141401097,3.16408840357053,0.0156516353219418
104,3,"IV",3.67949242317209,3.50619343511753,"ii",3.69975616859324,3.50619343511753,0.0202637454211501
84,4,"IV",2.887263619508,4.46196238458793,"V",2.9082524675067,4.46196238458793,0.0209888479986997
97,14,"iii",6.44208977868903,3.16408840357053,"-III",6.41931195690536,3.16408840357053,0.0227778217836656
82,13,"iii",4.70556884428164,4.69731793647075,"-VII",4.72900403584703,4.69731793647075,0.0234351915653868
25,3,"IV",3.46846187914879,4.26445460052985,"ii",3.4945601960428,4.26445460052985,0.0260983168940045
47,3,"IV",3.46846187914879,4.26445460052985,"ii",3.4945601960428,4.26445460052985,0.0260983168940045
75,3,"IV",3.46846187914879,4.26445460052985,"ii",3.4945601960428,4.26445460052985,0.0260983168940045
113,3,"IV",3.46846187914879,4.26445460052985,"ii",3.4945601960428,4.26445460052985,0.0260983168940045
9,5,"V",3.48629045331354,4.61150824001904,"I",3.51304355604554,4.61150824001904,0.0267531027320054
16,3,"IV",4.70323683852888,3.1567179747402,"ii",4.73774189980017,3.1567179747402,0.0345050612712887
38,3,"IV",4.49408612865373,3.4888330501356,"ii",4.52859118992502,3.4888330501356,0.0345050612712887
66,3,"IV",4.70323683852888,3.1567179747402,"ii",4.73774189980017,3.1567179747402,0.0345050612712887
102,13,"iii",5.04304224609039,4.91720403485247,"-VII",5.08068049871382,4.91720403485247,0.0376382526234353
94,12,"v",5.73755084583946,4.8920035216672,"i",5.77799251609094,4.8920035216672,0.0404416702514867
80,7,"I",4.48134725858964,3.36435193558659,"iii",4.52222348015133,3.36435193558659,0.0408762215616845
8,8,"V",4.81658425328981,4.86622659522012,"vi",4.86247027868455,4.86622659522012,0.0458860253947382
120,9,"I",4.26497789751029,4.81093844084887,"IV",4.21599453431064,4.81093844084887,0.0489833631996444
89,5,"IV",4.14350240425515,4.10452398085641,"I",4.19403690745452,4.10452398085641,0.0505345031993647
19,10,"ii",4.64268719995267,4.86622659522012,"II",4.6969163650645,4.86622659522012,0.0542291651118285
41,10,"ii",4.64268719995267,4.86622659522012,"II",4.6969163650645,4.86622659522012,0.0542291651118285
69,10,"ii",4.64268719995267,4.86622659522012,"II",4.6969163650645,4.86622659522012,0.0542291651118285
107,10,"ii",4.64268719995267,4.86622659522012,"II",4.6969163650645,4.86622659522012,0.0542291651118285
88,8,"ii",3.26029477963689,4.64632106332426,"vi",3.31761006135902,4.64632106332426,0.0573152817221363
64,3,"iii",6.31863097573612,3.2085300561645,"ii",6.38452914001562,3.2085300561645,0.0658981642794956
119,7,"IV",4.43748480640978,4.87995730243401,"iii",4.37027031137162,4.87995730243401,0.0672144950381623
120,4,"I",4.26497789751029,4.81093844084887,"V",4.19286583996371,4.81093844084887,0.0721120575465823
55,9,"I",3.52522418957318,5.11447208234266,"IV",3.59819851505293,5.11447208234266,0.0729743254797581
36,3,"iii",4.84939987912788,4.28893707627867,"ii",4.9246950503539,4.28893707627867,0.075295171226017
54,4,"I",3.12704179785704,4.62012218960343,"V",3.04816532357194,4.62012218960343,0.078876474285102
97,8,"iii",6.44208977868903,3.16408840357053,"vi",6.36203748160991,3.16408840357053,0.0800522970791206
98,8,"ii",3.30737357446914,5.00576591474686,"vi",3.38820391761256,5.00576591474686,0.0808303431434187
119,3,"IV",4.43748480640978,4.87995730243401,"ii",4.35566537654051,4.87995730243401,0.081819429869272
24,10,"ii",3.93474650103802,5.05468474933885,"II",4.01983768193642,5.05468474933885,0.0850911808983921
46,10,"ii",3.93474650103802,5.05468474933885,"II",4.01983768193642,5.05468474933885,0.0850911808983921
74,10,"ii",3.93474650103802,5.05468474933885,"II",4.01983768193642,5.05468474933885,0.0850911808983921
112,10,"ii",3.93474650103802,5.05468474933885,"II",4.01983768193642,5.05468474933885,0.0850911808983921
91,5,"IV",3.41046667431223,4.58920118900684,"I",3.31372374620597,4.58920118900684,0.0967429281062584
97,12,"iii",6.44208977868903,3.16408840357053,"i",6.34246451344456,3.16408840357053,0.0996252652444722
