"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"V",2,3.96088151639943,4.79670005186907
4,"I",3,2.06584501578179,4.4546037197852
5,"IV",4,3.1955920555094,4.37926480870406
6,"I",5,1.94611978242595,4.32398599683734
7,"I",6,3.4797014099153,4.4857691364059
8,"IV",6,3.10591746227393,4.96941643683561
9,"I",7,2.84949917843997,4.76247752920814
10,"I",8,2.59448482184847,4.6315102616684
11,"I",9,3.39672501809901,3.60317058478815
12,"III",8,6.38534451431901,4.30482185723336
13,"IV",5,1.62941775795314,3.93633123267309
14,"IV",6,4.84689769473922,3.64515208407286
15,"IV",4,4.86870006498969,4.91213630638666
16,"#ivo",3,5.81927151574781,5.23492175367018
17,"I",3,0.379056162379806,1.68437796978196
18,"vi",5,4.18007176563996,4.01039594820421
19,"iv",4,6.01090359191092,4.70491260696351
20,"V",3,1.5331927885286,4.43130191734222
21,"V",4,2.9111668461293,4.80061411035343
22,"I",4,3.6299060746199,4.28880568275776
23,"IV",4,4.99965724239188,4.68842478547104
24,"I",4,2.68936418209247,4.79409628513978
25,"I",5,3.58297167077657,5.08009855178713
26,"IV",6,3.22341964376161,4.97002160337675
27,"I",7,2.08810503029853,4.1863903876563
28,"I",8,2.59448482184847,4.6315102616684
29,"I",9,3.39672501809901,3.60317058478815
30,"III",8,6.38534451431901,4.30482185723336
31,"IV",5,1.62941775795314,3.93633123267309
32,"IV",6,4.84689769473922,3.64515208407286
33,"IV",4,4.86870006498969,4.91213630638666
34,"#ivo",3,5.81927151574781,5.23492175367018
35,"I",3,0.379056162379806,1.68437796978196
36,"vi",5,4.18007176563996,4.01039594820421
37,"iv",4,6.01090359191092,4.70491260696351
38,"V",3,1.5331927885286,4.43130191734222
39,"V",4,2.9111668461293,4.80061411035343
40,"I",4,3.6299060746199,4.28880568275776
41,"I",4,1.96884802042058,4.68842478547104
42,"I",5,3.35634135428843,5.16102723496824
43,"I",6,1.86251995409807,4.5528317149739
44,"IV",7,3.5215950215725,4.39687760377761
45,"IV",7,1.92607055640751,4.32487857765099
46,"I",8,2.54043888621043,4.74788775252545
47,"I",9,1.19089503848301,3.39882666066103
48,"IV",10,2.99629531053171,4.11217499222916
49,"IV",10,2.20439702618031,3.90371869744674
50,"II",10,5.09754761697836,4.64991215923113
51,"II",6,2.16706140514742,3.39219435292703
52,"V",6,2.5732530927184,4.81580514218023
53,"V",7,2.7344811489963,5.00336608394384
54,"II",5,6.71084059687615,2.58254663904018
55,"II",4,1.92855463225191,4.59611161285052
56,"V",5,1.9301525238223,4.55547415737438
57,"V",4,1.69003315040039,4.53162416637483
58,"I",5,1.09402253437615,3.48112498278763
59,"IV",6,4.27886946119166,4.23425295053247
60,"I",6,1.86173284464485,4.18584404618727
61,"I",7,2.05328230674082,4.58149386225566
62,"I",8,2.00421654757987,4.50517617645555
63,"III",8,6.33515627478947,4.37890991759353
64,"IV",5,1.62941775795314,3.93633123267309
65,"IV",6,4.84689769473922,3.64515208407286
66,"IV",4,4.86870006498969,4.91213630638666
67,"#ivo",3,5.81927151574781,5.23492175367018
68,"I",3,0.379056162379806,1.68437796978196
69,"vi",5,4.18007176563996,4.01039594820421
70,"iv",4,6.01090359191092,4.70491260696351
71,"V",3,1.5331927885286,4.43130191734222
72,"V",4,2.9111668461293,4.80061411035343
73,"IV",4,5.52314374545267,4.28880568275776
74,"I",3,3.45957518450527,4.92623273555301
75,"r",4,2.96325387623751,5.09095947863464
76,"r",5,1.08042396580563,2.87315243661539
