"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"V",1,4.58780435373863,4.04482713155297
3,"IV",2,3.13711764555501,4.60784566687696
4,"IV",3,3.81532683317114,4.75248372326999
5,"V",4,4.24069360866748,4.66032265535949
6,"V",4,2.84296561994347,4.91222025257212
7,"IV",5,3.44549067638311,4.82510545322337
8,"IV",6,2.21138934408126,4.37218992098113
9,"V",7,2.43975414823831,4.25901462086844
10,"I",7,6.13474964380665,1.11072552756658
11,"v",5,6.34745690716068,5.07004063972354
12,"-VII",3,5.00641128782473,4.81670519478083
13,"IV",3,3.05379233517113,5.05065126939163
14,"I",4,3.27370848884946,4.54635146449064
15,"I",4,3.97204927169001,4.94694333091694
16,"v",4,5.68036983266827,4.96571378212321
17,"-VII",4,3.50446828028635,3.84951690756981
18,"IV",4,1.77183462594256,4.506419053874
19,"I",4,3.27370848884946,4.54635146449064
20,"I",4,3.97204927169001,4.94694333091694
21,"v",4,5.68036983266827,4.96571378212321
22,"I",4,2.36762237355549,3.84951690756981
23,"v",5,3.27919113954951,4.05150242631018
24,"-VII",5,4.63065704278205,4.14562526292748
25,"IV",4,4.20372261884378,3.00427061810471
26,"I",4,3.27370848884946,4.54635146449064
27,"I",4,3.97204927169001,4.94694333091694
28,"v",4,5.68036983266827,4.96571378212321
29,"I",4,2.36762237355549,3.84951690756981
30,"v",5,3.27919113954951,4.05150242631018
31,"-VII",5,4.63065704278205,4.14562526292748
32,"IV",4,4.20372261884378,3.00427061810471
33,"I",4,3.27370848884946,4.54635146449064
34,"I",4,3.97204927169001,4.94694333091694
35,"v",4,5.68036983266827,4.96571378212321
36,"-VII",4,3.50446828028635,3.84951690756981
37,"IV",4,1.77183462594256,4.506419053874
38,"I",4,3.27370848884946,4.54635146449064
39,"I",4,3.97204927169001,4.94694333091694
40,"v",4,5.68036983266827,4.96571378212321
41,"-VII",4,3.50446828028635,3.84951690756981
42,"IV",4,1.77183462594256,4.506419053874
43,"I",4,3.27370848884946,4.54635146449064
44,"I",4,3.97204927169001,4.94694333091694
45,"v",4,5.68036983266827,4.96571378212321
46,"I",4,2.36762237355549,3.84951690756981
47,"v",5,3.27919113954951,4.05150242631018
48,"-VII",5,4.63065704278205,4.14562526292748
49,"IV",4,4.20372261884378,3.00427061810471
50,"I",4,3.27370848884946,4.54635146449064
51,"I",4,3.97204927169001,4.94694333091694
52,"v",4,5.68036983266827,4.96571378212321
53,"I",4,2.36762237355549,3.84951690756981
54,"v",5,3.27919113954951,4.05150242631018
55,"-VII",5,4.63065704278205,4.14562526292748
56,"IV",4,4.20372261884378,3.00427061810471
57,"V",4,5.21263157434395,4.54635146449064
58,"IV",3,3.44763754128014,5.01432737117563
59,"IV",4,4.06312732232398,4.63595612131129
60,"V",4,3.15217681564441,4.67201846771125
61,"V",5,1.40410783842411,4.08640412401709
62,"IV",6,1.63195554743671,4.17588300274598
63,"IV",7,1.31757588105615,3.73586301807539
64,"V",8,2.17002718702503,4.01129327746933
65,"iii",7,7.5350164407293,1.11072552756658
66,"iii",5,4.45424599470706,4.08766458213148
67,"iii",4,3.88276981655094,4.70770386270083
68,"III",4,5.4752789055321,4.37581436618614
69,"vi",3,3.28962485441125,3.72426921634568
70,"ii",3,2.96322086929526,4.92097962268843
71,"V",4,2.71728566438135,4.88126732108613
72,"ii",4,5.15965644230223,3.88631049150476
73,"V",4,1.69434791608292,4.1411016976567
74,"ii",5,4.21259376149049,4.48258478289641
75,"V",5,2.00005733289071,4.38165390341786
76,"I",6,2.48412730842029,4.65351856570186
77,"v",7,3.98283316255218,4.79019871283641
78,"-VII",5,5.75819207551949,3.64391339639675
79,"IV",3,3.05379233517113,5.05065126939163
80,"I",4,3.27370848884946,4.54635146449064
81,"I",4,3.97204927169001,4.94694333091694
82,"v",4,5.68036983266827,4.96571378212321
83,"-VII",4,3.50446828028635,3.84951690756981
84,"IV",4,1.77183462594256,4.506419053874
85,"I",4,3.27370848884946,4.54635146449064
86,"I",4,3.97204927169001,4.94694333091694
87,"v",4,5.68036983266827,4.96571378212321
88,"I",4,2.36762237355549,3.84951690756981
89,"v",5,3.27919113954951,4.05150242631018
90,"-VII",5,4.63065704278205,4.14562526292748
91,"IV",4,4.20372261884378,3.00427061810471
92,"I",4,3.27370848884946,4.54635146449064
93,"I",4,3.97204927169001,4.94694333091694
94,"v",4,5.68036983266827,4.96571378212321
95,"I",4,2.36762237355549,3.84951690756981
96,"v",5,3.27919113954951,4.05150242631018
97,"-VII",5,4.63065704278205,4.14562526292748
98,"IV",4,4.20372261884378,3.00427061810471
99,"I",4,3.27370848884946,4.54635146449064
100,"I",4,3.97204927169001,4.94694333091694
101,"v",4,5.68036983266827,4.96571378212321
102,"I",4,2.36762237355549,3.84951690756981
103,"v",5,3.27919113954951,4.05150242631018
104,"-VII",5,4.63065704278205,4.14562526292748
