"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53024235592001,5.47603004792632
2,"V",1,4.58995132419074,4.05097356738891
3,"I",2,2.97721075597896,4.61354663523403
4,"IV",3,4.36595030947097,5.25222411920299
5,"I",4,2.32425091444973,4.75615140910231
6,"V",5,4.36926423420245,5.0367845818689
7,"I",5,2.61046021409174,4.59834717940154
8,"vio",6,7.39929258692734,4.79274111761291
9,"io",1,6.753754999522,5.36484216355826
10,"ii",1,3.51115304901513,5.21709858899897
11,"V",2,3.01123071923828,5.14535581295183
12,"V",3,4.52878510674745,4.87805222298538
13,"I",3,3.40262233906773,5.01524184956633
14,"vio",4,7.23878188461981,5.08101957043568
15,"io",1,6.753754999522,5.36484216355826
16,"ii",1,3.51115304901513,5.21709858899897
17,"V",2,3.01123071923828,5.14535581295183
18,"V",3,4.52878510674745,4.87805222298538
19,"I",3,3.40262233906773,5.01524184956633
20,"-VI",4,5.58815031079551,5.08101957043568
21,"ii",4,6.9614583076829,4.65494754962904
22,"III",2,5.96849624660293,4.991609588204
23,"vi",2,3.13870674965284,5.0046870615368
24,"II",3,4.53362410398293,5.06106869284988
25,"ii",3,4.1329300268664,4.89309468298517
26,"V",4,1.44909306436397,4.00534260637036
27,"I",5,2.47083510777181,4.23519843256405
28,"vio",5,7.21301594734166,4.92796112106468
29,"io",1,6.753754999522,5.36484216355826
30,"ii",1,3.51115304901513,5.21709858899897
31,"V",2,3.01123071923828,5.14535581295183
32,"V",3,4.52878510674745,4.87805222298538
33,"I",3,3.40262233906773,5.01524184956633
34,"I+",4,6.22371852340182,5.08101957043568
35,"IV",4,2.2958003871493,4.3310838869283
36,"IV",5,6.38800956287552,3.53388128061384
37,"IV",2,4.36720544411931,5.34754171205264
38,"-VII",3,4.60750294650688,5.24022939874534
39,"I",4,3.65486328354272,4.92677861875928
40,"iii",5,5.95222691277167,3.90370234212048
41,"VI",3,5.65776630018427,4.15539438564425
42,"ii",3,4.0329789736025,4.96107283921232
43,"V",3,2.28111464199361,4.54342324465559
44,"I",4,1.78553521921743,4.43421431397282
45,"IV",5,3.58003508986865,5.09203003003631
46,"I",6,2.83807623382317,4.11664920005441
47,"V",6,3.66121434014442,4.81343727578267
48,"r",6,3.68672968830452,4.24489227373512
49,"I",5,1.79790031208428,3.49525870686747
50,"r",6,3.90014243590288,3.83362468713669
51,"r",4,1.89087642494088,3.7149142905197
