"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"i",2,3.42289990544935,3.68934240910023
4,"i",3,1.72050950613766,4.38232565242872
5,"v",4,5.57301016250812,3.95776467229113
6,"iv",4,4.9192569975632,4.29584078407913
7,"-VI",3,3.37290771901062,4.798198451608
8,"-VI",4,5.52605766847648,3.90877205073465
9,"-VII",3,2.75907888785089,4.80294664140667
10,"i",4,2.83663266598969,3.52403701437003
11,"v",4,3.67077990335985,4.68980550459617
12,"iv",5,3.32975717649768,3.93529499101715
13,"-VI",5,2.0807742952516,4.75486824264608
14,"-VI",4,6.17268422120632,2.81365235784601
15,"-VII",3,2.75907888785089,4.80294664140667
16,"i",4,2.83663266598969,3.52403701437003
17,"v",4,3.67077990335985,4.68980550459617
18,"iv",5,3.32975717649768,3.93529499101715
19,"-VI",5,2.0807742952516,4.75486824264608
20,"-VI",4,6.17268422120632,2.81365235784601
21,"-VII",3,2.75907888785089,4.80294664140667
22,"i",4,2.83663266598969,3.52403701437003
23,"v",4,3.67077990335985,4.68980550459617
24,"iv",5,3.32975717649768,3.93529499101715
25,"-VI",5,2.0807742952516,4.75486824264608
26,"-VI",4,6.17268422120632,2.81365235784601
27,"-VII",3,2.75907888785089,4.80294664140667
28,"-II",4,6.79167178732022,3.52403701437003
29,"-III",3,2.96903429860602,5.00748002154505
30,"-VI",4,3.1439655975687,5.0222241068468
31,"-VII",3,2.3708152741615,5.00495997884563
32,"iv",4,4.48490444356343,4.28439755805139
33,"-VII",4,5.19430405741805,4.84121336918473
34,"-III",3,3.03503089777258,4.8984463903077
35,"-III",4,3.08075313355925,5.01428754299338
36,"-vii",5,7.07698005858522,4.39668227901129
37,"-III",2,3.13122925656041,5.14052497522562
38,"iv",3,5.77838274001655,5.07580937055026
39,"-III",2,3.98328711252077,5.34076768626987
40,"-VI",3,3.97915158982573,4.87581363232275
41,"-VII",4,3.40740460075865,4.54184990005089
42,"i",4,2.91144290119291,4.59516530676598
43,"v",5,4.19500439895901,4.2236469410224
44,"iv",4,3.06225901100952,4.39520873376217
45,"-VI",5,2.0807742952516,4.75486824264608
46,"-VI",4,6.17268422120632,2.81365235784601
47,"-VII",3,2.75907888785089,4.80294664140667
48,"i",4,2.83663266598969,3.52403701437003
49,"v",4,3.67077990335985,4.68980550459617
50,"iv",5,3.32975717649768,3.93529499101715
51,"-VI",5,2.0807742952516,4.75486824264608
52,"-VI",4,6.17268422120632,2.81365235784601
53,"-VII",3,2.75907888785089,4.80294664140667
54,"i",4,2.83663266598969,3.52403701437003
55,"v",4,3.67077990335985,4.68980550459617
56,"iv",5,3.32975717649768,3.93529499101715
57,"-VI",5,2.0807742952516,4.75486824264608
58,"-VI",4,6.17268422120632,2.81365235784601
59,"-VII",3,2.75907888785089,4.80294664140667
60,"i",4,2.83663266598969,3.52403701437003
61,"v",4,3.67077990335985,4.68980550459617
62,"iv",5,3.32975717649768,3.93529499101715
63,"-VI",5,2.0807742952516,4.75486824264608
64,"-VI",4,6.17268422120632,2.81365235784601
65,"-VII",3,2.75907888785089,4.80294664140667
66,"-II",4,6.79167178732022,3.52403701437003
67,"-III",3,2.96903429860602,5.00748002154505
68,"-VI",4,3.1439655975687,5.0222241068468
69,"-VII",3,2.3708152741615,5.00495997884563
