"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,60,"-VI",5,1.77996869816782,4.09706459455564,"-VI",5,1.77996869816782,4.09706459455564,
1,61,"-VII",6,1.7235509535099,3.11392887753448,"-VII",6,1.7235509535099,3.11392887753448,
1,62,"-VI",6,2.22743217340534,4.08077772887862,"-VI",6,2.22743217340534,4.08077772887862,
1,63,"-VII",6,0.424506832216517,1.98451729805756,"-VII",6,0.424506832216517,1.98451729805756,
1,64,"v",8,5.14247030432154,4.19777511149558,"v",8,5.14247030432154,4.19777511149558,
1,65,"iv",4,4.65066928713684,4.62528057082455,"-VII",4,4.66091030321896,4.62528057082455,0.0102410160821176
1,66,"v",3,4.82251676630668,5.02287708605111,"v",3,5.51611179294122,4.48617641679894,
1,67,"iv",3,3.6405605481847,4.98793339049247,"iv",3,5.19797355925324,4.98670632713676,
1,68,"v",4,2.83726392244351,4.92230083431993,"v",3,4.82251676630668,5.02287708605111,
1,69,"VI",5,6.50626543877842,4.6670273115774,"VI",3,6.23080850570852,4.98793339049247,
1,70,"ii",2,5.18161292819271,4.57969423527993,"ii",2,5.18161292819271,4.57969423527993,
,,,,,,,,,,
2,92,"-VI",5,1.77996869816782,4.09706459455564,"-VI",5,1.77996869816782,4.09706459455564,
2,93,"-VII",6,1.7235509535099,3.11392887753448,"-VII",6,1.7235509535099,3.11392887753448,
2,94,"-VI",6,2.22743217340534,4.08077772887862,"-VI",6,2.22743217340534,4.08077772887862,
2,95,"-VII",6,0.424506832216517,1.98451729805756,"-VII",6,0.424506832216517,1.98451729805756,
2,96,"v",8,5.14247030432154,4.19777511149558,"v",8,5.14247030432154,4.19777511149558,
2,97,"iv",4,4.65066928713684,4.62528057082455,"-VII",4,4.66091030321896,4.62528057082455,0.0102410160821176
2,98,"v",3,4.82251676630668,5.02287708605111,"v",3,5.51611179294122,4.48617641679894,
2,99,"iv",3,3.6405605481847,4.98793339049247,"iv",3,5.19797355925324,4.98670632713676,
2,100,"v",4,2.83726392244351,4.92230083431993,"v",3,4.82251676630668,5.02287708605111,
2,101,"VI",5,6.50626543877842,4.6670273115774,"VI",3,6.23080850570852,4.98793339049247,
2,102,"ii",2,5.18161292819271,4.57969423527993,"ii",2,5.18161292819271,4.57969423527993,
,,,,,,,,,,
3,51,"vi",4,5.34168485602811,4.97523692664025,"vi",4,5.34168485602811,4.97523692664025,
3,52,"V",3,4.67282485091073,4.98091126823923,"V",3,4.67282485091073,4.98091126823923,
3,53,"I",3,3.45192847775598,5.03202323896916,"I",3,3.45192847775598,5.03202323896916,
3,54,"I",4,3.89665337555967,4.81484990950208,"I",4,3.89665337555967,4.81484990950208,
3,55,"I",4,3.30737326883816,5.11360192714195,"I",4,3.30737326883816,5.11360192714195,
3,56,"-VI",5,5.56064768305902,4.72453939818578,"VI",5,5.54019036050629,4.72453939818578,0.0204573225527289
3,57,"-VII",5,2.76440543339029,4.73714130263245,"-VII",5,6.4061458492895,4.53316170143273,
3,58,"-VI",6,4.58611299609939,3.53680087961511,"-VI",2,5.5329814939634,5.18598188977233,
3,59,"-VII",4,2.28262262539781,4.61423121569391,"-VII",2,4.25193898856831,5.23884668563513,
3,60,"-VI",5,1.77996869816782,4.09706459455564,"-VI",3,3.53707371543043,4.77111435971061,
3,61,"-VII",6,1.7235509535099,3.11392887753448,"-VII",4,2.28499714373064,4.5593317655116,
,,,,,,,,,,
4,83,"vi",4,5.34168485602811,4.97523692664025,"vi",4,5.34168485602811,4.97523692664025,
4,84,"V",3,4.67282485091073,4.98091126823923,"V",3,4.67282485091073,4.98091126823923,
4,85,"I",3,3.45192847775598,5.03202323896916,"I",3,3.45192847775598,5.03202323896916,
4,86,"I",4,3.89665337555967,4.81484990950208,"I",4,3.89665337555967,4.81484990950208,
4,87,"I",4,3.30737326883816,5.11360192714195,"I",4,3.30737326883816,5.11360192714195,
4,88,"-VI",5,5.56064768305902,4.72453939818578,"VI",5,5.54019036050629,4.72453939818578,0.0204573225527289
4,89,"-VII",5,2.76440543339029,4.73714130263245,"-VII",5,6.4061458492895,4.53316170143273,
4,90,"-VI",6,4.58611299609939,3.53680087961511,"-VI",2,5.5329814939634,5.18598188977233,
4,91,"-VII",4,2.28262262539781,4.61423121569391,"-VII",2,4.25193898856831,5.23884668563513,
4,92,"-VI",5,1.77996869816782,4.09706459455564,"-VI",3,3.53707371543043,4.77111435971061,
4,93,"-VII",6,1.7235509535099,3.11392887753448,"-VII",4,2.28499714373064,4.5593317655116,
,,,,,,,,,,
5,62,"-VI",6,2.22743217340534,4.08077772887862,"-VI",6,2.22743217340534,4.08077772887862,
5,63,"-VII",6,0.424506832216517,1.98451729805756,"-VII",6,0.424506832216517,1.98451729805756,
5,64,"v",8,5.14247030432154,4.19777511149558,"v",8,5.14247030432154,4.19777511149558,
5,65,"iv",4,4.65066928713684,4.62528057082455,"iv",4,4.65066928713684,4.62528057082455,
5,66,"v",3,4.82251676630668,5.02287708605111,"v",3,4.82251676630668,5.02287708605111,
5,67,"iv",3,3.6405605481847,4.98793339049247,"i",3,3.61168969336452,4.98793339049247,0.0288708548201835
5,68,"v",4,2.83726392244351,4.92230083431993,"v",4,5.53118460172824,4.12212438660252,
5,69,"VI",5,6.50626543877842,4.6670273115774,"VI",3,6.17059151366443,5.01037204596039,
5,70,"ii",2,5.18161292819271,4.57969423527993,"ii",2,5.18161292819271,4.57969423527993,
5,71,"iii",2,4.27995420282333,5.13703041547151,"iii",2,4.27995420282333,5.13703041547151,
5,72,"ii",3,2.16231207344247,3.75644965181153,"ii",3,2.16231207344247,3.75644965181153,
,,,,,,,,,,
6,94,"-VI",6,2.22743217340534,4.08077772887862,"-VI",6,2.22743217340534,4.08077772887862,
6,95,"-VII",6,0.424506832216517,1.98451729805756,"-VII",6,0.424506832216517,1.98451729805756,
6,96,"v",8,5.14247030432154,4.19777511149558,"v",8,5.14247030432154,4.19777511149558,
6,97,"iv",4,4.65066928713684,4.62528057082455,"iv",4,4.65066928713684,4.62528057082455,
6,98,"v",3,4.82251676630668,5.02287708605111,"v",3,4.82251676630668,5.02287708605111,
6,99,"iv",3,3.6405605481847,4.98793339049247,"i",3,3.61168969336452,4.98793339049247,0.0288708548201835
6,100,"v",4,2.83726392244351,4.92230083431993,"v",4,5.53118460172824,4.12212438660252,
6,101,"VI",5,6.50626543877842,4.6670273115774,"VI",3,6.17059151366443,5.01037204596039,
6,102,"ii",2,5.18161292819271,4.57969423527993,"ii",2,5.18161292819271,4.57969423527993,
6,103,"iii",2,4.27995420282333,5.13703041547151,"iii",2,4.27995420282333,5.13703041547151,
6,104,"ii",3,2.16231207344247,3.75644965181153,"ii",3,2.16231207344247,3.75644965181153,
,,,,,,,,,,
7,62,"-VI",6,2.22743217340534,4.08077772887862,"-VI",6,2.22743217340534,4.08077772887862,
7,63,"-VII",6,0.424506832216517,1.98451729805756,"-VII",6,0.424506832216517,1.98451729805756,
7,64,"v",8,5.14247030432154,4.19777511149558,"v",8,5.14247030432154,4.19777511149558,
7,65,"iv",4,4.65066928713684,4.62528057082455,"iv",4,4.65066928713684,4.62528057082455,
7,66,"v",3,4.82251676630668,5.02287708605111,"v",3,4.82251676630668,5.02287708605111,
7,67,"iv",3,3.6405605481847,4.98793339049247,"-VI",3,3.67002097788359,4.98793339049247,0.0294604296988901
7,68,"v",4,2.83726392244351,4.92230083431993,"v",4,3.76796799100202,4.60789179902089,
7,69,"VI",5,6.50626543877842,4.6670273115774,"VI",4,6.70362573565332,4.23530857717998,
7,70,"ii",2,5.18161292819271,4.57969423527993,"ii",2,5.18161292819271,4.57969423527993,
7,71,"iii",2,4.27995420282333,5.13703041547151,"iii",2,4.27995420282333,5.13703041547151,
7,72,"ii",3,2.16231207344247,3.75644965181153,"ii",3,2.16231207344247,3.75644965181153,
,,,,,,,,,,
8,94,"-VI",6,2.22743217340534,4.08077772887862,"-VI",6,2.22743217340534,4.08077772887862,
8,95,"-VII",6,0.424506832216517,1.98451729805756,"-VII",6,0.424506832216517,1.98451729805756,
8,96,"v",8,5.14247030432154,4.19777511149558,"v",8,5.14247030432154,4.19777511149558,
8,97,"iv",4,4.65066928713684,4.62528057082455,"iv",4,4.65066928713684,4.62528057082455,
8,98,"v",3,4.82251676630668,5.02287708605111,"v",3,4.82251676630668,5.02287708605111,
8,99,"iv",3,3.6405605481847,4.98793339049247,"-VI",3,3.67002097788359,4.98793339049247,0.0294604296988901
8,100,"v",4,2.83726392244351,4.92230083431993,"v",4,3.76796799100202,4.60789179902089,
8,101,"VI",5,6.50626543877842,4.6670273115774,"VI",4,6.70362573565332,4.23530857717998,
8,102,"ii",2,5.18161292819271,4.57969423527993,"ii",2,5.18161292819271,4.57969423527993,
8,103,"iii",2,4.27995420282333,5.13703041547151,"iii",2,4.27995420282333,5.13703041547151,
8,104,"ii",3,2.16231207344247,3.75644965181153,"ii",3,2.16231207344247,3.75644965181153,
,,,,,,,,,,
9,5,"vi",3,5.84181784942206,4.38948690851401,"vi",3,5.84181784942206,4.38948690851401,
9,6,"V",3,4.67282485091073,4.98091126823923,"V",3,4.67282485091073,4.98091126823923,
9,7,"ii",3,5.28465076736171,5.03202323896916,"ii",3,5.28465076736171,5.03202323896916,
9,8,"iii",3,4.46528238800648,4.64537506720914,"iii",3,4.46528238800648,4.64537506720914,
9,9,"ii",3,3.08693202925869,4.6053983536264,"ii",3,3.08693202925869,4.6053983536264,
9,10,"vi",4,5.34168485602811,4.97523692664025,"-VII",4,5.30992994991578,4.97523692664025,0.031754906112333
9,11,"V",3,4.67282485091073,4.98091126823923,"V",3,4.19983973728468,4.8089956638857,
9,12,"ii",3,5.28465076736171,5.03202323896916,"ii",3,6.57691111343837,4.2787718279903,
9,13,"iii",3,4.46528238800648,4.64537506720914,"iii",2,4.04503711276891,5.2247672891642,
9,14,"ii",3,3.08693202925869,4.6053983536264,"ii",3,3.08693202925869,4.6053983536264,
9,15,"vi",4,5.34168485602811,4.97523692664025,"vi",4,5.34168485602811,4.97523692664025,
,,,,,,,,,,
10,10,"vi",4,5.34168485602811,4.97523692664025,"vi",4,5.34168485602811,4.97523692664025,
10,11,"V",3,4.67282485091073,4.98091126823923,"V",3,4.67282485091073,4.98091126823923,
10,12,"ii",3,5.28465076736171,5.03202323896916,"ii",3,5.28465076736171,5.03202323896916,
10,13,"iii",3,4.46528238800648,4.64537506720914,"iii",3,4.46528238800648,4.64537506720914,
10,14,"ii",3,3.08693202925869,4.6053983536264,"ii",3,3.08693202925869,4.6053983536264,
10,15,"vi",4,5.34168485602811,4.97523692664025,"-VII",4,5.30992994991578,4.97523692664025,0.031754906112333
10,16,"V",3,4.67282485091073,4.98091126823923,"V",3,4.19983973728468,4.8089956638857,
10,17,"I",3,3.45192847775598,5.03202323896916,"I",3,1.92180010372579,4.2787718279903,
10,18,"I",4,3.89665337555967,4.81484990950208,"I",4,3.3984177507151,5.1976135341651,
10,19,"I",4,3.30737326883816,5.11360192714195,"I",5,2.79718689630594,4.92652747015646,
10,20,"ii",5,4.9688555023619,4.72453939818578,"ii",6,5.03829908441577,4.66080149457186,
,,,,,,,,,,
11,23,"vi",4,5.49614219699039,4.76116752606278,"vi",4,5.49614219699039,4.76116752606278,
11,24,"V",3,4.67282485091073,4.98091126823923,"V",3,4.67282485091073,4.98091126823923,
11,25,"ii",3,5.28465076736171,5.03202323896916,"ii",3,5.28465076736171,5.03202323896916,
11,26,"iii",3,4.46528238800648,4.64537506720914,"iii",3,4.46528238800648,4.64537506720914,
11,27,"ii",3,3.08693202925869,4.6053983536264,"ii",3,3.08693202925869,4.6053983536264,
11,28,"vi",4,5.34168485602811,4.97523692664025,"-VII",4,5.30992994991578,4.97523692664025,0.031754906112333
11,29,"V",3,4.67282485091073,4.98091126823923,"V",3,4.19983973728468,4.8089956638857,
11,30,"ii",3,5.28465076736171,5.03202323896916,"ii",3,6.57691111343837,4.2787718279903,
11,31,"iii",3,4.46528238800648,4.64537506720914,"iii",2,4.04503711276891,5.2247672891642,
11,32,"ii",3,3.08693202925869,4.6053983536264,"ii",3,3.08693202925869,4.6053983536264,
11,33,"vi",4,5.34168485602811,4.97523692664025,"vi",4,5.34168485602811,4.97523692664025,
,,,,,,,,,,
12,28,"vi",4,5.34168485602811,4.97523692664025,"vi",4,5.34168485602811,4.97523692664025,
12,29,"V",3,4.67282485091073,4.98091126823923,"V",3,4.67282485091073,4.98091126823923,
12,30,"ii",3,5.28465076736171,5.03202323896916,"ii",3,5.28465076736171,5.03202323896916,
12,31,"iii",3,4.46528238800648,4.64537506720914,"iii",3,4.46528238800648,4.64537506720914,
12,32,"ii",3,3.08693202925869,4.6053983536264,"ii",3,3.08693202925869,4.6053983536264,
12,33,"vi",4,5.34168485602811,4.97523692664025,"-VII",4,5.30992994991578,4.97523692664025,0.031754906112333
12,34,"V",3,4.67282485091073,4.98091126823923,"V",3,4.19983973728468,4.8089956638857,
12,35,"I",3,3.45192847775598,5.03202323896916,"I",3,1.92180010372579,4.2787718279903,
12,36,"I",4,3.89665337555967,4.81484990950208,"I",4,3.3984177507151,5.1976135341651,
