"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
142,10,"-VI",6.18076166270254,4.85663345200911,"II",6.18076166270254,4.85663345200911,0
148,10,"-VI",6.18076166270254,4.85663345200911,"II",6.18076166270254,4.85663345200911,0
139,15,"i",3.9033328589662,5.26961561554609,"-VI",3.89934922180431,5.26961561554609,0.00398363716188488
145,15,"i",3.9033328589662,5.26961561554609,"-VI",3.89934922180431,5.26961561554609,0.00398363716188488
151,15,"i",3.9033328589662,5.26961561554609,"-VI",3.89934922180431,5.26961561554609,0.00398363716188488
156,15,"i",3.9033328589662,5.26961561554609,"-VI",3.89934922180431,5.26961561554609,0.00398363716188488
124,9,"iv",4.10854638403872,4.47736195706817,"IV",4.10257311036106,4.47736195706817,0.0059732736776601
194,7,"iv",5.6922189597219,4.27423524316531,"iii",5.70083094746755,4.27423524316531,0.00861198774564986
106,13,"iv",4.5895698655335,4.604180560036,"-VII",4.59964873471586,4.604180560036,0.0100788691823546
175,9,"-VI",5.01465478061298,5.03397057025044,"IV",5.00273355778238,5.03397057025044,0.0119212228306047
180,9,"-VI",5.01465478061298,5.03397057025044,"IV",5.00273355778238,5.03397057025044,0.0119212228306047
185,9,"-VI",5.01465478061298,5.03397057025044,"IV",5.00273355778238,5.03397057025044,0.0119212228306047
103,4,"-VI",5.62949574644502,3.51793282216674,"V",5.64152328622716,3.51793282216674,0.0120275397821388
143,14,"v",4.55071457649561,5.17748481623284,"-III",4.53806642020758,5.17748481623284,0.012648156288031
149,14,"v",4.55071457649561,5.17748481623284,"-III",4.53806642020758,5.17748481623284,0.012648156288031
117,48,"IV",6.7854275984546,3.76577830564772,"-vi",6.80021243210008,3.76577830564772,0.0147848336454768
176,19,"v",4.90553119430083,4.84229553287379,"iv",4.92234883858461,4.84229553287379,0.016817644283778
181,19,"v",4.90553119430083,4.84229553287379,"iv",4.92234883858461,4.84229553287379,0.016817644283778
8,19,"v",4.90907652446652,4.6478601371348,"iv",4.9258941687503,4.6478601371348,0.0168176442837789
171,19,"v",6.05420916843749,3.14231317671879,"iv",6.07102681272127,3.14231317671879,0.0168176442837797
167,9,"I",4.43467955654108,5.16230324631322,"IV",4.41026855412272,5.16230324631322,0.0244110024183515
121,12,"-VII",2.96802483555642,4.85321401121649,"i",2.99504432384479,4.85321401121649,0.0270194882883676
159,15,"iv",3.71699236125484,4.86867726471243,"-VI",3.74641691647488,4.86867726471243,0.0294245552200376
81,14,"iv",5.33269220011954,5.22794042297966,"-III",5.36335921517139,5.22794042297966,0.0306670150518586
37,12,"iv",3.66076051110472,5.13276996517969,"i",3.62098006313711,5.13276996517969,0.0397804479676074
66,12,"iv",3.66076051110472,5.13276996517969,"i",3.62098006313711,5.13276996517969,0.0397804479676074
86,12,"iv",3.66076051110472,5.13276996517969,"i",3.62098006313711,5.13276996517969,0.0397804479676074
105,4,"v",4.56454526142622,4.84041590611259,"V",4.60725230722607,4.84041590611259,0.0427070457998475
186,14,"-VII",4.5689026531981,4.84229553287379,"-III",4.52306177193641,4.84229553287379,0.0458408812616922
140,14,"iv",5.03042254755142,5.21023130068122,"-III",4.9843167788132,5.21023130068122,0.0461057687382178
146,14,"iv",5.03042254755142,5.21023130068122,"-III",4.9843167788132,5.21023130068122,0.0461057687382178
157,14,"iv",5.03042254755142,5.21023130068122,"-III",4.9843167788132,5.21023130068122,0.0461057687382178
140,5,"iv",5.03042254755142,5.21023130068122,"I",5.07728213697213,5.21023130068122,0.0468595894207153
146,5,"iv",5.03042254755142,5.21023130068122,"I",5.07728213697213,5.21023130068122,0.0468595894207153
157,5,"iv",5.03042254755142,5.21023130068122,"I",5.07728213697213,5.21023130068122,0.0468595894207153
170,13,"-VI",3.10268511414309,4.78721782663176,"-VII",3.14978919473954,4.78721782663176,0.0471040805964513
194,3,"iv",5.6922189597219,4.27423524316531,"ii",5.64252090398681,4.27423524316531,0.0496980557350888
107,13,"iv",5.01094962359775,4.65403911685831,"-VII",5.06198834658072,4.65403911685831,0.0510387229829732
174,12,"-VI",6.03195350126153,4.66206898041826,"i",5.98019065617139,4.66206898041826,0.0517628450901384
179,12,"-VI",6.03195350126153,4.66206898041826,"i",5.98019065617139,4.66206898041826,0.0517628450901384
184,12,"-VI",6.03195350126153,4.66206898041826,"i",5.98019065617139,4.66206898041826,0.0517628450901384
169,19,"-VI",5.6180068067311,4.59058079897881,"iv",5.67091634318876,4.59058079897881,0.0529095364576513
195,5,"iv",3.7923437921301,5.29132330153368,"I",3.73673872145466,5.29132330153368,0.0556050706754485
186,4,"-VII",4.5689026531981,4.84229553287379,"V",4.51160216249361,4.84229553287379,0.0573004907044847
138,3,"-III",8.1199353270483,1.86500765044677,"ii",8.17957248174104,1.86500765044677,0.0596371546927408
155,3,"-III",6.38595905636812,3.9894633945257,"ii",6.44559621106086,3.9894633945257,0.0596371546927417
