"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
183,15,"IV",3.9569426588412,3.99414220075927,"-VI",3.96918685736111,3.99414220075927,0.0122441985199111
96,9,"V",2.96763992411029,4.34149868226703,"IV",2.95429497036024,4.34149868226703,0.0133449537500421
158,9,"V",2.96763992411029,4.34149868226703,"IV",2.95429497036024,4.34149868226703,0.0133449537500421
170,8,"i",5.46204002391652,4.7296576817612,"vi",5.47842645298749,4.7296576817612,0.0163864290709697
91,38,"-II",9.87010612013933,1.3211133804517,"#IV",9.8914193057852,1.3211133804517,0.0213131856458677
153,38,"-II",9.87010612013933,1.3211133804517,"#IV",9.8914193057852,1.3211133804517,0.0213131856458677
91,49,"-II",9.87010612013933,1.3211133804517,"io",9.84487474219497,1.3211133804517,0.02523137794436
153,49,"-II",9.87010612013933,1.3211133804517,"io",9.84487474219497,1.3211133804517,0.02523137794436
102,8,"-VII",6.03088716421672,4.79519506857435,"vi",5.99659498198771,4.79519506857435,0.0342921822290023
164,8,"-VII",6.03088716421672,4.79519506857435,"vi",5.99659498198771,4.79519506857435,0.0342921822290023
91,17,"-II",9.87010612013933,1.3211133804517,"vii",9.9056512577204,1.3211133804517,0.0355451375810638
153,17,"-II",9.87010612013933,1.3211133804517,"vii",9.9056512577204,1.3211133804517,0.0355451375810638
170,7,"i",5.46204002391652,4.7296576817612,"iii",5.42639261176486,4.7296576817612,0.0356474121516586
92,12,"I",4.05785476191299,5.30701367837903,"i",4.0982109901805,5.30701367837903,0.0403562282675098
154,12,"I",4.05785476191299,5.30701367837903,"i",4.0982109901805,5.30701367837903,0.0403562282675098
100,6,"VII",6.51578262729145,4.53772506882872,"VI",6.55965077229544,4.53772506882872,0.0438681450039855
162,6,"VII",6.51578262729145,4.53772506882872,"VI",6.55965077229544,4.53772506882872,0.0438681450039855
102,7,"-VII",6.03088716421672,4.79519506857435,"iii",6.07791607262186,4.79519506857435,0.0470289084051414
164,7,"-VII",6.03088716421672,4.79519506857435,"iii",6.07791607262186,4.79519506857435,0.0470289084051414
99,4,"-VII",4.61890493134799,4.8097114257149,"V",4.5616044406435,4.8097114257149,0.0573004907044847
161,4,"-VII",4.61890493134799,4.8097114257149,"V",4.5616044406435,4.8097114257149,0.0573004907044847
97,14,"-VI",5.84801686033236,4.57793930624698,"-III",5.78589339864176,4.57793930624698,0.0621234616905939
159,14,"-VI",5.84801686033236,4.57793930624698,"-III",5.78589339864176,4.57793930624698,0.0621234616905939
102,19,"-VII",6.03088716421672,4.79519506857435,"iv",6.09455918225495,4.79519506857435,0.0636720180382371
164,19,"-VII",6.03088716421672,4.79519506857435,"iv",6.09455918225495,4.79519506857435,0.0636720180382371
91,2,"-II",9.87010612013933,1.3211133804517,"V+",9.93711314406001,1.3211133804517,0.0670070239206737
153,2,"-II",9.87010612013933,1.3211133804517,"V+",9.93711314406001,1.3211133804517,0.0670070239206737
99,5,"-VII",4.61890493134799,4.8097114257149,"I",4.55118113880547,4.8097114257149,0.0677237925425214
161,5,"-VII",4.61890493134799,4.8097114257149,"I",4.55118113880547,4.8097114257149,0.0677237925425214
100,8,"VII",6.51578262729145,4.53772506882872,"vi",6.44800541646653,4.53772506882872,0.0677772108249233
162,8,"VII",6.51578262729145,4.53772506882872,"vi",6.44800541646653,4.53772506882872,0.0677772108249233
91,32,"-II",9.87010612013933,1.3211133804517,"iio",9.93831392475847,1.3211133804517,0.068207804619135
153,32,"-II",9.87010612013933,1.3211133804517,"iio",9.93831392475847,1.3211133804517,0.068207804619135
182,19,"-VII",5.95214707528356,1.81533169032556,"iv",5.87965448496844,1.81533169032556,0.072492590315119
170,19,"i",5.46204002391652,4.7296576817612,"iv",5.53673696800266,4.7296576817612,0.0746969440861358
105,13,"I",3.24606529891542,4.95871179759589,"-VII",3.32278905264544,4.95871179759589,0.0767237537300258
167,13,"I",3.24606529891542,4.95871179759589,"-VII",3.32278905264544,4.95871179759589,0.0767237537300258
99,11,"-VII",4.61890493134799,4.8097114257149,"v",4.69653075005023,4.8097114257149,0.0776258187022396
161,11,"-VII",4.61890493134799,4.8097114257149,"v",4.69653075005023,4.8097114257149,0.0776258187022396
91,25,"-II",9.87010612013933,1.3211133804517,"#io",9.79061611710146,1.3211133804517,0.0794900030378791
153,25,"-II",9.87010612013933,1.3211133804517,"#io",9.79061611710146,1.3211133804517,0.0794900030378791
91,41,"-II",9.87010612013933,1.3211133804517,"I+",9.94968497902127,1.3211133804517,0.0795788588819324
153,41,"-II",9.87010612013933,1.3211133804517,"I+",9.94968497902127,1.3211133804517,0.0795788588819324
97,10,"-VI",5.84801686033236,4.57793930624698,"II",5.76077790585854,4.57793930624698,0.0872389544738139
159,10,"-VI",5.84801686033236,4.57793930624698,"II",5.76077790585854,4.57793930624698,0.0872389544738139
106,9,"-VII",3.30866705347033,4.80992250765758,"IV",3.39907509730496,4.80992250765758,0.0904080438346355
168,9,"-VII",3.30866705347033,4.80992250765758,"IV",3.39907509730496,4.80992250765758,0.0904080438346355
18,8,"-VII",4.05469798372106,3.20782013636198,"vi",4.14988910660094,3.20782013636198,0.0951911228798803
120,8,"-VII",4.05469798372106,3.20782013636198,"vi",4.14988910660094,3.20782013636198,0.0951911228798803
102,12,"-VII",6.03088716421672,4.79519506857435,"i",6.1262129336411,4.79519506857435,0.0953257694243863
164,12,"-VII",6.03088716421672,4.79519506857435,"i",6.1262129336411,4.79519506857435,0.0953257694243863
