"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
17,22,"vio",6.92821612228667,4.70491435211679,"-iii",6.92821612228667,4.70491435211679,0
17,38,"vio",6.92821612228667,4.70491435211679,"#IV",6.92821612228667,4.70491435211679,0
50,8,"iv",5.0470017118992,4.20353379579051,"vi",5.0470017118992,4.20353379579051,0
79,8,"iv",5.0470017118992,4.20353379579051,"vi",5.0470017118992,4.20353379579051,0
52,9,"-III",5.15395650683686,5.17176112709372,"IV",5.15143248946311,5.17176112709372,0.00252401737375596
81,9,"-III",5.15395650683686,5.17176112709372,"IV",5.15143248946311,5.17176112709372,0.00252401737375596
111,9,"-VI",5.21196245187876,4.7222839069617,"IV",5.20785317381827,4.7222839069617,0.004109278060489
171,9,"-VI",5.21196245187876,4.7222839069617,"IV",5.20785317381827,4.7222839069617,0.004109278060489
103,5,"ii",4.18416673242547,4.09475591299881,"I",4.20232912107538,4.09475591299881,0.0181623886499143
163,5,"ii",4.18416673242547,4.09475591299881,"I",4.20232912107538,4.09475591299881,0.0181623886499143
34,19,"-VII",4.94815219596995,3.09310406234266,"iv",4.92747853605916,3.09310406234266,0.0206736599107957
18,9,"V",5.42635642131844,4.57047393627174,"IV",5.44820081036166,4.57047393627174,0.0218443890432196
54,11,"iv",4.97810707141321,5.13483715891068,"v",4.95541739398742,5.13483715891068,0.022689677425789
83,11,"iv",4.97810707141321,5.13483715891068,"v",4.95541739398742,5.13483715891068,0.022689677425789
95,33,"vi",7.32654605779386,3.72664133346863,"vio",7.35072587028899,3.72664133346863,0.0241798124951265
155,33,"vi",7.32654605779386,3.72664133346863,"vio",7.35072587028899,3.72664133346863,0.0241798124951265
20,15,"iv",6.83560282900578,3.71667331222668,"-VI",6.86320038756981,3.71667331222668,0.0275975585640298
17,28,"vio",6.92821612228667,4.70491435211679,"vo",6.88992578980222,4.70491435211679,0.0382903324844559
20,11,"iv",6.83560282900578,3.71667331222668,"v",6.79285318154644,3.71667331222668,0.0427496474593374
41,9,"-III",5.52034303712816,4.41173275567517,"IV",5.47674092667125,4.41173275567517,0.0436021104569075
45,14,"IV",5.47674092667125,4.41173275567517,"-III",5.52034303712816,4.41173275567517,0.0436021104569075
