"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"-VII",2,5.39578278686187,4.79517108237794
4,"IV",3,3.14396449597673,4.19940080198634
5,"I",4,1.58385424006784,4.37605303332226
6,"-VII",5,2.81370572478826,4.78089141643539
7,"IV",6,1.03054903419495,3.21230004445733
8,"I",7,2.06127371650929,4.60881890230236
9,"-VII",8,2.71108316127494,4.12920013926239
10,"IV",6,0.0207972532903108,0.170219480438351
11,"I",9,2.47622118743983,4.73990615310486
12,"-VII",10,0.409622389903604,1.93650435981855
13,"IV",6,0.0207972532903108,0.170219480438351
14,"I",10,0.689990367809095,2.77179497850698
15,"-VII",10,0.409622389903604,1.93650435981855
16,"IV",6,0.0207972532903108,0.170219480438351
17,"I",10,0.689990367809095,2.77179497850698
18,"-VII",10,0.409622389903604,1.93650435981855
19,"IV",6,0.0207972532903108,0.170219480438351
20,"I",10,0.689990367809095,2.77179497850698
21,"-VII",10,0.409622389903604,1.93650435981855
22,"IV",6,0.0207972532903108,0.170219480438351
23,"I",10,0.689990367809095,2.77179497850698
24,"-VII",10,0.409622389903604,1.93650435981855
25,"IV",6,0.0207972532903108,0.170219480438351
26,"I",10,0.689990367809095,2.77179497850698
27,"-VII",10,0.409622389903604,1.93650435981855
28,"IV",6,0.0207972532903108,0.170219480438351
29,"I",10,0.689990367809095,2.77179497850698
30,"-VII",10,0.409622389903604,1.93650435981855
31,"IV",6,0.0207972532903108,0.170219480438351
32,"I",10,0.689990367809095,2.77179497850698
33,"-VII",10,0.409622389903604,1.93650435981855
34,"IV",6,0.0207972532903108,0.170219480438351
35,"I",10,0.689990367809095,2.77179497850698
36,"-VII",10,0.409622389903604,1.93650435981855
37,"IV",6,0.0207972532903108,0.170219480438351
38,"IV",10,4.61511824362466,2.77179497850698
39,"-III",10,6.16201836458781,4.35208004855316
40,"-VII",3,4.33393960993072,5.16061734717558
41,"IV",3,3.16609549647786,4.87097204623485
42,"-III",4,3.28584537368883,4.70487962796382
43,"-VII",4,0.448702726412452,2.20109005130434
44,"IV",6,2.03731133206895,4.34808681023928
45,"-III",7,1.23988719835283,3.57808208646178
46,"-VII",4,0.448702726412452,2.20109005130434
47,"IV",9,2.48674235167487,4.52946426743167
48,"-III",7,0.818333486197013,2.93533813274364
49,"-VII",4,0.448702726412452,2.20109005130434
50,"I",10,1.16422229508083,3.55925399637298
51,"-VII",5,1.21635704985477,3.68347388135061
52,"IV",4,4.61359171300343,2.23416533952772
53,"I",4,2.91729478201395,4.91459821152937
54,"-VII",5,2.29002267957259,4.6348189807367
55,"IV",6,0.856918961112732,2.93339798635887
56,"v",7,5.01767836210745,4.34526463332951
57,"v",5,1.30177385677063,3.84277487681301
58,"-III",5,3.45083470262002,3.67080277698102
59,"-VI",5,4.92477724773184,4.27928851897388
60,"-III",3,4.45655374084569,5.12994422771374
61,"IV",3,3.58403663577476,4.62944194282637
62,"IV",4,3.7088210249831,4.38485853654815
63,"I",4,4.39369444825245,4.80203102324388
64,"-VII",4,5.10247000059035,4.70243863770934
65,"IV",4,2.25609341360719,4.17133859847162
66,"I",5,2.76044434160076,4.72203101171188
67,"-VII",6,3.34900176250589,4.60436331273785
68,"IV",6,0.734423657423363,2.6995089463838
69,"I",7,2.63466132942103,4.78972925186923
70,"-VII",8,2.62609946984441,4.68490152682997
71,"IV",6,0.0207972532903108,0.170219480438351
72,"I",10,0.689990367809095,2.77179497850698
73,"-VII",10,0.409622389903604,1.93650435981855
74,"IV",6,0.0207972532903108,0.170219480438351
75,"I",10,0.689990367809095,2.77179497850698
