"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,24,"V",6,2.03477284728547,3.9939271638346,"V",6,2.03477284728547,3.9939271638346,
1,25,"V",7,3.31826598967906,4.51070435548316,"V",7,3.31826598967906,4.51070435548316,
1,26,"#IV",8,7.9787595497517,3.50088941372446,"#IV",8,7.9787595497517,3.50088941372446,
1,27,"IV",3,5.43477283214137,4.74428886040213,"IV",3,5.43477283214137,4.74428886040213,
1,28,"IV",2,3.54613790472191,5.24399505831269,"IV",2,3.54613790472191,5.24399505831269,
1,29,"-III",3,5.45727652625884,4.90428985523831,"II",3,5.45727652625884,4.90428985523831,0
1,30,"I",3,4.33673015907722,5.20362903140333,"I",3,4.35276911921769,4.55898169461804,
1,31,"I",4,1.50811603164147,4.20050935811652,"I",3,3.65301967674494,5.25315224133312,
1,32,"IV",5,3.03432585733568,5.02760838148032,"IV",4,4.83706531515051,5.02653130785811,
1,33,"V",6,4.52865061042814,4.71628995647684,"V",4,4.30914542253491,4.9738391348147,
1,34,"I",4,2.46234198115903,4.74811802960503,"I",4,2.46234198115903,4.74811802960503,
,,,,,,,,,,
2,47,"V",6,2.03477284728547,3.9939271638346,"V",6,2.03477284728547,3.9939271638346,
2,48,"V",7,3.31826598967906,4.51070435548316,"V",7,3.31826598967906,4.51070435548316,
2,49,"#IV",8,7.9787595497517,3.50088941372446,"#IV",8,7.9787595497517,3.50088941372446,
2,50,"IV",3,5.43477283214137,4.74428886040213,"IV",3,5.43477283214137,4.74428886040213,
2,51,"IV",2,3.54613790472191,5.24399505831269,"IV",2,3.54613790472191,5.24399505831269,
2,52,"-III",3,5.45727652625884,4.90428985523831,"II",3,5.45727652625884,4.90428985523831,0
2,53,"I",3,4.33673015907722,5.20362903140333,"I",3,4.35276911921769,4.55898169461804,
2,54,"I",4,1.50811603164147,4.20050935811652,"I",3,3.65301967674494,5.25315224133312,
