"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
34,5,"V",3.15725731737661,4.97956259705543,"I",3.16156094882584,4.97956259705543,0.00430363144922508
55,5,"V",3.15725731737661,4.97956259705543,"I",3.16156094882584,4.97956259705543,0.00430363144922508
103,5,"V",3.15725731737661,4.97956259705543,"I",3.16156094882584,4.97956259705543,0.00430363144922508
80,4,"iv",4.69129963444868,3.95547998927035,"V",4.68555073792728,3.95547998927035,0.00574889652140342
28,8,"iv",5.57487161343605,4.80306051837932,"vi",5.56858408098349,4.80306051837932,0.00628753245256153
49,8,"iv",5.57487161343605,4.80306051837932,"vi",5.56858408098349,4.80306051837932,0.00628753245256153
97,8,"iv",5.57487161343605,4.80306051837932,"vi",5.56858408098349,4.80306051837932,0.00628753245256153
29,15,"-III",3.96458899987725,5.09982174954219,"-VI",3.98309988141623,5.09982174954219,0.018510881538981
50,15,"-III",3.96458899987725,5.09982174954219,"-VI",3.98309988141623,5.09982174954219,0.018510881538981
98,15,"-III",3.96458899987725,5.09982174954219,"-VI",3.98309988141623,5.09982174954219,0.018510881538981
77,12,"-VI",4.22232266865795,4.80544852294795,"i",4.24932813970361,4.80544852294795,0.027005471045654
28,11,"iv",5.57487161343605,4.80306051837932,"v",5.60880247876305,4.80306051837932,0.0339308653269947
49,11,"iv",5.57487161343605,4.80306051837932,"v",5.60880247876305,4.80306051837932,0.0339308653269947
97,11,"iv",5.57487161343605,4.80306051837932,"v",5.60880247876305,4.80306051837932,0.0339308653269947
76,4,"-VII",5.17770807411611,4.22964455296083,"V",5.22032549247532,4.22964455296083,0.0426174183592076
76,19,"-VII",5.17770807411611,4.22964455296083,"iv",5.13422242723178,4.22964455296083,0.043485646884335
70,22,"-II",6.22481551903302,5.13399392830119,"-iii",6.27611674773854,5.13399392830119,0.0513012287055128
78,14,"V",3.56194322108174,4.91981670822989,"-III",3.6397063442469,4.91981670822989,0.0777631231651612
24,11,"iv",5.40114134409545,4.76082609903124,"v",5.48149272982828,4.76082609903124,0.0803513857328326
45,11,"iv",5.40114134409545,4.76082609903124,"v",5.48149272982828,4.76082609903124,0.0803513857328326
93,11,"iv",5.40114134409545,4.76082609903124,"v",5.48149272982828,4.76082609903124,0.0803513857328326
80,14,"iv",4.69129963444868,3.95547998927035,"-III",4.59902442246737,3.95547998927035,0.0922752119813071
