"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,59,"IV",10,2.47175049100906,4.33728450835025,"IV",10,2.47175049100906,4.33728450835025,
1,60,"V",6,0.635676202901192,2.57709883620218,"V",6,0.635676202901192,2.57709883620218,
1,61,"I",5,0.461336586710615,2.21941186159019,"I",5,0.461336586710615,2.21941186159019,
1,62,"iii",9,1.42872512571489,4.10729668937809,"iii",9,1.42872512571489,4.10729668937809,
1,63,"vi",6,0.4187739673426,1.90841988934146,"vi",6,0.4187739673426,1.90841988934146,
1,64,"VI",10,4.94625672159121,4.33728450835025,"ii",10,4.95545374326059,4.33728450835025,0.00919702166937775
1,65,"I",5,6.07328348429758,3.97801790615129,"I",4,4.83975962337319,4.22949077220719,
1,66,"iii",2,5.86515422393362,5.26415562168084,"iii",4,4.97734039923432,5.19377658266434,
1,67,"iii",2,4.4481789832047,5.21396478523609,"iii",4,5.04885214682116,4.42989320185879,
1,68,"ii",3,4.8590275948392,5.15673659003912,"ii",3,4.8590275948392,5.15673659003912,
1,69,"ii",3,2.15982707529194,4.61710416302975,"ii",3,2.15982707529194,4.61710416302975,
,,,,,,,,,,
2,61,"I",5,0.461336586710615,2.21941186159019,"I",5,0.461336586710615,2.21941186159019,
2,62,"iii",9,1.42872512571489,4.10729668937809,"iii",9,1.42872512571489,4.10729668937809,
2,63,"vi",6,0.4187739673426,1.90841988934146,"vi",6,0.4187739673426,1.90841988934146,
2,64,"VI",10,4.94625672159121,4.33728450835025,"VI",10,4.94625672159121,4.33728450835025,
2,65,"I",5,6.07328348429758,3.97801790615129,"I",5,6.07328348429758,3.97801790615129,
2,66,"iii",2,5.86515422393362,5.26415562168084,"i",2,5.87965696229435,5.26415562168084,0.0145027383607346
2,67,"iii",2,4.4481789832047,5.21396478523609,"iii",2,6.57271382362693,5.31151939128831,
2,68,"ii",3,4.8590275948392,5.15673659003912,"ii",1,5.026973506273,5.43813566654174,
2,69,"ii",3,2.15982707529194,4.61710416302975,"ii",2,3.71225169578844,5.19835594658535,
2,70,"ii",4,3.86170347850359,4.62765291301782,"ii",3,3.57058627724992,4.98634381530643,
2,71,"IV",4,2.20705126504829,4.53477891343005,"IV",4,2.20705126504829,4.53477891343005,
,,,,,,,,,,
3,61,"I",5,0.461336586710615,2.21941186159019,"I",5,0.461336586710615,2.21941186159019,
3,62,"iii",9,1.42872512571489,4.10729668937809,"iii",9,1.42872512571489,4.10729668937809,
3,63,"vi",6,0.4187739673426,1.90841988934146,"vi",6,0.4187739673426,1.90841988934146,
3,64,"VI",10,4.94625672159121,4.33728450835025,"VI",10,4.94625672159121,4.33728450835025,
3,65,"I",5,6.07328348429758,3.97801790615129,"I",5,6.07328348429758,3.97801790615129,
3,66,"iii",2,5.86515422393362,5.26415562168084,"iv",2,5.8480032109082,5.26415562168084,0.0171510130254147
3,67,"iii",2,4.4481789832047,5.21396478523609,"iii",2,5.80631420980984,5.3452919968364,
3,68,"ii",3,4.8590275948392,5.15673659003912,"ii",3,5.8442019620727,4.24238008101602,
3,69,"ii",3,2.15982707529194,4.61710416302975,"ii",2,3.71225169578844,5.19835594658535,
3,70,"ii",4,3.86170347850359,4.62765291301782,"ii",3,3.57058627724992,4.98634381530643,
3,71,"IV",4,2.20705126504829,4.53477891343005,"IV",4,2.20705126504829,4.53477891343005,
,,,,,,,,,,
4,62,"iii",9,1.42872512571489,4.10729668937809,"iii",9,1.42872512571489,4.10729668937809,
4,63,"vi",6,0.4187739673426,1.90841988934146,"vi",6,0.4187739673426,1.90841988934146,
4,64,"VI",10,4.94625672159121,4.33728450835025,"VI",10,4.94625672159121,4.33728450835025,
4,65,"I",5,6.07328348429758,3.97801790615129,"I",5,6.07328348429758,3.97801790615129,
4,66,"iii",2,5.86515422393362,5.26415562168084,"iii",2,5.86515422393362,5.26415562168084,
4,67,"iii",2,4.4481789832047,5.21396478523609,"I",2,4.47239431313346,5.21396478523609,0.0242153299287571
4,68,"ii",3,4.8590275948392,5.15673659003912,"ii",3,2.98837624027743,4.70436016775468,
4,69,"ii",3,2.15982707529194,4.61710416302975,"ii",4,3.08012183045017,5.06610181689644,
4,70,"ii",4,3.86170347850359,4.62765291301782,"ii",5,4.358773161082,4.34716824426873,
4,71,"IV",4,2.20705126504829,4.53477891343005,"IV",4,4.50747525921009,4.77623543694825,
4,72,"V",5,3.70932191079082,4.31981254376125,"V",4,3.43433403939377,4.64733268637087,
,,,,,,,,,,
5,105,"V",5,3.78789539950649,4.97376796660542,"V",5,3.78789539950649,4.97376796660542,
5,106,"V",6,3.46835925949834,4.66028988057092,"V",6,3.46835925949834,4.66028988057092,
5,107,"-VI",6,6.21866536105464,4.72412403953515,"-VI",6,6.21866536105464,4.72412403953515,
5,108,"I",3,4.58101026341702,5.03477553539702,"I",3,4.58101026341702,5.03477553539702,
5,109,"iii",3,4.16415092455051,5.33865696342211,"iii",3,4.16415092455051,5.33865696342211,
5,110,"iii",4,5.19216262384771,3.99864794994559,"I",4,5.21637795377647,3.99864794994559,0.0242153299287571
5,111,"ii",3,4.8590275948392,5.15673659003912,"ii",3,2.98837624027743,4.70436016775468,
5,112,"ii",3,2.15982707529194,4.61710416302975,"ii",4,3.08012183045017,5.06610181689644,
5,113,"ii",4,3.86170347850359,4.62765291301782,"ii",5,4.358773161082,4.34716824426873,
5,114,"IV",4,2.20705126504829,4.53477891343005,"IV",4,4.50747525921009,4.77623543694825,
5,115,"V",5,3.70932191079082,4.31981254376125,"V",4,3.43433403939377,4.64733268637087,
,,,,,,,,,,
6,102,"V",6,0.635676202901192,2.57709883620218,"V",6,0.635676202901192,2.57709883620218,
6,103,"I",5,0.461336586710615,2.21941186159019,"I",5,0.461336586710615,2.21941186159019,
6,104,"I",9,4.50105844872546,4.10729668937809,"I",9,4.50105844872546,4.10729668937809,
6,105,"V",5,3.78789539950649,4.97376796660542,"V",5,3.78789539950649,4.97376796660542,
6,106,"V",6,3.46835925949834,4.66028988057092,"V",6,3.46835925949834,4.66028988057092,
6,107,"-VI",6,6.21866536105464,4.72412403953515,"-III",6,6.18920664063458,4.72412403953515,0.0294587204200587
6,108,"I",3,4.58101026341702,5.03477553539702,"I",3,5.19528811448585,4.83621440432797,
6,109,"iii",3,4.16415092455051,5.33865696342211,"iii",3,6.18380017791119,4.7630895171863,
6,110,"iii",4,5.19216262384771,3.99864794994559,"iii",2,4.4481789832047,5.21396478523609,
6,111,"ii",3,4.8590275948392,5.15673659003912,"ii",3,4.8590275948392,5.15673659003912,
6,112,"ii",3,2.15982707529194,4.61710416302975,"ii",3,2.15982707529194,4.61710416302975,
,,,,,,,,,,
7,60,"V",6,0.635676202901192,2.57709883620218,"V",6,0.635676202901192,2.57709883620218,
7,61,"I",5,0.461336586710615,2.21941186159019,"I",5,0.461336586710615,2.21941186159019,
7,62,"iii",9,1.42872512571489,4.10729668937809,"iii",9,1.42872512571489,4.10729668937809,
