"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,87,"r",9,1.24472441170184,2.9657823511308,"r",9,1.24472441170184,2.9657823511308,
1,88,"-VII",7,7.18341524331874,2.67284209098285,"-VII",7,7.18341524331874,2.67284209098285,
1,89,"IV",3,4.3390250491216,4.7409820563515,"IV",3,4.3390250491216,4.7409820563515,
1,90,"I",3,1.29232236535487,4.11730865971884,"I",3,1.29232236535487,4.11730865971884,
1,91,"I",4,3.23800313605169,5.10147358377768,"I",4,3.23800313605169,5.10147358377768,
1,92,"-VII",5,4.20164316408827,4.63640991652207,"V",5,4.2007901152486,4.63640991652207,0.000853048839672077
1,93,"IV",5,2.45520545139145,4.22655334990658,"IV",5,3.8018208157434,4.76351876199493,
1,94,"I",6,2.70794485958272,4.77561843633251,"I",5,2.62918488871833,4.59202014749649,
1,95,"I",7,2.72319370142636,4.75511676104014,"I",6,2.67640235109486,4.65980988692404,
1,96,"-VII",8,3.2699509373011,4.79037572221455,"-VII",7,5.93693382211368,4.61269246837237,
1,97,"IV",8,0.0711222307281662,0.453808223440925,"IV",4,3.13213006998605,4.48832647287031,
,,,,,,,,,,
2,53,"II",3,4.74063416849767,4.93193522923035,"II",3,4.74063416849767,4.93193522923035,
2,54,"I",3,3.40567475708095,4.74234636556337,"I",3,3.40567475708095,4.74234636556337,
2,55,"-VII",4,5.69683857755014,4.51804951544287,"-VII",4,5.69683857755014,4.51804951544287,
2,56,"IV",3,4.05948792635897,4.69419363325018,"IV",3,4.05948792635897,4.69419363325018,
2,57,"I",3,3.36005742774489,5.12330830897911,"I",3,3.36005742774489,5.12330830897911,
2,58,"V",4,4.07911188415027,5.04343828511188,"IV",4,4.06418267877782,5.04343828511188,0.0149292053724546
2,59,"ii",5,4.70902653229698,4.75526720386238,"ii",5,5.27891964040613,4.91221082328021,
2,60,"ii",4,5.06364737448736,4.29706786223687,"ii",4,2.82821491543349,4.53776033518898,
2,61,"V",3,3.13446782221185,5.01321462995249,"V",5,2.3331466606842,3.68020732394145,
2,62,"I",4,2.34201702422628,4.19406814627609,"I",5,1.5076257544465,3.49787322192635,
2,63,"I",5,3.14164855778368,5.17425208959338,"I",6,2.88332087277233,4.84522484223508,
,,,,,,,,,,
3,83,"V",6,2.19852201888993,4.73907567761019,"V",6,2.19852201888993,4.73907567761019,
3,84,"V",7,2.06627059337888,4.53279403156461,"V",7,2.06627059337888,4.53279403156461,
3,85,"V",8,1.42611775828484,4.06607912279761,"V",8,1.42611775828484,4.06607912279761,
3,86,"r",9,3.65583840280848,3.81626273932748,"r",9,3.65583840280848,3.81626273932748,
3,87,"r",9,1.24472441170184,2.9657823511308,"r",9,1.24472441170184,2.9657823511308,
3,88,"-VII",7,7.18341524331874,2.67284209098285,"vi",7,7.20557215085312,2.67284209098285,0.0221569075343808
3,89,"IV",3,4.3390250491216,4.7409820563515,"IV",3,5.09361565390351,5.07972073666664,
3,90,"I",3,1.29232236535487,4.11730865971884,"I",3,4.63740772184,4.9309650432945,
3,91,"I",4,3.23800313605169,5.10147358377768,"I",3,3.48949427076498,5.17097761359241,
3,92,"-VII",5,4.20164316408827,4.63640991652207,"-VII",4,5.25825119085548,5.25666107597355,
3,93,"IV",5,2.45520545139145,4.22655334990658,"IV",4,3.13213006998605,4.48832647287031,
,,,,,,,,,,
4,4,"ii",3,4.58521059859516,4.87183256907133,"ii",3,4.58521059859516,4.87183256907133,
4,5,"V",3,3.13446782221185,5.01321462995249,"V",3,3.13446782221185,5.01321462995249,
4,6,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
4,7,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
4,8,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
4,9,"ii",5,4.79144276357159,4.90618673923821,"-VII",5,4.76882437393307,4.90618673923821,0.022618389638521
4,10,"ii",5,5.40568412836448,3.80320935745719,"ii",5,7.1780777360798,3.6515907955356,
4,11,"V",3,3.13446782221185,5.01321462995249,"V",2,4.16551466165405,5.36991498443732,
4,12,"I",4,2.34201702422628,4.19406814627609,"I",3,4.10673569670105,4.70938828598397,
4,13,"I",5,3.14164855778368,5.17425208959338,"I",3,4.08424057612468,5.39927097019531,
4,14,"V",6,5.02904016266141,4.60772627462074,"V",4,4.53433359198612,5.22238384548191,
,,,,,,,,,,
5,10,"ii",5,5.40568412836448,3.80320935745719,"ii",5,5.40568412836448,3.80320935745719,
5,11,"V",3,3.13446782221185,5.01321462995249,"V",3,3.13446782221185,5.01321462995249,
5,12,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
5,13,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
5,14,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
5,15,"ii",5,4.79144276357159,4.90618673923821,"-VII",5,4.76882437393307,4.90618673923821,0.022618389638521
5,16,"ii",5,5.40568412836448,3.80320935745719,"ii",5,7.1780777360798,3.6515907955356,
5,17,"V",3,3.13446782221185,5.01321462995249,"V",2,4.16551466165405,5.36991498443732,
5,18,"I",4,2.34201702422628,4.19406814627609,"I",3,4.10673569670105,4.70938828598397,
5,19,"-VII",5,5.37467782256557,5.17425208959338,"-VII",3,5.06840940151866,5.39927097019531,
5,20,"IV",4,3.64846705905107,4.17636577258886,"IV",4,3.64846705905107,4.17636577258886,
,,,,,,,,,,
6,30,"ii",5,5.36839697459648,3.78619775784129,"ii",5,5.36839697459648,3.78619775784129,
6,31,"V",3,3.13446782221185,5.01321462995249,"V",3,3.13446782221185,5.01321462995249,
6,32,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
6,33,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
6,34,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
6,35,"ii",5,4.79144276357159,4.90618673923821,"-VII",5,4.76882437393307,4.90618673923821,0.022618389638521
6,36,"ii",5,5.40568412836448,3.80320935745719,"ii",5,7.1780777360798,3.6515907955356,
6,37,"V",3,3.13446782221185,5.01321462995249,"V",2,4.16551466165405,5.36991498443732,
6,38,"I",4,2.34201702422628,4.19406814627609,"I",3,4.10673569670105,4.70938828598397,
6,39,"-VII",5,5.37467782256557,5.17425208959338,"-VII",3,5.06840940151866,5.39927097019531,
6,40,"IV",4,3.64846705905107,4.17636577258886,"IV",4,3.64846705905107,4.17636577258886,
,,,,,,,,,,
7,60,"ii",4,5.06364737448736,4.29706786223687,"ii",4,5.06364737448736,4.29706786223687,
7,61,"V",3,3.13446782221185,5.01321462995249,"V",3,3.13446782221185,5.01321462995249,
7,62,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
7,63,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
7,64,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
7,65,"ii",5,4.79144276357159,4.90618673923821,"-VII",5,4.76882437393307,4.90618673923821,0.022618389638521
7,66,"ii",5,5.40568412836448,3.80320935745719,"ii",5,7.1780777360798,3.6515907955356,
7,67,"V",3,3.13446782221185,5.01321462995249,"V",2,4.16551466165405,5.36991498443732,
7,68,"I",4,2.34201702422628,4.19406814627609,"I",3,4.10673569670105,4.70938828598397,
7,69,"-VII",5,5.37467782256557,5.17425208959338,"-VII",3,5.06840940151866,5.39927097019531,
7,70,"IV",4,3.64846705905107,4.17636577258886,"IV",4,3.64846705905107,4.17636577258886,
,,,,,,,,,,
8,103,"I",10,1.02418419076216,3.30098174858142,"I",10,1.02418419076216,3.30098174858142,
8,104,"-VII",10,0.959934517271942,3.2260104286498,"-VII",10,0.959934517271942,3.2260104286498,
8,105,"-VII",8,7.4295634424459,0.453808223440925,"-VII",8,7.4295634424459,0.453808223440925,
8,106,"IV",6,3.86866586660385,4.5285825898862,"IV",6,3.86866586660385,4.5285825898862,
8,107,"IV",6,1.49904493570448,4.17388769513753,"IV",6,1.49904493570448,4.17388769513753,
8,108,"-VI",7,5.69875056364508,4.26023239554888,"-III",7,5.72502098536459,4.26023239554888,0.026270421719504
8,109,"-VII",4,3.94951861883547,4.26582587019491,"-VII",4,2.34308525340569,4.87835082896697,
8,110,"I",4,1.15107679606618,3.45502493170199,"I",4,4.29845386714948,3.50000535818714,
8,111,"r",5,3.50593656212433,4.4546448535535,"r",4,2.56858059915081,4.72213356110256,
8,112,"r",4,1.0433648442588,3.07310793246942,"r",4,1.20950109867484,3.27311559123597,
,,,,,,,,,,
9,6,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
9,7,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
9,8,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
9,9,"ii",5,4.79144276357159,4.90618673923821,"ii",5,4.79144276357159,4.90618673923821,
9,10,"ii",5,5.40568412836448,3.80320935745719,"ii",5,5.40568412836448,3.80320935745719,
9,11,"V",3,3.13446782221185,5.01321462995249,"ii",3,3.10682724322177,5.01321462995249,0.0276405789900744
9,12,"I",4,2.34201702422628,4.19406814627609,"I",4,4.47435621561972,4.42443520143988,
9,13,"I",5,3.14164855778368,5.17425208959338,"I",4,2.29914526170396,4.84425939160754,
9,14,"V",6,5.02904016266141,4.60772627462074,"V",5,4.17822137150516,4.93641527522697,
9,15,"ii",5,4.79144276357159,4.90618673923821,"ii",5,5.24046805699727,4.37704322323698,
9,16,"ii",5,5.40568412836448,3.80320935745719,"ii",4,5.01621863888633,4.4040716270172,
,,,,,,,,,,
10,12,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
10,13,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
10,14,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
10,15,"ii",5,4.79144276357159,4.90618673923821,"ii",5,4.79144276357159,4.90618673923821,
10,16,"ii",5,5.40568412836448,3.80320935745719,"ii",5,5.40568412836448,3.80320935745719,
10,17,"V",3,3.13446782221185,5.01321462995249,"ii",3,3.10682724322177,5.01321462995249,0.0276405789900744
10,18,"I",4,2.34201702422628,4.19406814627609,"I",4,4.47435621561972,4.42443520143988,
10,19,"-VII",5,5.37467782256557,5.17425208959338,"-VII",4,5.18252513705109,4.84425939160754,
10,20,"IV",4,3.64846705905107,4.17636577258886,"IV",4,3.41143012233045,4.34450600266502,
10,21,"I",4,2.64968646512126,4.81714875755371,"I",4,2.67186567999149,4.83330586917326,
10,22,"-VII",5,2.78548799744934,4.79905482793286,"-VII",5,3.710578152467,4.65051487569046,
,,,,,,,,,,
11,26,"IV",8,3.6562198393718,3.89478239076698,"IV",8,3.6562198393718,3.89478239076698,
11,27,"I",7,2.07265869470155,4.63946704438706,"I",7,2.07265869470155,4.63946704438706,
11,28,"V",6,4.37317928270682,3.75984462237507,"V",6,4.37317928270682,3.75984462237507,
11,29,"ii",6,4.75529193614486,4.46151223798748,"ii",6,4.75529193614486,4.46151223798748,
11,30,"ii",5,5.36839697459648,3.78619775784129,"ii",5,5.36839697459648,3.78619775784129,
11,31,"V",3,3.13446782221185,5.01321462995249,"ii",3,3.10682724322177,5.01321462995249,0.0276405789900744
11,32,"I",4,2.34201702422628,4.19406814627609,"I",4,4.47435621561972,4.42443520143988,
11,33,"I",5,3.14164855778368,5.17425208959338,"I",4,2.29914526170396,4.84425939160754,
11,34,"V",6,5.02904016266141,4.60772627462074,"V",5,4.17822137150516,4.93641527522697,
11,35,"ii",5,4.79144276357159,4.90618673923821,"ii",5,5.24046805699727,4.37704322323698,
11,36,"ii",5,5.40568412836448,3.80320935745719,"ii",4,5.01621863888633,4.4040716270172,
,,,,,,,,,,
12,32,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
12,33,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
12,34,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
12,35,"ii",5,4.79144276357159,4.90618673923821,"ii",5,4.79144276357159,4.90618673923821,
12,36,"ii",5,5.40568412836448,3.80320935745719,"ii",5,5.40568412836448,3.80320935745719,
12,37,"V",3,3.13446782221185,5.01321462995249,"ii",3,3.10682724322177,5.01321462995249,0.0276405789900744
12,38,"I",4,2.34201702422628,4.19406814627609,"I",4,4.47435621561972,4.42443520143988,
12,39,"-VII",5,5.37467782256557,5.17425208959338,"-VII",4,5.18252513705109,4.84425939160754,
12,40,"IV",4,3.64846705905107,4.17636577258886,"IV",4,3.41143012233045,4.34450600266502,
12,41,"I",4,2.64968646512126,4.81714875755371,"I",4,2.67186567999149,4.83330586917326,
12,42,"-VII",5,2.78548799744934,4.79905482793286,"-VII",5,3.710578152467,4.65051487569046,
,,,,,,,,,,
13,56,"IV",3,4.05948792635897,4.69419363325018,"IV",3,4.05948792635897,4.69419363325018,
13,57,"I",3,3.36005742774489,5.12330830897911,"I",3,3.36005742774489,5.12330830897911,
13,58,"V",4,4.07911188415027,5.04343828511188,"V",4,4.07911188415027,5.04343828511188,
13,59,"ii",5,4.70902653229698,4.75526720386238,"ii",5,4.70902653229698,4.75526720386238,
13,60,"ii",4,5.06364737448736,4.29706786223687,"ii",4,5.06364737448736,4.29706786223687,
13,61,"V",3,3.13446782221185,5.01321462995249,"ii",3,3.10682724322177,5.01321462995249,0.0276405789900744
13,62,"I",4,2.34201702422628,4.19406814627609,"I",4,4.47435621561972,4.42443520143988,
13,63,"I",5,3.14164855778368,5.17425208959338,"I",4,2.29914526170396,4.84425939160754,
13,64,"V",6,5.02904016266141,4.60772627462074,"V",5,4.17822137150516,4.93641527522697,
13,65,"ii",5,4.79144276357159,4.90618673923821,"ii",5,5.24046805699727,4.37704322323698,
13,66,"ii",5,5.40568412836448,3.80320935745719,"ii",4,5.01621863888633,4.4040716270172,
,,,,,,,,,,
14,62,"I",4,2.34201702422628,4.19406814627609,"I",4,2.34201702422628,4.19406814627609,
14,63,"I",5,3.14164855778368,5.17425208959338,"I",5,3.14164855778368,5.17425208959338,
14,64,"V",6,5.02904016266141,4.60772627462074,"V",6,5.02904016266141,4.60772627462074,
14,65,"ii",5,4.79144276357159,4.90618673923821,"ii",5,4.79144276357159,4.90618673923821,
14,66,"ii",5,5.40568412836448,3.80320935745719,"ii",5,5.40568412836448,3.80320935745719,
14,67,"V",3,3.13446782221185,5.01321462995249,"ii",3,3.10682724322177,5.01321462995249,0.0276405789900744
14,68,"I",4,2.34201702422628,4.19406814627609,"I",4,4.47435621561972,4.42443520143988,
