"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"V",2,3.96088151639943,4.79670005186907
4,"I",3,2.06584501578179,4.4546037197852
5,"I",4,2.69519981379263,4.3871705780287
6,"V",5,3.6137769469515,4.82049698126061
7,"I",6,3.4216383682084,4.55631981796963
8,"V",6,2.32687397252285,4.34602094232597
9,"I",7,2.07397609894852,4.47091486519367
10,"V",8,2.98673101260033,4.49591524109744
11,"I",8,1.161954328077,3.62090853387349
12,"I",8,3.84470934252792,3.15891011369082
13,"V",8,4.43214372805379,3.06962916235283
14,"I",7,2.90799617244007,4.55799148282014
15,"V",7,1.55995364547107,3.9162598765103
16,"I",8,2.31083174754103,4.13799198982132
17,"I",8,3.27569941768757,4.49591524109744
18,"I",8,2.880554605939,4.15450565022554
19,"I",8,1.9185886979073,4.30226375329584
20,"I",9,1.59958431523608,4.00806804620847
21,"I",10,2.57171775521011,4.28922771826784
22,"I",9,1.74738941828196,4.33736411546187
23,"I",10,2.17325076029077,4.55882151257278
24,"V",10,2.56197209001123,4.47166339736186
25,"I",10,3.89543826572967,3.40201342071043
26,"I",10,2.16307182445737,4.26649441675895
27,"V",10,3.6965317855458,3.05680799405603
28,"I",7,3.32642677911169,3.82099555423997
29,"I",7,1.70234126224019,4.19242814699526
30,"I",8,2.32559690042015,4.0363391902449
31,"I",9,2.25093223334065,4.04683457875095
32,"I",9,2.75578221922391,4.43251194292226
33,"V",9,4.15857642343522,4.07442029754698
34,"vi",8,3.89067119833387,4.34801148976199
35,"V",8,3.67266507756447,3.53211279286836
36,"V",6,3.59653663661378,4.11070532450041
37,"ii",5,5.62476594469026,4.27449702687195
38,"I",4,4.61235631974757,4.62723257617545
39,"I",4,4.29761379814402,4.8779866964345
40,"IV",4,3.42588724511186,5.16881482243561
41,"I",5,3.96543914377573,4.6766121513989
42,"I",5,3.8949704243715,4.8281267510681
43,"IV",5,3.53642772906369,5.07073610348123
44,"I",6,2.41895626072095,4.60358355424599
45,"I",7,2.93807279192612,4.75692421245383
46,"I",8,2.30945423639285,4.03602252047094
47,"I",9,2.84619389734571,4.27894281688127
48,"I",9,2.50794707415928,4.66669524789825
49,"V",9,5.29031601132749,4.25320622859386
50,"I",7,2.61655279445741,4.49697667065375
51,"V",8,3.17548426624884,4.07552183756043
52,"V",6,5.82006807018222,2.11489156214626
53,"I",5,2.46353493854943,4.76519439205095
54,"V",6,2.40694861539134,4.55824333407156
55,"I",7,1.12182502607152,3.63085786263229
56,"I",8,3.81050562228086,4.03205334970293
57,"I",6,2.92138110156845,4.73641542807292
58,"I",7,2.49144458312004,3.97545646746561
59,"V",7,3.18993338573223,4.55302003825777
60,"I",8,3.22179844579767,3.78928025122674
61,"I",8,1.23680818032533,3.78561458696043
62,"V",9,3.2968568156143,4.26313907689799
63,"I",7,3.32642677911169,3.82099555423997
64,"I",7,1.70234126224019,4.19242814699526
65,"I",8,2.32559690042015,4.0363391902449
66,"I",9,2.25093223334065,4.04683457875095
67,"I",9,2.75578221922391,4.43251194292226
68,"V",9,4.15857642343522,4.07442029754698
69,"I",8,2.5685879983816,4.34801148976199
70,"V",8,3.64713748924019,3.17899545016291
71,"V",6,5.82006807018222,2.11489156214626
72,"ii",5,4.14274134259052,4.76519439205095
73,"I",6,4.52822556275784,4.7284213771923
74,"I",4,4.29761379814402,4.8779866964345
75,"IV",4,3.42588724511186,5.16881482243561
76,"I",5,3.96543914377573,4.6766121513989
77,"I",5,3.8949704243715,4.8281267510681
78,"IV",5,3.53642772906369,5.07073610348123
79,"I",6,2.41895626072095,4.60358355424599
