"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"IV",1,4.80290618807671,4.04465863263071
3,"IV",2,3.31846947031802,5.1898900505182
4,"I",3,2.62921344649826,4.96046289348224
5,"I",4,2.56621459399652,4.8343214081003
6,"V",5,4.54984136492429,4.78072274867509
7,"V",5,2.67798532315332,4.72451764717082
8,"I",6,3.19795005327971,4.84907115432908
9,"I",7,1.87590491394825,4.32036463793915
10,"IV",8,3.50247487592794,4.83818478916855
11,"IV",9,2.47157009476818,4.57605643123456
12,"I",10,0.872319856893474,3.01450089832929
13,"I",10,0.810771678567132,2.99649957016833
14,"V",10,1.42812127627088,3.85026251985221
15,"V",10,0.885987573714898,2.91418776419632
16,"V",10,2.91964582567598,3.37170637760756
17,"I",10,2.92285722894257,3.1507211995077
18,"I",7,0.539408694397573,2.42396373052734
19,"I",10,1.99649830002699,4.2985892694794
20,"IV",7,4.23315497548609,3.52912164694693
21,"I",7,1.93381390862424,4.39692827443626
22,"I",7,1.13725025749659,3.63402469816022
23,"I",8,1.33965152731748,3.99751164506425
24,"IV",10,2.56328336490303,3.64842203168565
25,"V",9,5.06610527436864,3.12566041401952
26,"V",6,3.18027436129856,3.95552465331237
27,"I",6,1.95349396236419,4.26805093793259
28,"IV",7,2.43220833620436,4.43483613251752
29,"I",8,2.10981496280055,3.4986349547167
30,"I",8,2.32882736542264,4.49342598765636
31,"II",9,5.85105451249943,4.29531162740922
32,"II",5,2.0104044328874,4.08439983239094
33,"V",6,3.69983338265863,3.84647852366027
34,"V",6,3.10658730368328,5.04741453136982
35,"IV",7,2.57293334161649,4.02990564821948
36,"IV",6,1.12143008707071,3.51315633289754
37,"I",6,1.20550310007052,3.7051358119207
38,"I",6,1.32260603282927,3.86461685653651
39,"V",10,3.69440728610869,4.72229905184929
40,"V",7,1.61218440218521,3.91861909916343
41,"I",8,2.06953391922648,4.28429448138219
42,"I",8,0.599850373579819,2.54997967778159
43,"IV",10,2.09075442192304,4.27215934360896
44,"IV",10,1.16039254553831,3.61806281969522
45,"I",10,0.872319856893474,3.01450089832929
46,"I",10,0.810771678567132,2.99649957016833
47,"V",10,1.42812127627088,3.85026251985221
48,"V",10,0.885987573714898,2.91418776419632
49,"V",10,2.91964582567598,3.37170637760756
50,"I",10,2.92285722894257,3.1507211995077
51,"-VI",7,7.40935085641271,2.42396373052734
52,"I",4,4.54326650975978,4.76650559523152
53,"IV",4,5.03941919651713,4.78848971330932
54,"I",3,1.16127540135739,3.95615468108147
55,"I",4,4.67125305213306,4.21226085702536
56,"I",4,3.86343044386371,5.25236868267927
57,"IV",5,3.6456597519774,5.09260948601815
58,"V",6,4.21654673616937,4.60987120351462
59,"V",6,3.18027436129856,3.95552465331237
60,"I",6,1.95349396236419,4.26805093793259
61,"IV",7,2.43220833620436,4.43483613251752
62,"I",8,2.10981496280055,3.4986349547167
63,"I",8,2.32882736542264,4.49342598765636
64,"II",9,5.85105451249943,4.29531162740922
65,"II",5,2.0104044328874,4.08439983239094
66,"V",6,3.69983338265863,3.84647852366027
67,"V",6,3.10658730368328,5.04741453136982
68,"IV",7,2.57293334161649,4.02990564821948
69,"IV",6,1.12143008707071,3.51315633289754
70,"I",6,1.20550310007052,3.7051358119207
71,"I",6,1.32260603282927,3.86461685653651
72,"V",10,3.69440728610869,4.72229905184929
73,"V",7,1.61218440218521,3.91861909916343
74,"I",8,2.06953391922648,4.28429448138219
75,"I",8,0.599850373579819,2.54997967778159
76,"IV",10,2.09075442192304,4.27215934360896
77,"IV",10,1.16039254553831,3.61806281969522
78,"I",10,0.872319856893474,3.01450089832929
79,"I",10,0.810771678567132,2.99649957016833
80,"V",10,1.42812127627088,3.85026251985221
81,"V",10,0.885987573714898,2.91418776419632
82,"V",10,2.91964582567598,3.37170637760756
83,"I",10,2.92285722894257,3.1507211995077
84,"I",7,0.539408694397573,2.42396373052734
85,"V",10,4.16024071527344,4.2985892694794
86,"V",7,0.746856572780793,2.8348579836038
87,"V",9,1.45023868434144,3.81899349219472
88,"V",9,2.12904505800357,3.17793208473787
89,"I",9,1.98789037856035,4.1939488914508
90,"I",10,1.30897749781405,3.86267209451334
91,"r",10,2.78396094356958,4.4310517805765
92,"r",6,0.701268044903796,2.36147844693586
