"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,62,"I",8,0.583790249302008,2.38101600556901,"I",8,0.583790249302008,2.38101600556901,
1,63,"IV",10,2.92664258127829,4.48571205645829,"IV",10,2.92664258127829,4.48571205645829,
1,64,"I",7,0.266728710075591,1.41727590961601,"I",7,0.266728710075591,1.41727590961601,
1,65,"I",7,0.348432815556506,1.78874218020549,"I",7,0.348432815556506,1.78874218020549,
1,66,"I",10,2.17710739366508,3.89024281728751,"I",10,2.17710739366508,3.89024281728751,
1,67,"IV",10,2.22562936498569,4.10911490993889,"V",10,2.21321479795241,4.10911490993889,0.012414567033284
1,68,"I",10,1.23906294452289,3.71690012413051,"I",10,0.850174549976291,3.06749714139611,
1,69,"I",10,0.93254547838114,3.21093127279322,"I",9,0.641566722446789,2.6097603491139,
1,70,"IV",10,2.84795404524113,3.31838366705604,"IV",8,3.75921649864169,2.38101600556901,
1,71,"IV",10,1.36480903996237,3.67361213103155,"IV",8,1.95040619606709,4.40418017042728,
1,72,"I",10,2.14174434963669,4.55649969197478,"I",9,1.64209651397401,4.12708364168476,
,,,,,,,,,,
2,35,"IV",9,1.31963060689947,3.78187940339405,"IV",9,1.31963060689947,3.78187940339405,
2,36,"I",9,1.15900526332199,3.70294625720086,"I",9,1.15900526332199,3.70294625720086,
2,37,"I",8,1.3334395488428,3.82664175806272,"I",8,1.3334395488428,3.82664175806272,
2,38,"I",8,3.5743056663502,4.11080361405058,"I",8,3.5743056663502,4.11080361405058,
2,39,"V",8,2.74958024720372,4.21233628335346,"V",8,2.74958024720372,4.21233628335346,
2,40,"I",9,3.32769804866683,4.53905254917279,"V",9,3.29833311855952,4.53905254917279,0.0293649301073127
2,41,"I",9,1.48930453194739,3.93079349173559,"I",8,0.832002591182746,3.02569791337806,
2,42,"IV",8,3.75921649864169,2.38101600556901,"IV",7,4.52245573882938,2.62597556147233,
2,43,"IV",8,1.95040619606709,4.40418017042728,"IV",7,4.36685566463545,3.53328726843516,
2,44,"I",9,1.64209651397401,4.12708364168476,"I",5,2.823587717358,4.77204234473582,
2,45,"I",8,0.337682757628282,1.71606883625603,"I",6,1.96859219162314,4.29661508876061,
,,,,,,,,,,
3,55,"IV",8,3.18573648607067,4.67351051232117,"IV",8,3.18573648607067,4.67351051232117,
3,56,"I",9,1.82486337714496,4.38209161079493,"I",9,1.82486337714496,4.38209161079493,
3,57,"I",8,1.3334395488428,3.82664175806272,"I",8,1.3334395488428,3.82664175806272,
3,58,"I",8,3.5743056663502,4.11080361405058,"I",8,3.5743056663502,4.11080361405058,
3,59,"V",8,2.74958024720372,4.21233628335346,"V",8,2.74958024720372,4.21233628335346,
3,60,"I",9,3.32769804866683,4.53905254917279,"V",9,3.29833311855952,4.53905254917279,0.0293649301073127
3,61,"I",9,1.48930453194739,3.93079349173559,"I",8,0.832002591182746,3.02569791337806,
3,62,"I",8,0.583790249302008,2.38101600556901,"I",7,0.60888354895239,2.62597556147233,
3,63,"IV",10,2.92664258127829,4.48571205645829,"IV",10,1.92467214936211,4.28144234803628,
3,64,"I",7,0.266728710075591,1.41727590961601,"I",9,3.80778483838544,3.8647583773272,
3,65,"I",7,0.348432815556506,1.78874218020549,"I",7,3.72382802594128,2.62503182871986,
,,,,,,,,,,
4,34,"I",10,2.44952327201171,4.14600840805602,"I",10,2.44952327201171,4.14600840805602,
4,35,"IV",9,1.31963060689947,3.78187940339405,"IV",9,1.31963060689947,3.78187940339405,
4,36,"I",9,1.15900526332199,3.70294625720086,"I",9,1.15900526332199,3.70294625720086,
4,37,"I",8,1.3334395488428,3.82664175806272,"I",8,1.3334395488428,3.82664175806272,
4,38,"I",8,3.5743056663502,4.11080361405058,"I",8,3.5743056663502,4.11080361405058,
4,39,"V",8,2.74958024720372,4.21233628335346,"I",8,2.64973919952972,4.21233628335346,0.0998410476739928
4,40,"I",9,3.32769804866683,4.53905254917279,"I",9,2.52234440333441,4.77925193277838,
4,41,"I",9,1.48930453194739,3.93079349173559,"I",10,2.4324485952202,4.14102658636942,
4,42,"IV",8,3.75921649864169,2.38101600556901,"IV",10,2.8864150136395,4.53909813619807,
4,43,"IV",8,1.95040619606709,4.40418017042728,"IV",10,2.64249941835749,3.92454923990979,
4,44,"I",9,1.64209651397401,4.12708364168476,"I",10,1.42611873419861,3.93879986552353,
,,,,,,,,,,
5,54,"I",10,4.49266754038854,3.93866824896906,"I",10,4.49266754038854,3.93866824896906,
5,55,"IV",8,3.18573648607067,4.67351051232117,"IV",8,3.18573648607067,4.67351051232117,
5,56,"I",9,1.82486337714496,4.38209161079493,"I",9,1.82486337714496,4.38209161079493,
5,57,"I",8,1.3334395488428,3.82664175806272,"I",8,1.3334395488428,3.82664175806272,
5,58,"I",8,3.5743056663502,4.11080361405058,"I",8,3.5743056663502,4.11080361405058,
5,59,"V",8,2.74958024720372,4.21233628335346,"I",8,2.64973919952972,4.21233628335346,0.0998410476739928
5,60,"I",9,3.32769804866683,4.53905254917279,"I",9,2.52234440333441,4.77925193277838,
5,61,"I",9,1.48930453194739,3.93079349173559,"I",10,2.4324485952202,4.14102658636942,
5,62,"I",8,0.583790249302008,2.38101600556901,"I",10,2.05532712515129,4.53909813619807,
5,63,"IV",10,2.92664258127829,4.48571205645829,"IV",10,5.28860120327022,3.4354968048051,
5,64,"I",7,0.266728710075591,1.41727590961601,"I",8,3.10709571368475,4.82231625728431,
,,,,,,,,,,
