"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"vi",2,4.42754217158364,4.7962006206721
4,"ii",3,3.37126801676008,4.85807850608203
5,"V",4,1.51168260505449,3.69109088300566
6,"I",5,1.09418995335794,3.71287181774415
7,"vi",6,3.74476747242422,5.08402461171747
8,"ii",7,1.58388230353362,4.08103887225595
9,"V",8,0.712373254138642,2.62924050100334
10,"I",9,1.48492717708495,3.94653853203958
11,"vi",10,2.37953384126705,4.84594421267068
12,"ii",10,0.688403045939749,2.71404848664869
13,"V",10,0.265337027000293,1.29242808940309
14,"I",10,0.734515516229621,2.82400596232948
15,"vi",10,1.43321193632183,4.09110420356424
16,"ii",10,0.688403045939749,2.71404848664869
17,"V",10,0.265337027000293,1.29242808940309
18,"I",10,0.734515516229621,2.82400596232948
19,"vi",10,1.43321193632183,4.09110420356424
20,"ii",10,0.688403045939749,2.71404848664869
21,"V",10,0.265337027000293,1.29242808940309
22,"I",10,0.734515516229621,2.82400596232948
23,"vi",10,1.43321193632183,4.09110420356424
24,"ii",10,0.688403045939749,2.71404848664869
25,"V",10,0.265337027000293,1.29242808940309
26,"I",10,0.734515516229621,2.82400596232948
27,"vi",10,1.43321193632183,4.09110420356424
28,"ii",10,0.688403045939749,2.71404848664869
29,"V",10,0.265337027000293,1.29242808940309
30,"-VII",10,7.54771168976218,2.82400596232948
31,"I",3,2.96352129760662,4.7687680326356
32,"I",4,3.94160726912418,4.74003104269256
33,"vi",4,4.80742050303005,5.11773708664375
34,"ii",4,4.32192809488736,5.00307593482928
35,"V",4,2.04537466512631,4.38014402189019
36,"I",5,1.86891652334974,4.41619173790431
37,"vi",6,3.18153364752599,4.92000020644194
38,"ii",7,1.26680321655463,3.75271479297953
39,"V",8,0.614615058780842,2.41312589555207
40,"I",9,1.24628119028338,3.68772443342569
41,"vi",10,2.93085840475507,4.94636350816987
42,"ii",10,0.688403045939749,2.71404848664869
43,"V",10,0.265337027000293,1.29242808940309
44,"ii",10,5.87715614904818,2.82400596232948
45,"ii",4,5.22987073360004,2.39051781676155
46,"V",4,2.65994809658267,4.7326442691086
47,"V",5,2.81138671313346,3.93237732856138
48,"I",5,3.02930286980106,4.32303248548063
49,"vi",5,5.16127968939563,4.89967421913391
50,"ii",4,3.45264996127218,4.97749514822316
51,"V",5,0.638046967931298,2.6410311198718
52,"I",6,1.08620413018504,3.64015547262604
53,"vi",7,2.15782707419728,4.57861015859837
54,"ii",8,1.06006926783235,3.46832443836663
55,"V",9,0.540723870882176,2.23136832222389
56,"I",10,0.949153323624451,3.25374589091015
57,"vi",10,1.43321193632183,4.09110420356424
58,"ii",10,0.688403045939749,2.71404848664869
59,"V",10,0.265337027000293,1.29242808940309
60,"I",10,0.734515516229621,2.82400596232948
61,"vi",10,1.43321193632183,4.09110420356424
62,"ii",10,0.688403045939749,2.71404848664869
63,"V",10,0.265337027000293,1.29242808940309
64,"-VII",10,7.54771168976218,2.82400596232948
65,"I",3,2.96352129760662,4.7687680326356
66,"I",4,3.94160726912418,4.74003104269256
67,"vi",4,4.80742050303005,5.11773708664375
68,"ii",4,4.32192809488736,5.00307593482928
69,"V",4,2.04537466512631,4.38014402189019
70,"I",5,1.86891652334974,4.41619173790431
71,"vi",6,3.18153364752599,4.92000020644194
72,"ii",7,1.26680321655463,3.75271479297953
73,"V",8,0.614615058780842,2.41312589555207
74,"I",9,1.24628119028338,3.68772443342569
75,"vi",10,2.93085840475507,4.94636350816987
76,"ii",10,0.688403045939749,2.71404848664869
77,"V",10,0.265337027000293,1.29242808940309
78,"ii",10,5.87715614904818,2.82400596232948
