"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,22,"ii",4,1.99666658549196,4.53182933878912,"ii",4,1.99666658549196,4.53182933878912,
1,23,"ii",4,6.0512411784142,1.72835472734396,"ii",4,6.0512411784142,1.72835472734396,
1,24,"ii",3,3.33723937614243,5.03772209892433,"ii",3,3.33723937614243,5.03772209892433,
1,25,"V",4,1.39531026023527,4.14218891307622,"V",4,1.39531026023527,4.14218891307622,
1,26,"I",5,1.93405717948003,4.26922047120685,"I",5,1.93405717948003,4.26922047120685,
1,27,"-iiio",6,6.54823589716057,5.14061903453673,"viio",6,6.5377615712828,5.14061903453673,0.0104743258777766
1,28,"ii",4,1.2613690377256,3.72416659097352,"ii",3,7.80416604795158,2.95006622921775,
1,29,"V",4,1.13517678587831,3.65241772183274,"V",1,4.40223571281957,5.44737885481043,
1,30,"I",5,1.27904084187478,4.00471978170681,"I",2,3.79409832111091,5.31830325867889,
1,31,"I",6,4.87522529843109,4.37485436770428,"I",3,4.10640004303765,5.39925742602029,
1,32,"vi",4,4.29989936279899,5.22278216463925,"vi",4,4.29989936279899,5.22278216463925,
,,,,,,,,,,
2,22,"ii",4,1.99666658549196,4.53182933878912,"ii",4,1.99666658549196,4.53182933878912,
2,23,"ii",4,6.0512411784142,1.72835472734396,"ii",4,6.0512411784142,1.72835472734396,
2,24,"ii",3,3.33723937614243,5.03772209892433,"ii",3,3.33723937614243,5.03772209892433,
2,25,"V",4,1.39531026023527,4.14218891307622,"V",4,1.39531026023527,4.14218891307622,
2,26,"I",5,1.93405717948003,4.26922047120685,"I",5,1.93405717948003,4.26922047120685,
2,27,"-iiio",6,6.54823589716057,5.14061903453673,"#IV",6,6.5377615712828,5.14061903453673,0.0104743258777766
2,28,"ii",4,1.2613690377256,3.72416659097352,"ii",3,8.31365294677036,2.30421257154453,
2,29,"V",4,1.13517678587831,3.65241772183274,"V",1,4.40223571281957,5.44737885481043,
2,30,"I",5,1.27904084187478,4.00471978170681,"I",2,3.79409832111091,5.31830325867889,
2,31,"I",6,4.87522529843109,4.37485436770428,"I",3,4.10640004303765,5.39925742602029,
2,32,"vi",4,4.29989936279899,5.22278216463925,"vi",4,4.29989936279899,5.22278216463925,
,,,,,,,,,,
3,58,"ii",4,1.99666658549196,4.53182933878912,"ii",4,1.99666658549196,4.53182933878912,
3,59,"ii",4,6.0512411784142,1.72835472734396,"ii",4,6.0512411784142,1.72835472734396,
