"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"i",1,3.53531957968047,4.04565444768758
3,"i",2,1.85125750979379,4.58062289472694
4,"i",3,1.55075076325873,4.26750045493167
5,"i",4,1.16886169020482,3.81619879917806
6,"i",5,1.71018363893736,4.33073463409471
7,"i",6,1.27099164236037,3.87733078124931
8,"i",7,1.58222626011651,4.18178332581094
9,"i",8,0.861832762987201,3.16087591494908
10,"i",9,2.08491595029992,4.5502800611428
11,"i",10,0.954861858494634,3.42307411805034
12,"i",10,0.372569700245916,1.82107405019097
13,"i",10,0.372569700245916,1.82107405019097
14,"i",10,0.372569700245916,1.82107405019097
15,"i",10,0.372569700245916,1.82107405019097
16,"i",10,0.372569700245916,1.82107405019097
17,"i",10,0.372569700245916,1.82107405019097
18,"i",10,0.372569700245916,1.82107405019097
19,"i",10,0.372569700245916,1.82107405019097
20,"iv",10,5.93104665656185,1.82107405019097
21,"v",10,5.07087553830811,2.08632408444992
22,"-VI",6,2.50914244763859,4.26341858792393
23,"v",4,4.67875408713475,3.42330618870207
24,"i",4,5.56593969508897,3.58890868637748
25,"iv",3,4.64135867007758,5.10590704181821
26,"-III",3,3.3386173542353,5.10105064102437
27,"-III",4,5.34474502198678,4.39199026481036
28,"v",3,5.43637791714574,4.96341358695896
29,"V",3,4.9482722458671,5.09333584005596
30,"i",3,2.85671625301706,4.98240630817963
31,"i",4,1.97621986323806,4.68757742654042
32,"iv",5,1.45643705612819,3.89842672197552
33,"iv",6,1.34238150059991,3.86302554342976
34,"-III",7,4.02206909721511,3.6471926793183
35,"-III",6,2.74634148529798,4.4275554748733
36,"V",4,5.50009527778915,4.4238028737803
37,"V",3,2.14173425410896,4.59209913678828
38,"V",4,3.09015285186673,4.91957510210038
39,"i",5,5.42521287772717,4.14762082030719
40,"i",4,3.0586505573891,5.03944970532985
41,"iv",5,3.80859294797482,4.76748960995727
42,"iv",5,2.070211546348,4.43649081986194
43,"-III",6,3.80298423397579,3.69239274010507
44,"-III",6,2.74634148529798,4.4275554748733
45,"V",4,5.50009527778915,4.4238028737803
46,"V",3,2.14173425410896,4.59209913678828
47,"V",4,3.09015285186673,4.91957510210038
48,"i",5,5.42521287772717,4.14762082030719
49,"i",4,3.0586505573891,5.03944970532985
50,"iv",5,3.80859294797482,4.76748960995727
51,"v",5,3.99584074871348,4.43649081986194
52,"-VI",5,3.30323506070631,3.71555846927608
53,"v",4,4.67875408713475,3.42330618870207
54,"i",4,5.56593969508897,3.58890868637748
55,"iv",3,4.64135867007758,5.10590704181821
56,"-III",3,3.3386173542353,5.10105064102437
57,"-III",4,5.34474502198678,4.39199026481036
58,"v",3,5.43637791714574,4.96341358695896
59,"V",3,4.9482722458671,5.09333584005596
60,"i",3,2.85671625301706,4.98240630817963
61,"i",4,1.97621986323806,4.68757742654042
62,"iv",5,1.45643705612819,3.89842672197552
63,"iv",6,1.34238150059991,3.86302554342976
64,"-III",7,4.02206909721511,3.6471926793183
65,"-III",6,2.74634148529798,4.4275554748733
66,"V",4,5.50009527778915,4.4238028737803
67,"V",3,2.14173425410896,4.59209913678828
68,"V",4,3.09015285186673,4.91957510210038
69,"i",5,5.42521287772717,4.14762082030719
70,"i",4,3.0586505573891,5.03944970532985
71,"iv",5,3.80859294797482,4.76748960995727
72,"iv",5,2.070211546348,4.43649081986194
73,"-III",6,3.80298423397579,3.69239274010507
74,"-III",6,2.74634148529798,4.4275554748733
75,"V",4,5.50009527778915,4.4238028737803
76,"V",3,2.14173425410896,4.59209913678828
77,"i",4,4.09193672471924,4.91957510210038
78,"i",5,1.83731618154312,4.5369676425235
79,"iv",5,3.83088994681944,4.59352493538652
80,"v",5,3.99584074871348,4.43649081986194
81,"-VI",5,3.30323506070631,3.71555846927608
82,"v",4,4.67875408713475,3.42330618870207
83,"i",4,5.56593969508897,3.58890868637748
84,"iv",3,4.64135867007758,5.10590704181821
85,"-III",3,3.3386173542353,5.10105064102437
86,"-III",4,5.34474502198678,4.39199026481036
87,"V",3,5.16476452642317,4.96341358695896
88,"i",3,3.18760976603747,4.59209913678828
89,"i",4,1.65419228401478,4.43544725376578
90,"iv",5,3.5542950695164,4.30359529982635
91,"v",5,4.01104631580688,4.27626699290406
92,"-VI",5,3.30323506070631,3.71555846927608
93,"v",4,4.67875408713475,3.42330618870207
94,"i",4,5.56593969508897,3.58890868637748
95,"iv",3,4.64135867007758,5.10590704181821
96,"-III",3,3.3386173542353,5.10105064102437
97,"-III",4,5.34474502198678,4.39199026481036
98,"V",3,5.16476452642317,4.96341358695896
99,"i",3,3.18760976603747,4.59209913678828
100,"i",4,1.65419228401478,4.43544725376578
101,"iv",5,3.5542950695164,4.30359529982635
102,"v",5,4.01104631580688,4.27626699290406
103,"-VI",5,3.30323506070631,3.71555846927608
104,"v",4,4.67875408713475,3.42330618870207
105,"i",4,5.56593969508897,3.58890868637748
106,"iv",3,4.64135867007758,5.10590704181821
107,"-III",3,3.3386173542353,5.10105064102437
108,"-III",4,5.34474502198678,4.39199026481036
109,"V",3,5.16476452642317,4.96341358695896
110,"r",3,3.53522862604535,4.59209913678828
111,"r",2,2.06684226319061,3.79647844358469
