"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,11,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
1,12,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
1,13,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
1,14,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
1,15,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
1,16,"vi",6,4.35771105608719,5.0147623801908,"V",6,4.35268801811246,5.0147623801908,0.00502303797473225
1,17,"vi",6,2.82440119704022,4.32940693197048,"vi",6,4.52742447785703,4.27433056427646,
1,18,"ii",6,4.62370253423908,4.72492818677638,"ii",5,4.85630638148951,4.67732320632778,
1,19,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.54270315105208,4.24616644263584,
1,20,"V",5,3.67958822093583,3.41956916706931,"V",4,1.85761735939158,4.57342457527539,
1,21,"V",5,1.17939704856038,3.43007497224333,"V",5,2.84964755262868,4.12801559775543,
,,,,,,,,,,
2,19,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
2,20,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
2,21,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
2,22,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
2,23,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
2,24,"vi",6,4.35771105608719,5.0147623801908,"V",6,4.35268801811246,5.0147623801908,0.00502303797473225
2,25,"vi",6,2.82440119704022,4.32940693197048,"vi",6,4.52742447785703,4.27433056427646,
2,26,"ii",6,4.62370253423908,4.72492818677638,"ii",5,4.85630638148951,4.67732320632778,
2,27,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.54270315105208,4.24616644263584,
2,28,"V",5,3.67958822093583,3.41956916706931,"V",4,1.85761735939158,4.57342457527539,
2,29,"V",5,1.17939704856038,3.43007497224333,"V",5,2.84964755262868,4.12801559775543,
,,,,,,,,,,
3,27,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
3,28,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
3,29,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
3,30,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
3,31,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
3,32,"vi",6,4.35771105608719,5.0147623801908,"V",6,4.35268801811246,5.0147623801908,0.00502303797473225
3,33,"vi",6,2.82440119704022,4.32940693197048,"vi",6,4.52742447785703,4.27433056427646,
3,34,"ii",6,4.62370253423908,4.72492818677638,"ii",5,4.85630638148951,4.67732320632778,
3,35,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.54270315105208,4.24616644263584,
3,36,"V",5,3.67958822093583,3.41956916706931,"V",4,1.85761735939158,4.57342457527539,
3,37,"V",5,1.17939704856038,3.43007497224333,"V",5,2.84964755262868,4.12801559775543,
,,,,,,,,,,
4,35,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
4,36,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
4,37,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
4,38,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
4,39,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
4,40,"vi",6,4.35771105608719,5.0147623801908,"V",6,4.35268801811246,5.0147623801908,0.00502303797473225
4,41,"vi",6,2.82440119704022,4.32940693197048,"vi",6,4.52742447785703,4.27433056427646,
4,42,"ii",6,4.62370253423908,4.72492818677638,"ii",5,4.85630638148951,4.67732320632778,
4,43,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.54270315105208,4.24616644263584,
4,44,"V",5,3.67958822093583,3.41956916706931,"V",4,1.85761735939158,4.57342457527539,
4,45,"V",5,1.17939704856038,3.43007497224333,"V",5,2.84964755262868,4.12801559775543,
,,,,,,,,,,
5,43,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
5,44,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
5,45,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
5,46,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
5,47,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
5,48,"vi",6,4.35771105608719,5.0147623801908,"V",6,4.35268801811246,5.0147623801908,0.00502303797473225
5,49,"vi",6,2.82440119704022,4.32940693197048,"vi",6,4.52742447785703,4.27433056427646,
5,50,"ii",6,4.62370253423908,4.72492818677638,"ii",5,4.85630638148951,4.67732320632778,
5,51,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.54270315105208,4.24616644263584,
5,52,"V",5,3.67958822093583,3.41956916706931,"V",4,1.85761735939158,4.57342457527539,
5,53,"V",5,1.17939704856038,3.43007497224333,"V",5,2.84964755262868,4.12801559775543,
,,,,,,,,,,
6,11,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
6,12,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
6,13,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
6,14,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
6,15,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
6,16,"vi",6,4.35771105608719,5.0147623801908,"-VII",6,4.32633493306648,5.0147623801908,0.0313761230207126
6,17,"vi",6,2.82440119704022,4.32940693197048,"vi",6,5.49224856405497,3.29477806723087,
6,18,"ii",6,4.62370253423908,4.72492818677638,"ii",4,4.57367889350369,4.88333783997438,
6,19,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.76855120019741,4.42423204529858,
6,20,"V",5,3.67958822093583,3.41956916706931,"V",3,3.09076428728254,5.06072702381818,
6,21,"V",5,1.17939704856038,3.43007497224333,"V",4,2.67635769265843,4.31129268688634,
,,,,,,,,,,
7,19,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
7,20,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
7,21,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
7,22,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
7,23,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
7,24,"vi",6,4.35771105608719,5.0147623801908,"-VII",6,4.32633493306648,5.0147623801908,0.0313761230207126
7,25,"vi",6,2.82440119704022,4.32940693197048,"vi",6,5.49224856405497,3.29477806723087,
7,26,"ii",6,4.62370253423908,4.72492818677638,"ii",4,4.57367889350369,4.88333783997438,
7,27,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.76855120019741,4.42423204529858,
7,28,"V",5,3.67958822093583,3.41956916706931,"V",3,3.09076428728254,5.06072702381818,
7,29,"V",5,1.17939704856038,3.43007497224333,"V",4,2.67635769265843,4.31129268688634,
,,,,,,,,,,
8,27,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
8,28,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
8,29,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
8,30,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
8,31,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
8,32,"vi",6,4.35771105608719,5.0147623801908,"-VII",6,4.32633493306648,5.0147623801908,0.0313761230207126
8,33,"vi",6,2.82440119704022,4.32940693197048,"vi",6,5.49224856405497,3.29477806723087,
8,34,"ii",6,4.62370253423908,4.72492818677638,"ii",4,4.57367889350369,4.88333783997438,
8,35,"ii",6,1.06772695849299,3.16520772693696,"ii",4,4.76855120019741,4.42423204529858,
8,36,"V",5,3.67958822093583,3.41956916706931,"V",3,3.09076428728254,5.06072702381818,
8,37,"V",5,1.17939704856038,3.43007497224333,"V",4,2.67635769265843,4.31129268688634,
,,,,,,,,,,
9,35,"ii",6,1.06772695849299,3.16520772693696,"ii",6,1.06772695849299,3.16520772693696,
9,36,"V",5,3.67958822093583,3.41956916706931,"V",5,3.67958822093583,3.41956916706931,
9,37,"V",5,1.17939704856038,3.43007497224333,"V",5,1.17939704856038,3.43007497224333,
9,38,"I",6,2.11832997279157,4.15606815533374,"I",6,2.11832997279157,4.15606815533374,
9,39,"I",7,3.26717189022347,4.82042271277041,"I",7,3.26717189022347,4.82042271277041,
9,40,"vi",6,4.35771105608719,5.0147623801908,"-VII",6,4.32633493306648,5.0147623801908,0.0313761230207126
9,41,"vi",6,2.82440119704022,4.32940693197048,"vi",6,5.49224856405497,3.29477806723087,
9,42,"ii",6,4.62370253423908,4.72492818677638,"ii",4,4.57367889350369,4.88333783997438,
