"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,29,"-VI",5,5.8984676803225,5.05079369267189,"-VI",5,5.8984676803225,5.05079369267189,
1,30,"-III",4,5.52378692613383,4.18773615198458,"-III",4,5.52378692613383,4.18773615198458,
1,31,"-VII",3,2.74608617342374,4.95054595427928,"-VII",3,2.74608617342374,4.95054595427928,
1,32,"I",4,1.37450713206427,3.99252569649154,"I",4,1.37450713206427,3.99252569649154,
1,33,"I",5,2.91854305742855,4.79814311476625,"I",5,2.91854305742855,4.79814311476625,
1,34,"-VI",5,5.83901917443211,4.34143035641155,"-III",5,5.83901917443211,4.34143035641155,0
1,35,"-III",4,5.29324816840605,4.73996211815994,"-III",4,2.44643501465991,4.85023133763214,
1,36,"-VII",3,2.74608617342374,4.95054595427928,"-VII",5,5.25169958127037,4.57666813314921,
1,37,"I",4,1.37450713206427,3.99252569649154,"I",3,4.40698344342112,4.56848972408533,
1,38,"I",5,2.91854305742855,4.79814311476625,"I",3,3.38143168577719,5.04884798582446,
1,39,"IV",5,3.66075645270456,4.34143035641155,"IV",4,3.4605820774484,4.72897874984149,
,,,,,,,,,,
2,110,"-VI",5,5.98054372970574,4.88132628162095,"-VI",5,5.98054372970574,4.88132628162095,
2,111,"-III",4,5.52378692613383,4.18773615198458,"-III",4,5.52378692613383,4.18773615198458,
2,112,"-VII",3,2.74608617342374,4.95054595427928,"-VII",3,2.74608617342374,4.95054595427928,
2,113,"I",4,1.37450713206427,3.99252569649154,"I",4,1.37450713206427,3.99252569649154,
2,114,"I",5,2.91854305742855,4.79814311476625,"I",5,2.91854305742855,4.79814311476625,
2,115,"-VI",5,5.83901917443211,4.34143035641155,"-III",5,5.83901917443211,4.34143035641155,0
2,116,"-III",4,5.29324816840605,4.73996211815994,"-III",4,2.44643501465991,4.85023133763214,
2,117,"-VII",3,2.74608617342374,4.95054595427928,"-VII",5,5.25169958127037,4.57666813314921,
2,118,"I",4,1.37450713206427,3.99252569649154,"I",3,4.40698344342112,4.56848972408533,
2,119,"I",5,2.91854305742855,4.79814311476625,"I",3,3.38143168577719,5.04884798582446,
2,120,"IV",5,3.66075645270456,4.34143035641155,"IV",4,3.4605820774484,4.72897874984149,
,,,,,,,,,,
3,333,"V",8,4.565800606386,4.3285344023863,"V",8,4.565800606386,4.3285344023863,
3,334,"IV",6,4.11640549604435,4.43067587174481,"IV",6,4.11640549604435,4.43067587174481,
3,335,"I",5,0.703021845887519,2.8142181547626,"I",5,0.703021845887519,2.8142181547626,
3,336,"I",7,3.37039361911598,4.95323374437564,"I",7,3.37039361911598,4.95323374437564,
3,337,"I",6,3.51384350020231,4.74125794426299,"I",6,3.51384350020231,4.74125794426299,
3,338,"#I",6,7.5993583424782,4.33775018415219,"-vi",6,7.5993583424782,4.33775018415219,0
3,339,"#I",2,1.4921064007006,4.27295207626031,"#I",2,10.1030629552998,0.922853578291031,
3,340,"II",3,1.20002013255202,3.69147954459955,"II",1,3.506623751032,5.15207883668236,
3,341,"II",2,1.54607576396261,4.48201370535854,"II",2,1.54607576396261,4.48201370535854,
3,342,"IV",4,5.14974130248252,4.73373517433908,"IV",3,4.877129423764,5.16476295044804,
3,343,"IV",3,2.96713196667379,4.99918051760269,"IV",3,2.96713196667379,4.99918051760269,
,,,,,,,,,,
4,333,"V",8,4.565800606386,4.3285344023863,"V",8,4.565800606386,4.3285344023863,
4,334,"IV",6,4.11640549604435,4.43067587174481,"IV",6,4.11640549604435,4.43067587174481,
4,335,"I",5,0.703021845887519,2.8142181547626,"I",5,0.703021845887519,2.8142181547626,
4,336,"I",7,3.37039361911598,4.95323374437564,"I",7,3.37039361911598,4.95323374437564,
4,337,"I",6,3.51384350020231,4.74125794426299,"I",6,3.51384350020231,4.74125794426299,
4,338,"#I",6,7.5993583424782,4.33775018415219,"ivo",6,7.5993583424782,4.33775018415219,0
4,339,"#I",2,1.4921064007006,4.27295207626031,"#I",2,6.73982524830545,4.78579151008109,
4,340,"II",3,1.20002013255202,3.69147954459955,"II",1,3.506623751032,5.15207883668236,
4,341,"II",2,1.54607576396261,4.48201370535854,"II",2,1.54607576396261,4.48201370535854,
4,342,"IV",4,5.14974130248252,4.73373517433908,"IV",3,4.877129423764,5.16476295044804,
4,343,"IV",3,2.96713196667379,4.99918051760269,"IV",3,2.96713196667379,4.99918051760269,
,,,,,,,,,,
5,35,"-III",4,5.29324816840605,4.73996211815994,"-III",4,5.29324816840605,4.73996211815994,
5,36,"-VII",3,2.74608617342374,4.95054595427928,"-VII",3,2.74608617342374,4.95054595427928,
5,37,"I",4,1.37450713206427,3.99252569649154,"I",4,1.37450713206427,3.99252569649154,
5,38,"I",5,2.91854305742855,4.79814311476625,"I",5,2.91854305742855,4.79814311476625,
5,39,"IV",5,3.66075645270456,4.34143035641155,"IV",5,3.66075645270456,4.34143035641155,
5,40,"I",5,4.10905292064295,4.68639061413636,"V",5,4.11066465205459,4.68639061413636,0.00161173141163484
5,41,"V",5,4.1171930469052,4.82262377888161,"V",5,3.83688291631697,4.26680019795704,
5,42,"I",5,2.84873279177831,4.62960854260449,"I",5,2.72850398257049,4.65066705876103,
5,43,"IV",6,2.48541432451519,4.43530622863769,"IV",6,1.96631591173794,3.91439688976627,
5,44,"I",7,1.58576238333387,4.01680410935902,"I",7,1.65690090551028,3.76418126728593,
5,45,"V",8,1.74769679254977,4.04124302808796,"V",8,2.9420580501531,4.38916536409928,
,,,,,,,,,,
6,116,"-III",4,5.29324816840605,4.73996211815994,"-III",4,5.29324816840605,4.73996211815994,
6,117,"-VII",3,2.74608617342374,4.95054595427928,"-VII",3,2.74608617342374,4.95054595427928,
6,118,"I",4,1.37450713206427,3.99252569649154,"I",4,1.37450713206427,3.99252569649154,
6,119,"I",5,2.91854305742855,4.79814311476625,"I",5,2.91854305742855,4.79814311476625,
6,120,"IV",5,3.66075645270456,4.34143035641155,"IV",5,3.66075645270456,4.34143035641155,
6,121,"I",5,4.10905292064295,4.68639061413636,"V",5,4.11066465205459,4.68639061413636,0.00161173141163484
6,122,"V",5,4.1171930469052,4.82262377888161,"V",5,3.83688291631697,4.26680019795704,
6,123,"I",5,2.84873279177831,4.62960854260449,"I",5,2.72850398257049,4.65066705876103,
6,124,"IV",6,2.48541432451519,4.43530622863769,"IV",6,1.96631591173794,3.91439688976627,
6,125,"I",7,1.58576238333387,4.01680410935902,"I",7,1.65690090551028,3.76418126728593,
6,126,"V",8,1.74769679254977,4.04124302808796,"V",8,2.9420580501531,4.38916536409928,
,,,,,,,,,,
7,355,"V",7,4.37532969897678,4.61594472807244,"V",7,4.37532969897678,4.61594472807244,
7,356,"I",5,2.0168936409521,4.63718462037479,"I",5,2.0168936409521,4.63718462037479,
7,357,"V",6,3.39399374135063,4.57152576376694,"V",6,3.39399374135063,4.57152576376694,
7,358,"I",6,2.14071111834106,4.54286314856665,"I",6,2.14071111834106,4.54286314856665,
7,359,"IV",7,3.24514174253082,4.7261237780913,"IV",7,3.24514174253082,4.7261237780913,
7,360,"V",7,4.1003355258054,3.932454562353,"IV",7,4.1040273850312,3.932454562353,0.00369185922579707
7,361,"I",6,1.86629192984968,4.12789078755316,"I",6,1.83586289310793,4.32992272594119,
7,362,"I",7,3.25632065304424,4.91066929014354,"I",7,2.52031126714724,4.53494850158025,
7,363,"V",8,3.98969153975918,4.54242113614943,"V",7,4.45325654285403,4.03348345841376,
7,364,"vi",7,4.27197571559756,4.49292970649838,"vi",7,4.3127629448355,4.57192564362667,
7,365,"V",6,3.35369062248934,4.35993096792204,"V",5,1.02832988115347,3.51995304729433,
,,,,,,,,,,
8,333,"V",8,4.565800606386,4.3285344023863,"V",8,4.565800606386,4.3285344023863,
8,334,"IV",6,4.11640549604435,4.43067587174481,"IV",6,4.11640549604435,4.43067587174481,
8,335,"I",5,0.703021845887519,2.8142181547626,"I",5,0.703021845887519,2.8142181547626,
8,336,"I",7,3.37039361911598,4.95323374437564,"I",7,3.37039361911598,4.95323374437564,
8,337,"I",6,3.51384350020231,4.74125794426299,"I",6,3.51384350020231,4.74125794426299,
8,338,"#I",6,7.5993583424782,4.33775018415219,"vio",6,7.60512724593286,4.33775018415219,0.00576890345466019
8,339,"#I",2,1.4921064007006,4.27295207626031,"#I",2,7.16090459313497,4.55964607638205,
8,340,"II",3,1.20002013255202,3.69147954459955,"II",1,3.506623751032,5.15207883668236,
8,341,"II",2,1.54607576396261,4.48201370535854,"II",2,1.54607576396261,4.48201370535854,
8,342,"IV",4,5.14974130248252,4.73373517433908,"IV",3,4.877129423764,5.16476295044804,
8,343,"IV",3,2.96713196667379,4.99918051760269,"IV",3,2.96713196667379,4.99918051760269,
,,,,,,,,,,
9,141,"IV",7,2.04743214319308,4.38670326943616,"IV",7,2.04743214319308,4.38670326943616,
9,142,"I",8,2.48562279570622,4.46256721565355,"I",8,2.48562279570622,4.46256721565355,
9,143,"III",6,6.48995595702276,4.1909858105929,"III",6,6.48995595702276,4.1909858105929,
9,144,"IV",4,2.67738521864915,3.98465357105744,"IV",4,2.67738521864915,3.98465357105744,
9,145,"IV",4,2.85685815006679,4.60994141089416,"IV",4,2.85685815006679,4.60994141089416,
9,146,"ii",5,5.83006257051648,4.32251208964348,"iii",5,5.82352146964725,4.32251208964348,0.00654110086922888
9,147,"I",3,3.49803184034194,4.89485804969002,"I",3,4.08116921281128,5.04028709811159,
9,148,"vi",4,5.14040889884843,4.57737674840173,"vi",4,4.67632977696393,3.99274476792058,
9,149,"V",4,5.12656400545052,4.58359944629282,"V",3,6.31643185022299,2.34685321609727,
9,150,"iii",3,5.2899521031117,4.84141533264737,"iii",3,5.2899521031117,4.84141533264737,
9,151,"III",3,5.32789414293031,4.80561202378169,"III",3,5.32789414293031,4.80561202378169,
,,,,,,,,,,
10,231,"V",2,4.08732162674653,5.31895851248398,"V",2,4.08732162674653,5.31895851248398,
10,232,"V",3,2.77476275071183,4.65421191732175,"V",3,2.77476275071183,4.65421191732175,
10,233,"IV",4,3.95538217938128,4.65633819810754,"IV",4,3.95538217938128,4.65633819810754,
10,234,"I",5,4.22648353115557,3.70821891258817,"I",5,4.22648353115557,3.70821891258817,
10,235,"V",4,4.14282536858238,5.08280017610073,"V",4,4.14282536858238,5.08280017610073,
10,236,"V",5,3.35141403108678,4.64880072277113,"vi",5,3.34486553101839,4.64880072277113,0.00654850006838759
10,237,"V",6,4.13429821273959,3.94123261321869,"V",6,1.57258758675123,4.03214251552823,
10,238,"IV",5,4.56421601219743,4.62045794988575,"IV",6,0.66358655442645,2.66424657925216,
10,239,"IV",5,3.10155719425306,4.32542483141898,"IV",7,3.0055635732217,2.9879388630797,
10,240,"I",5,2.80607232656949,4.67822732408606,"I",7,3.6375819685813,3.91008070706793,
10,241,"I",6,2.13049036583327,4.40045400312986,"I",6,2.35115977122994,4.59469576649092,
,,,,,,,,,,
11,24,"III",7,5.66317978090562,4.71788742240952,"III",7,5.66317978090562,4.71788742240952,
11,25,"IV",4,6.64218034716976,2.47644607689863,"IV",4,6.64218034716976,2.47644607689863,
11,26,"V",2,3.98712204930755,5.32941680147139,"V",2,3.98712204930755,5.32941680147139,
11,27,"I",3,2.57932650970877,4.98972366592874,"I",3,2.57932650970877,4.98972366592874,
11,28,"I",4,3.61621431563678,5.27350589955552,"I",4,3.61621431563678,5.27350589955552,
11,29,"-VI",5,5.8984676803225,5.05079369267189,"III",5,5.90565722294647,5.05079369267189,0.00718954262397542
11,30,"-III",4,5.52378692613383,4.18773615198458,"-III",5,6.85743124148668,3.95316620350595,
11,31,"-VII",3,2.74608617342374,4.95054595427928,"-VII",2,5.26899586250219,5.2908359396539,
11,32,"I",4,1.37450713206427,3.99252569649154,"I",2,3.8703842123985,5.16539227838622,
11,33,"I",5,2.91854305742855,4.79814311476625,"I",3,3.38143168577719,5.04884798582446,
11,34,"-VI",5,5.83901917443211,4.34143035641155,"-VI",4,5.63884479917595,4.72897874984149,
,,,,,,,,,,
12,342,"IV",4,5.14974130248252,4.73373517433908,"IV",4,5.14974130248252,4.73373517433908,
12,343,"IV",3,2.96713196667379,4.99918051760269,"IV",3,2.96713196667379,4.99918051760269,
