"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
34,14,"-VI",5.83901917443211,4.34143035641155,"-III",5.83901917443211,4.34143035641155,0
115,14,"-VI",5.83901917443211,4.34143035641155,"-III",5.83901917443211,4.34143035641155,0
338,48,"#I",7.5993583424782,4.33775018415219,"-vi",7.5993583424782,4.33775018415219,0
338,51,"#I",7.5993583424782,4.33775018415219,"ivo",7.5993583424782,4.33775018415219,0
40,4,"I",4.10905292064295,4.68639061413636,"V",4.11066465205459,4.68639061413636,0.00161173141163484
121,4,"I",4.10905292064295,4.68639061413636,"V",4.11066465205459,4.68639061413636,0.00161173141163484
360,9,"V",4.1003355258054,3.932454562353,"IV",4.1040273850312,3.932454562353,0.00369185922579707
338,33,"#I",7.5993583424782,4.33775018415219,"vio",7.60512724593286,4.33775018415219,0.00576890345466019
146,7,"ii",5.83006257051648,4.32251208964348,"iii",5.82352146964725,4.32251208964348,0.00654110086922888
236,8,"V",3.35141403108678,4.64880072277113,"vi",3.34486553101839,4.64880072277113,0.00654850006838759
29,18,"-VI",5.8984676803225,5.05079369267189,"III",5.90565722294647,5.05079369267189,0.00718954262397542
347,5,"V",3.2447298147715,4.89374973684629,"I",3.2521224864133,4.89374973684629,0.00739267164180291
281,12,"-VII",4.99325166336969,4.48465400829601,"i",5.00138043145157,4.48465400829601,0.00812876808187202
58,8,"IV",2.71076423198542,4.3573456653342,"vi",2.7025545878362,4.3573456653342,0.00820964414922409
139,8,"IV",2.71076423198542,4.3573456653342,"vi",2.7025545878362,4.3573456653342,0.00820964414922409
345,4,"IV",4.53410354335495,4.75579682846027,"V",4.54349606734412,4.75579682846027,0.00939252398916324
43,5,"IV",2.48541432451519,4.43530622863769,"I",2.49575549596043,4.43530622863769,0.0103411714452437
124,5,"IV",2.48541432451519,4.43530622863769,"I",2.49575549596043,4.43530622863769,0.0103411714452437
285,19,"v",5.48411687018716,4.7436889437219,"iv",5.47356119543169,4.7436889437219,0.0105556747554711
