"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,123,"ii",3,5.63953758638479,4.99009236814807,"ii",3,5.63953758638479,4.99009236814807,
1,124,"I",3,4.66066780814739,4.72941984615894,"I",3,4.66066780814739,4.72941984615894,
1,125,"IV",3,3.27201590206741,5.21852492043213,"IV",3,3.27201590206741,5.21852492043213,
1,126,"-III",4,5.77161404462846,4.80438297491008,"-III",4,5.77161404462846,4.80438297491008,
1,127,"ii",3,5.63953758638479,4.99009236814807,"ii",3,5.63953758638479,4.99009236814807,
1,128,"-VI",3,5.46488884615554,4.72941984615894,"-III",3,5.46488884615554,4.72941984615894,0
1,129,"V",3,3.30461665609061,4.46371987987671,"V",3,5.00708219274642,4.9219497363574,
1,130,"i",3,4.09445236782345,4.40780708453767,"i",3,3.79510075951403,4.61277364680385,
1,131,"-VII",3,3.15505222823302,4.9089203059595,"-VII",3,3.90002474642478,5.04877509518027,
1,132,"i",4,3.49579247415918,4.73320194014491,"i",4,1.93730053238138,4.47155449119337,
1,133,"ii",4,6.00451904928391,2.75728110545451,"ii",4,6.00451904928391,2.75728110545451,
,,,,,,,,,,
2,129,"V",3,3.30461665609061,4.46371987987671,"V",3,3.30461665609061,4.46371987987671,
2,130,"i",3,4.09445236782345,4.40780708453767,"i",3,4.09445236782345,4.40780708453767,
2,131,"-VII",3,3.15505222823302,4.9089203059595,"-VII",3,3.15505222823302,4.9089203059595,
2,132,"i",4,3.49579247415918,4.73320194014491,"i",4,3.49579247415918,4.73320194014491,
2,133,"ii",4,6.00451904928391,2.75728110545451,"ii",4,6.00451904928391,2.75728110545451,
2,134,"-VI",4,6.81702007160781,3.92625307373242,"II",4,6.81702007160781,3.92625307373242,0
2,135,"V",2,2.92936015203589,5.09167743060912,"V",2,2.73223676273225,5.02261931098694,
2,136,"i",3,4.09445236782345,4.40780708453767,"i",3,5.31451844478788,5.15716869192285,
2,137,"-VII",3,3.15505222823302,4.9089203059595,"-VII",3,4.57105402598886,5.14767901796912,
2,138,"i",4,3.49579247415918,4.73320194014491,"i",3,3.58726773313372,4.93366454211495,
2,139,"ii",4,6.00451904928391,2.75728110545451,"ii",4,5.41877438633445,3.69835198142133,
,,,,,,,,,,
3,135,"V",2,2.92936015203589,5.09167743060912,"V",2,2.92936015203589,5.09167743060912,
3,136,"i",3,4.09445236782345,4.40780708453767,"i",3,4.09445236782345,4.40780708453767,
3,137,"-VII",3,3.15505222823302,4.9089203059595,"-VII",3,3.15505222823302,4.9089203059595,
3,138,"i",4,3.49579247415918,4.73320194014491,"i",4,3.49579247415918,4.73320194014491,
3,139,"ii",4,6.00451904928391,2.75728110545451,"ii",4,6.00451904928391,2.75728110545451,
3,140,"-VI",4,6.81702007160781,3.92625307373242,"II",4,6.81702007160781,3.92625307373242,0
