"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
38,35,"V+",7.63837228282992,4.79066864263466,"-V",7.63837228282992,4.79066864263466,0
40,6,"-VI",6.63442048993596,4.55121930946002,"VI",6.63442048993596,4.55121930946002,0
82,35,"V+",7.63837228282992,4.79066864263466,"-V",7.63837228282992,4.79066864263466,0
84,6,"-VI",6.63442048993596,4.55121930946002,"VI",6.63442048993596,4.55121930946002,0
140,35,"V+",7.63837228282992,4.79066864263466,"-V",7.63837228282992,4.79066864263466,0
142,6,"-VI",6.63442048993596,4.55121930946002,"VI",6.63442048993596,4.55121930946002,0
38,56,"V+",7.63837228282992,4.79066864263466,"IV+",7.639112316209,4.79066864263466,0.000740033379083016
82,56,"V+",7.63837228282992,4.79066864263466,"IV+",7.639112316209,4.79066864263466,0.000740033379083016
140,56,"V+",7.63837228282992,4.79066864263466,"IV+",7.639112316209,4.79066864263466,0.000740033379083016
41,13,"-VI",4.91351373849362,5.44488820896396,"-VII",4.90630188732495,5.44488820896396,0.00721185116866252
85,13,"-VI",4.91351373849362,5.44488820896396,"-VII",4.90630188732495,5.44488820896396,0.00721185116866252
143,13,"-VI",4.91351373849362,5.44488820896396,"-VII",4.90630188732495,5.44488820896396,0.00721185116866252
105,10,"ii",6.10647752652817,4.98254158274835,"II",6.09189356519493,4.98254158274835,0.0145839613332432
36,14,"IV",5.33156115911168,4.82049162535111,"-III",5.34888379759879,4.82049162535111,0.0173226384871104
80,14,"IV",5.33156115911168,4.82049162535111,"-III",5.34888379759879,4.82049162535111,0.0173226384871104
138,14,"IV",5.33156115911168,4.82049162535111,"-III",5.34888379759879,4.82049162535111,0.0173226384871104
40,10,"-VI",6.63442048993596,4.55121930946002,"II",6.6162731432257,4.55121930946002,0.0181473467102595
40,13,"-VI",6.63442048993596,4.55121930946002,"-VII",6.6162731432257,4.55121930946002,0.0181473467102595
40,14,"-VI",6.63442048993596,4.55121930946002,"-III",6.6162731432257,4.55121930946002,0.0181473467102595
84,10,"-VI",6.63442048993596,4.55121930946002,"II",6.6162731432257,4.55121930946002,0.0181473467102595
84,13,"-VI",6.63442048993596,4.55121930946002,"-VII",6.6162731432257,4.55121930946002,0.0181473467102595
