"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,50,"I",5,1.81751790884034,4.49326184017918,"I",5,1.81751790884034,4.49326184017918,
1,51,"V",6,4.86125922857436,4.46820795196632,"V",6,4.86125922857436,4.46820795196632,
1,52,"V",5,2.34285312904563,4.66995642601818,"V",5,2.34285312904563,4.66995642601818,
1,53,"I",6,2.92044821880426,4.81573809121223,"I",6,2.92044821880426,4.81573809121223,
1,54,"I",7,1.11916933417677,3.6336290223263,"I",7,1.11916933417677,3.6336290223263,
1,55,"V",8,3.11700770822037,4.84982288060872,"I",8,3.10440273343086,4.84982288060872,0.0126049747895185
1,56,"V",9,1.3643511924066,3.66089422043375,"V",8,4.53368943937314,3.41846582594749,
1,57,"I",10,1.70317620021227,3.93995946353745,"I",7,1.0664980751757,3.32657811490685,
1,58,"I",9,0.218512853906044,1.27278361999751,"I",7,0.899513829618478,3.13611424159735,
1,59,"V",10,2.60207689016933,4.76907584080548,"V",10,2.84141046588929,4.20740479686108,
1,60,"V",10,0.976445902889681,3.1685197166935,"V",9,2.71269474964569,4.17349933096543,
,,,,,,,,,,
2,22,"I",7,1.30817570094546,3.85857759375385,"I",7,1.30817570094546,3.85857759375385,
2,23,"IV",9,3.36099414512982,4.1180642291796,"IV",9,3.36099414512982,4.1180642291796,
2,24,"I",8,1.30219168913105,3.6853264451203,"I",8,1.30219168913105,3.6853264451203,
2,25,"ii",9,4.30844253125735,4.26367590375765,"ii",9,4.30844253125735,4.26367590375765,
2,26,"I",6,3.3003926927224,4.38297636367646,"I",6,3.3003926927224,4.38297636367646,
2,27,"IV",6,2.63820236233065,4.55511201864936,"V",6,2.61264504132221,4.55511201864936,0.0255573210084421
2,28,"IV",7,4.53720137168111,4.13068990380074,"IV",6,5.5485840848959,3.25010749203725,
2,29,"V",5,4.45784400768685,5.16202992512263,"V",4,4.03248871575105,4.72659165118631,
2,30,"V",4,3.23748189141326,4.96005845631332,"V",4,4.50604039179203,4.76763508215879,
