"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"r",2,1.85123749467927,3.69167488857668
4,"I",3,1.98229899006364,3.49660198152906
5,"I",4,1.96126476373204,4.48951373881004
6,"V",5,4.88056601471959,4.38083001762254
7,"V",5,1.9002179707795,4.20976976223563
8,"I",6,1.50720407707975,4.14373159059716
9,"I",6,0.840384055390715,3.23552970260897
10,"V",7,1.24408164745054,3.88113384709817
11,"V",9,1.26363974090784,3.59306664623851
12,"I",9,1.24325008596571,3.747634260684
13,"I",9,0.218512853906044,1.27278361999751
14,"V",10,2.60207689016933,4.76907584080548
15,"V",10,0.976445902889681,3.1685197166935
16,"I",10,1.70317620021227,3.93995946353745
17,"I",9,0.218512853906044,1.27278361999751
18,"V",10,2.60207689016933,4.76907584080548
19,"V",10,0.976445902889681,3.1685197166935
20,"IV",10,4.50939612351889,3.93995946353745
21,"IV",7,1.11625513764549,3.4080901710223
22,"I",7,1.30817570094546,3.85857759375385
23,"IV",9,3.36099414512982,4.1180642291796
24,"I",8,1.30219168913105,3.6853264451203
25,"ii",9,4.30844253125735,4.26367590375765
26,"I",6,3.3003926927224,4.38297636367646
27,"IV",6,2.63820236233065,4.55511201864936
28,"IV",7,4.53720137168111,4.13068990380074
29,"V",5,4.45784400768685,5.16202992512263
30,"V",4,3.23748189141326,4.96005845631332
31,"r",5,2.95739581226829,4.80613318026347
32,"IV",6,4.7494387793012,3.1885171519957
33,"V",4,4.88279368285527,4.25272615036609
34,"I",3,2.28417801433523,4.87646550787994
35,"V",4,4.56988286425789,5.18281087542682
36,"ii",4,4.19746249552017,4.7754789846583
37,"I",5,4.36703096255905,4.37071844223392
38,"IV",4,4.34052677049966,5.01118595266792
39,"vi",4,5.28274982407328,4.89143497852544
40,"V",4,1.75353234587369,4.43603348811513
41,"I",5,2.47660953921351,3.59366872331787
42,"V",5,3.99840636012883,4.80374536167232
43,"ii",5,5.27518710276432,4.36035782214883
44,"I",4,4.15883221206185,4.60333456193996
45,"IV",4,4.34052677049966,5.01118595266792
46,"vi",4,5.28274982407328,4.89143497852544
47,"V",4,1.75353234587369,4.43603348811513
48,"V",5,4.50559880706542,3.59366872331787
49,"I",4,2.60565953242409,4.75119794526605
50,"I",5,1.81751790884034,4.49326184017918
51,"V",6,4.86125922857436,4.46820795196632
52,"V",5,2.34285312904563,4.66995642601818
53,"I",6,2.92044821880426,4.81573809121223
54,"I",7,1.11916933417677,3.6336290223263
55,"V",8,3.11700770822037,4.84982288060872
56,"V",9,1.3643511924066,3.66089422043375
57,"I",10,1.70317620021227,3.93995946353745
58,"I",9,0.218512853906044,1.27278361999751
59,"V",10,2.60207689016933,4.76907584080548
60,"V",10,0.976445902889681,3.1685197166935
61,"I",10,1.70317620021227,3.93995946353745
62,"I",9,0.218512853906044,1.27278361999751
63,"V",10,2.60207689016933,4.76907584080548
64,"V",10,0.976445902889681,3.1685197166935
65,"IV",10,4.50939612351889,3.93995946353745
66,"IV",7,1.11625513764549,3.4080901710223
67,"I",7,1.30817570094546,3.85857759375385
68,"IV",9,3.36099414512982,4.1180642291796
69,"I",8,1.30219168913105,3.6853264451203
70,"ii",9,4.30844253125735,4.26367590375765
71,"I",6,3.3003926927224,4.38297636367646
72,"IV",6,2.63820236233065,4.55511201864936
73,"IV",7,4.53720137168111,4.13068990380074
74,"V",5,4.45784400768685,5.16202992512263
75,"V",4,3.23748189141326,4.96005845631332
76,"r",5,2.95739581226829,4.80613318026347
77,"IV",6,4.7494387793012,3.1885171519957
78,"V",4,4.88279368285527,4.25272615036609
79,"I",3,2.28417801433523,4.87646550787994
80,"V",4,4.56988286425789,5.18281087542682
81,"ii",4,4.19746249552017,4.7754789846583
82,"I",5,4.36703096255905,4.37071844223392
83,"IV",4,4.34052677049966,5.01118595266792
84,"vi",4,5.28274982407328,4.89143497852544
85,"V",4,1.75353234587369,4.43603348811513
86,"I",5,2.47660953921351,3.59366872331787
87,"V",5,3.99840636012883,4.80374536167232
88,"ii",5,5.27518710276432,4.36035782214883
89,"I",4,4.15883221206185,4.60333456193996
90,"IV",4,4.34052677049966,5.01118595266792
91,"vi",4,5.28274982407328,4.89143497852544
92,"V",4,1.75353234587369,4.43603348811513
93,"I",5,2.47660953921351,3.59366872331787
94,"V",5,3.99840636012883,4.80374536167232
95,"ii",5,5.27518710276432,4.36035782214883
96,"I",4,4.15883221206185,4.60333456193996
97,"IV",4,4.34052677049966,5.01118595266792
98,"vi",4,5.28274982407328,4.89143497852544
99,"V",4,1.75353234587369,4.43603348811513
100,"r",5,4.1547274335821,3.59366872331787
101,"r",3,1.74676884494137,3.55893386672979
