"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,47,"I",6,4.66467682840575,3.60725065689045,"I",6,4.66467682840575,3.60725065689045,
1,48,"I",5,3.3233741416476,4.93153449265338,"I",5,3.3233741416476,4.93153449265338,
1,49,"IV",6,2.2237831597234,4.75592861023291,"IV",6,2.2237831597234,4.75592861023291,
1,50,"I",7,1.76862053944367,4.28654673243519,"I",7,1.76862053944367,4.28654673243519,
1,51,"I",8,1.9212272899571,4.31521366335407,"I",8,1.9212272899571,4.31521366335407,
1,52,"iii",9,6.2419835562796,3.95694757601825,"v",9,6.25380298291972,3.95694757601825,0.0118194266401197
1,53,"vi",4,3.39342101046453,4.84658811479212,"vi",5,7.77591779996827,3.20913372347748,
1,54,"vi",5,4.74085225401849,4.46724153091605,"vi",2,5.01941629538544,5.26569772324247,
1,55,"IV",4,4.16649099335583,5.05485897553422,"IV",2,4.53463170560155,5.38337694950544,
1,56,"V",4,3.79642118654893,4.88396132525012,"V",3,3.56114900302181,5.09966881398535,
1,57,"I",4,2.56331164248104,4.8457433247172,"I",4,2.56331164248104,4.8457433247172,
,,,,,,,,,,
2,91,"I",6,4.66467682840575,3.60725065689045,"I",6,4.66467682840575,3.60725065689045,
2,92,"I",5,3.3233741416476,4.93153449265338,"I",5,3.3233741416476,4.93153449265338,
2,93,"IV",6,2.2237831597234,4.75592861023291,"IV",6,2.2237831597234,4.75592861023291,
2,94,"I",7,1.76862053944367,4.28654673243519,"I",7,1.76862053944367,4.28654673243519,
2,95,"I",8,1.9212272899571,4.31521366335407,"I",8,1.9212272899571,4.31521366335407,
2,96,"iii",9,6.2419835562796,3.95694757601825,"v",9,6.25380298291972,3.95694757601825,0.0118194266401197
2,97,"vi",4,3.39342101046453,4.84658811479212,"vi",5,7.77591779996827,3.20913372347748,
