"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
17,17,"-vii",6.87423150035143,5.13166539515905,"vii",6.87423150035143,5.13166539515905,0
17,28,"-vii",6.87423150035143,5.13166539515905,"vo",6.87423150035143,5.13166539515905,0
19,2,"vio",6.6994261633786,5.1857877024801,"V+",6.6994261633786,5.1857877024801,0
20,13,"II",5.45995601255144,4.88830254020658,"-VII",5.45995601255144,4.88830254020658,0
34,17,"-vii",6.87423150035143,5.13166539515905,"vii",6.87423150035143,5.13166539515905,0
34,28,"-vii",6.87423150035143,5.13166539515905,"vo",6.87423150035143,5.13166539515905,0
55,17,"-vii",6.87423150035143,5.13166539515905,"vii",6.87423150035143,5.13166539515905,0
55,28,"-vii",6.87423150035143,5.13166539515905,"vo",6.87423150035143,5.13166539515905,0
58,25,"vio",6.72828644933972,5.24719295910164,"#io",6.72828644933972,5.24719295910164,0
59,13,"II",5.47862994494507,4.6455767274109,"-VII",5.47862994494507,4.6455767274109,0
59,15,"II",5.47862994494507,4.6455767274109,"-VI",5.47862994494507,4.6455767274109,0
66,23,"VII",6.77235426001901,4.92735040745287,"-II",6.77235426001901,4.92735040745287,0
78,17,"-vii",6.87423150035143,5.13166539515905,"vii",6.87423150035143,5.13166539515905,0
78,28,"-vii",6.87423150035143,5.13166539515905,"vo",6.87423150035143,5.13166539515905,0
22,5,"V",3.89067684379273,5.31953178885263,"I",3.88860120988968,5.31953178885263,0.00207563390305765
61,5,"V",3.89067684379273,5.31953178885263,"I",3.88860120988968,5.31953178885263,0.00207563390305765
90,19,"I",5.51338570942502,5.08638909792594,"iv",5.50673733341566,5.08638909792594,0.00664837600936519
66,28,"VII",6.77235426001901,4.92735040745287,"vo",6.76183574906466,4.92735040745287,0.0105185109543475
19,21,"vio",6.6994261633786,5.1857877024801,"VII",6.71052638364876,5.1857877024801,0.0111002202701522
19,23,"vio",6.6994261633786,5.1857877024801,"-II",6.71052638364876,5.1857877024801,0.0111002202701522
66,2,"VII",6.77235426001901,4.92735040745287,"V+",6.7845461216535,4.92735040745287,0.0121918616344896
14,15,"II",5.21538372051209,5.32929737895077,"-VI",5.20313427025474,5.32929737895077,0.0122494502573574
31,15,"II",5.21538372051209,5.32929737895077,"-VI",5.20313427025474,5.32929737895077,0.0122494502573574
75,15,"II",5.21538372051209,5.32929737895077,"-VI",5.20313427025474,5.32929737895077,0.0122494502573574
20,6,"II",5.45995601255144,4.88830254020658,"VI",5.4754236514052,4.88830254020658,0.0154676388537656
19,29,"vio",6.6994261633786,5.1857877024801,"viio",6.6794018677625,5.1857877024801,0.020024295616107
20,19,"II",5.45995601255144,4.88830254020658,"iv",5.43706111690047,4.88830254020658,0.0228948956509658
59,19,"II",5.47862994494507,4.6455767274109,"iv",5.4557350492941,4.6455767274109,0.0228948956509658
66,24,"VII",6.77235426001901,4.92735040745287,"#vo",6.79684189245227,4.92735040745287,0.0244876324332655
88,21,"-V",7.20297408260001,4.7754855396319,"VII",7.23034746594184,4.7754855396319,0.0273733833418346
19,53,"vio",6.6994261633786,5.1857877024801,"-IV",6.72899735435903,5.1857877024801,0.0295711909804268
83,9,"II",4.94668534157761,4.91376817852402,"IV",4.97650412775477,4.91376817852402,0.0298187861771551
68,9,"V",4.96082025440837,5.40941716069012,"IV",4.99145700867323,5.40941716069012,0.030636754264858
14,14,"II",5.21538372051209,5.32929737895077,"-III",5.2471687260995,5.32929737895077,0.031785005587408
31,14,"II",5.21538372051209,5.32929737895077,"-III",5.2471687260995,5.32929737895077,0.031785005587408
75,14,"II",5.21538372051209,5.32929737895077,"-III",5.2471687260995,5.32929737895077,0.031785005587408
87,18,"-III",5.90075628702542,4.73528653879666,"III",5.86684151243451,4.73528653879666,0.033914774590917
36,8,"-VII",5.68063134220331,5.30923267788349,"vi",5.64633915997431,5.30923267788349,0.0342921822290014
80,8,"-VII",5.68063134220331,5.30923267788349,"vi",5.64633915997431,5.30923267788349,0.0342921822290014
11,7,"VII",2.17403486634083,4.08137397146013,"iii",2.20997772006579,4.08137397146013,0.0359428537249631
49,7,"VII",2.17403486634083,4.08137397146013,"iii",2.20997772006579,4.08137397146013,0.0359428537249631
72,7,"VII",2.17403486634083,4.08137397146013,"iii",2.20997772006579,4.08137397146013,0.0359428537249631
67,10,"VI",7.00688622679325,4.79098401486665,"II",6.97036035076813,4.79098401486665,0.0365258760251148
67,14,"VI",7.00688622679325,4.79098401486665,"-III",6.97036035076813,4.79098401486665,0.0365258760251148
67,15,"VI",7.00688622679325,4.79098401486665,"-VI",6.97036035076813,4.79098401486665,0.0365258760251148
16,17,"v",6.12625671366564,4.8428660666701,"vii",6.16536146302458,4.8428660666701,0.0391047493589474
33,17,"v",6.12625671366564,4.8428660666701,"vii",6.16536146302458,4.8428660666701,0.0391047493589474
77,17,"v",6.12625671366564,4.8428660666701,"vii",6.16536146302458,4.8428660666701,0.0391047493589474
54,17,"v",5.9730967494137,4.96154352304033,"vii",6.01220149877265,4.96154352304033,0.0391047493589483
88,22,"-V",7.20297408260001,4.7754855396319,"-iii",7.16363972030177,4.7754855396319,0.0393343622982405
58,50,"vio",6.72828644933972,5.24719295910164,"III+",6.68827570311142,5.24719295910164,0.0400107462283001
54,15,"v",5.9730967494137,4.96154352304033,"-VI",6.01318514054827,4.96154352304033,0.0400883911345655
16,15,"v",6.12625671366564,4.8428660666701,"-VI",6.1663451048002,4.8428660666701,0.0400883911345664
33,15,"v",6.12625671366564,4.8428660666701,"-VI",6.1663451048002,4.8428660666701,0.0400883911345664
77,15,"v",6.12625671366564,4.8428660666701,"-VI",6.1663451048002,4.8428660666701,0.0400883911345664
88,40,"-V",7.20297408260001,4.7754855396319,"iiio",7.24341100774929,4.7754855396319,0.0404369251492804
17,21,"-vii",6.87423150035143,5.13166539515905,"VII",6.83300883762491,5.13166539515905,0.0412226627265122
34,21,"-vii",6.87423150035143,5.13166539515905,"VII",6.83300883762491,5.13166539515905,0.0412226627265122
55,21,"-vii",6.87423150035143,5.13166539515905,"VII",6.83300883762491,5.13166539515905,0.0412226627265122
78,21,"-vii",6.87423150035143,5.13166539515905,"VII",6.83300883762491,5.13166539515905,0.0412226627265122
63,36,"#IV",6.77492786661953,4.85340782526987,"#I",6.73273873350389,4.85340782526987,0.042189133115647
17,22,"-vii",6.87423150035143,5.13166539515905,"-iii",6.91666676667182,5.13166539515905,0.0424352663203971
17,29,"-vii",6.87423150035143,5.13166539515905,"viio",6.91666676667182,5.13166539515905,0.0424352663203971
17,38,"-vii",6.87423150035143,5.13166539515905,"#IV",6.91666676667182,5.13166539515905,0.0424352663203971
34,22,"-vii",6.87423150035143,5.13166539515905,"-iii",6.91666676667182,5.13166539515905,0.0424352663203971
34,29,"-vii",6.87423150035143,5.13166539515905,"viio",6.91666676667182,5.13166539515905,0.0424352663203971
34,38,"-vii",6.87423150035143,5.13166539515905,"#IV",6.91666676667182,5.13166539515905,0.0424352663203971
55,22,"-vii",6.87423150035143,5.13166539515905,"-iii",6.91666676667182,5.13166539515905,0.0424352663203971
55,29,"-vii",6.87423150035143,5.13166539515905,"viio",6.91666676667182,5.13166539515905,0.0424352663203971
55,38,"-vii",6.87423150035143,5.13166539515905,"#IV",6.91666676667182,5.13166539515905,0.0424352663203971
78,22,"-vii",6.87423150035143,5.13166539515905,"-iii",6.91666676667182,5.13166539515905,0.0424352663203971
78,29,"-vii",6.87423150035143,5.13166539515905,"viio",6.91666676667182,5.13166539515905,0.0424352663203971
78,38,"-vii",6.87423150035143,5.13166539515905,"#IV",6.91666676667182,5.13166539515905,0.0424352663203971
14,3,"II",5.21538372051209,5.32929737895077,"ii",5.17211290482112,5.32929737895077,0.043270815690974
31,3,"II",5.21538372051209,5.32929737895077,"ii",5.17211290482112,5.32929737895077,0.043270815690974
75,3,"II",5.21538372051209,5.32929737895077,"ii",5.17211290482112,5.32929737895077,0.043270815690974
20,3,"II",5.45995601255144,4.88830254020658,"ii",5.41452388398563,4.88830254020658,0.0454321285658095
59,3,"II",5.47862994494507,4.6455767274109,"ii",5.43319781637926,4.6455767274109,0.0454321285658095
36,7,"-VII",5.68063134220331,5.30923267788349,"iii",5.72766025060845,5.30923267788349,0.0470289084051414
80,7,"-VII",5.68063134220331,5.30923267788349,"iii",5.72766025060845,5.30923267788349,0.0470289084051414
66,29,"VII",6.77235426001901,4.92735040745287,"viio",6.72318808984583,4.92735040745287,0.0491661701731756
37,15,"VI",4.90879306906258,5.11540700044428,"-VI",4.8575677457074,5.11540700044428,0.0512253233551734
81,15,"VI",4.90879306906258,5.11540700044428,"-VI",4.8575677457074,5.11540700044428,0.0512253233551734
27,18,"VII",6.24290276678497,4.69189656332248,"III",6.19138970654684,4.69189656332248,0.05151306023813
27,11,"VII",6.24290276678497,4.69189656332248,"v",6.19068786548969,4.69189656332248,0.0522149012952822
19,17,"vio",6.6994261633786,5.1857877024801,"vii",6.75174904637527,5.1857877024801,0.0523228829966662
19,28,"vio",6.6994261633786,5.1857877024801,"vo",6.64016826907268,5.1857877024801,0.0592578943059205
20,9,"II",5.45995601255144,4.88830254020658,"IV",5.39969230901486,4.88830254020658,0.0602637035365765
59,9,"II",5.47862994494507,4.6455767274109,"IV",5.41836624140849,4.6455767274109,0.0602637035365765
19,40,"vio",6.6994261633786,5.1857877024801,"iiio",6.76122268762789,5.1857877024801,0.0617965242492833
17,2,"-vii",6.87423150035143,5.13166539515905,"V+",6.93836183777114,5.13166539515905,0.0641303374197157
17,25,"-vii",6.87423150035143,5.13166539515905,"#io",6.93836183777114,5.13166539515905,0.0641303374197157
17,27,"-vii",6.87423150035143,5.13166539515905,"#ivo",6.93836183777114,5.13166539515905,0.0641303374197157
17,33,"-vii",6.87423150035143,5.13166539515905,"vio",6.93836183777114,5.13166539515905,0.0641303374197157
34,2,"-vii",6.87423150035143,5.13166539515905,"V+",6.93836183777114,5.13166539515905,0.0641303374197157
34,25,"-vii",6.87423150035143,5.13166539515905,"#io",6.93836183777114,5.13166539515905,0.0641303374197157
34,27,"-vii",6.87423150035143,5.13166539515905,"#ivo",6.93836183777114,5.13166539515905,0.0641303374197157
34,33,"-vii",6.87423150035143,5.13166539515905,"vio",6.93836183777114,5.13166539515905,0.0641303374197157
55,2,"-vii",6.87423150035143,5.13166539515905,"V+",6.93836183777114,5.13166539515905,0.0641303374197157
55,25,"-vii",6.87423150035143,5.13166539515905,"#io",6.93836183777114,5.13166539515905,0.0641303374197157
55,27,"-vii",6.87423150035143,5.13166539515905,"#ivo",6.93836183777114,5.13166539515905,0.0641303374197157
55,33,"-vii",6.87423150035143,5.13166539515905,"vio",6.93836183777114,5.13166539515905,0.0641303374197157
78,2,"-vii",6.87423150035143,5.13166539515905,"V+",6.93836183777114,5.13166539515905,0.0641303374197157
78,25,"-vii",6.87423150035143,5.13166539515905,"#io",6.93836183777114,5.13166539515905,0.0641303374197157
78,27,"-vii",6.87423150035143,5.13166539515905,"#ivo",6.93836183777114,5.13166539515905,0.0641303374197157
78,33,"-vii",6.87423150035143,5.13166539515905,"vio",6.93836183777114,5.13166539515905,0.0641303374197157
18,13,"IV",5.06080720924929,5.38700110669416,"-VII",5.12839310530522,5.38700110669416,0.0675858960559346
56,13,"IV",5.06080720924929,5.38700110669416,"-VII",5.12839310530522,5.38700110669416,0.0675858960559346
88,17,"-V",7.20297408260001,4.7754855396319,"vii",7.27157012866836,4.7754855396319,0.0685960460683477
18,5,"IV",5.06080720924929,5.38700110669416,"I",4.98837562746085,5.38700110669416,0.072431581788436
35,9,"I",4.98837562746085,5.38700110669416,"IV",5.06080720924929,5.38700110669416,0.072431581788436
56,5,"IV",5.06080720924929,5.38700110669416,"I",4.98837562746085,5.38700110669416,0.072431581788436
79,9,"I",4.98837562746085,5.38700110669416,"IV",5.06080720924929,5.38700110669416,0.072431581788436
58,32,"vio",6.72828644933972,5.24719295910164,"iio",6.6524208205103,5.24719295910164,0.0758656288294173
57,13,"vi",5.63549380216579,5.1857877024801,"-VII",5.55944124372158,5.1857877024801,0.0760525584442044
88,28,"-V",7.20297408260001,4.7754855396319,"vo",7.12534938781731,4.7754855396319,0.0776246947826964
57,12,"vi",5.63549380216579,5.1857877024801,"i",5.55531504467347,5.1857877024801,0.0801787574923143
19,20,"vio",6.6994261633786,5.1857877024801,"-iiio",6.78242408660951,5.1857877024801,0.0829979232309013
19,43,"vio",6.6994261633786,5.1857877024801,"-vio",6.78242408660951,5.1857877024801,0.0829979232309013
16,14,"v",6.12625671366564,4.8428660666701,"-III",6.20998606325914,4.8428660666701,0.0837293495935025
33,14,"v",6.12625671366564,4.8428660666701,"-III",6.20998606325914,4.8428660666701,0.0837293495935025
77,14,"v",6.12625671366564,4.8428660666701,"-III",6.20998606325914,4.8428660666701,0.0837293495935025
54,14,"v",5.9730967494137,4.96154352304033,"-III",6.05682609900721,4.96154352304033,0.0837293495935034
50,19,"IV",7.45132280467711,3.80446690175495,"iv",7.53571499196748,3.80446690175495,0.0843921872903719
57,15,"vi",5.63549380216579,5.1857877024801,"-VI",5.72039212786841,5.1857877024801,0.0848983257026212
90,4,"I",5.51338570942502,5.08638909792594,"V",5.42611887320737,5.08638909792594,0.0872668362176503
67,19,"VI",7.00688622679325,4.79098401486665,"iv",6.91724901430857,4.79098401486665,0.0896372124846767
54,23,"v",5.9730967494137,4.96154352304033,"-II",5.88296238010823,4.96154352304033,0.0901343693054724
48,52,"VII",7.08434204958101,4.66848007355656,"-I",6.993999236874,4.66848007355656,0.0903428127070134
10,52,"VII",6.5452059710228,5.1991273479262,"-I",6.45486315831579,5.1991273479262,0.0903428127070143
58,21,"vio",6.72828644933972,5.24719295910164,"VII",6.63406178114838,5.24719295910164,0.0942246681913401
58,23,"vio",6.72828644933972,5.24719295910164,"-II",6.63406178114838,5.24719295910164,0.0942246681913401
19,22,"vio",6.6994261633786,5.1857877024801,"-iii",6.79418431269567,5.1857877024801,0.0947581493170624
36,12,"-VII",5.68063134220331,5.30923267788349,"i",5.77595711162769,5.30923267788349,0.0953257694243872
80,12,"-VII",5.68063134220331,5.30923267788349,"i",5.77595711162769,5.30923267788349,0.0953257694243872
66,36,"VII",6.77235426001901,4.92735040745287,"#I",6.86809944295725,4.92735040745287,0.095745182938237
66,40,"VII",6.77235426001901,4.92735040745287,"iiio",6.86809944295725,4.92735040745287,0.095745182938237
10,20,"VII",6.5452059710228,5.1991273479262,"-iiio",6.64129438142673,5.1991273479262,0.096088410403933
48,20,"VII",7.08434204958101,4.66848007355656,"-iiio",7.18043045998494,4.66848007355656,0.096088410403933
71,20,"VII",6.48392221929489,5.05999598305749,"-iiio",6.58001062969882,5.05999598305749,0.0960884104039339
88,32,"-V",7.20297408260001,4.7754855396319,"iio",7.10657869574441,4.7754855396319,0.0963953868556002
36,3,"-VII",5.68063134220331,5.30923267788349,"ii",5.58232216425664,5.30923267788349,0.0983091779466641
80,3,"-VII",5.68063134220331,5.30923267788349,"ii",5.58232216425664,5.30923267788349,0.0983091779466641
90,12,"I",5.51338570942502,5.08638909792594,"i",5.41431904043422,5.08638909792594,0.0990666689907975
