"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"vi",2,4.42754217158364,4.7962006206721
4,"ii",3,3.37126801676008,4.85807850608203
5,"V",4,1.51168260505449,3.69109088300566
6,"I",5,1.16643292862594,3.84440735249203
7,"vi",6,3.76551117310431,5.09608671820758
8,"ii",7,1.58388230353362,4.08103887225595
9,"V",8,0.712373254138642,2.62924050100334
10,"I",9,1.89389481641813,4.45163325839588
11,"vi",10,2.33861050223972,4.83089169786186
12,"ii",10,0.605112940879678,2.51295245814439
13,"V",10,0.228614965031753,1.15882935010615
14,"I",10,1.1044849469822,3.60957631325938
15,"IV",10,4.1711908288704,3.72369812151498
16,"I",7,0.56366434985722,2.37451782172594
17,"I",10,4.17983799971689,4.325620313101
18,"vi",6,4.38968200593358,5.01017643597765
19,"ii",6,4.26984153138144,4.65786497446582
20,"V",5,0.963199062465143,3.30164970673934
21,"I",6,2.20655662828256,4.64242845367945
22,"vi",7,3.41473388522359,4.67824050083011
23,"ii",7,1.26680321655463,3.75271479297953
24,"V",8,0.614615058780842,2.41312589555207
25,"I",9,1.55651336060025,4.18600484762749
26,"III",10,6.05014917833573,4.06176236601603
27,"vi",4,1.01457975769117,3.19660591105794
28,"II",6,1.77882735277066,4.2764263780913
29,"V",4,0.818333112563365,3.15472451517896
30,"I",5,4.78131814199246,2.81031642712984
31,"vi",4,4.17770133460116,5.27677702290517
32,"ii",5,3.1494278967451,4.90255626490978
33,"V",6,1.04275793929713,3.31017755931529
34,"I",6,3.34830848730637,4.87488977133094
35,"vi",6,3.54393359733201,5.03448462301175
36,"ii",7,2.27705840007362,4.50081741792699
37,"V",8,0.906138588529047,2.98904442291253
38,"I",9,2.53893750963121,4.75323884628737
39,"III",10,6.34773022966916,3.72369812151498
40,"vi",4,1.01457975769117,3.19660591105794
41,"II",6,1.77882735277066,4.2764263780913
42,"V",4,0.818333112563365,3.15472451517896
43,"I",5,4.78131814199246,2.81031642712984
44,"i",4,5.94659073914,5.27677702290517
45,"IV",3,4.67635115249309,5.09762222188837
46,"i",3,3.45773080466056,4.95371720437413
47,"IV",4,2.35440117010016,4.95105008310835
48,"-VII",5,4.42989190168784,4.79125699178886
49,"-VII",5,4.14217239882048,4.31994106966537
50,"-vii",4,6.04404451152257,4.86644090711865
51,"-III",3,5.73619980986773,3.43173983036993
52,"-vii",2,5.0413508590798,5.37402331935562
53,"-III",3,1.69411617683367,4.49639475210644
54,"-VI",4,4.73422325606759,4.60848712249361
55,"V",3,2.55020069769563,4.83204544470188
56,"V",4,1.33461543164124,3.97200659753091
57,"I",4,4.67788545022976,3.37317580676209
58,"vi",4,4.87744668106524,5.13585158740259
59,"ii",4,3.45264996127218,4.97749514822316
60,"V",5,0.638046967931298,2.6410311198718
61,"I",6,1.27094951376337,4.0089292345143
62,"vi",7,2.12689693349036,4.54146515125186
63,"ii",8,1.08517643701778,3.50641861353918
64,"V",9,0.563271705940797,2.28864800043199
65,"I",10,1.17432600753879,3.74233505332602
66,"III",10,6.34773022966916,3.72369812151498
67,"vi",4,1.01457975769117,3.19660591105794
68,"II",6,1.77882735277066,4.2764263780913
69,"V",4,0.818333112563365,3.15472451517896
70,"I",5,4.78131814199246,2.81031642712984
71,"i",4,5.94659073914,5.27677702290517
72,"IV",3,4.67635115249309,5.09762222188837
73,"i",3,3.45773080466056,4.95371720437413
74,"IV",4,2.35440117010016,4.95105008310835
75,"-VII",5,4.42989190168784,4.79125699178886
76,"-VII",5,4.14217239882048,4.31994106966537
77,"-vii",4,6.04404451152257,4.86644090711865
78,"-III",3,5.73619980986773,3.43173983036993
79,"-vii",2,5.0413508590798,5.37402331935562
80,"-III",3,1.69411617683367,4.49639475210644
81,"-VI",4,4.73422325606759,4.60848712249361
82,"V",3,2.55020069769563,4.83204544470188
83,"V",4,1.33461543164124,3.97200659753091
84,"I",4,4.67788545022976,3.37317580676209
85,"vi",4,4.87744668106524,5.13585158740259
86,"ii",4,3.45264996127218,4.97749514822316
87,"V",5,0.638046967931298,2.6410311198718
88,"I",6,1.27094951376337,4.0089292345143
89,"vi",7,2.12689693349036,4.54146515125186
90,"ii",8,1.08517643701778,3.50641861353918
91,"V",9,0.563271705940797,2.28864800043199
92,"I",10,1.17432600753879,3.74233505332602
93,"III",10,6.34773022966916,3.72369812151498
94,"vi",4,1.01457975769117,3.19660591105794
95,"II",6,1.77882735277066,4.2764263780913
96,"V",4,0.818333112563365,3.15472451517896
97,"I",5,4.78131814199246,2.81031642712984
98,"vi",4,4.17770133460116,5.27677702290517
99,"ii",5,3.1494278967451,4.90255626490978
100,"V",6,1.04275793929713,3.31017755931529
101,"I",6,3.34830848730637,4.87488977133094
102,"vi",6,3.54393359733201,5.03448462301175
103,"ii",7,2.27705840007362,4.50081741792699
104,"V",8,0.906138588529047,2.98904442291253
105,"I",9,2.53893750963121,4.75323884628737
106,"vi",10,1.13920599740816,3.72369812151498
107,"ii",10,0.605112940879678,2.51295245814439
108,"V",10,0.228614965031753,1.15882935010615
109,"I",10,1.1044849469822,3.60957631325938
110,"vi",10,1.13920599740816,3.72369812151498
111,"ii",10,0.605112940879678,2.51295245814439
112,"V",10,0.228614965031753,1.15882935010615
113,"r",10,3.75795727468276,3.60957631325938
114,"r",6,1.42116701544542,3.30174529139681
