"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
14,18,"IV",3.98883586141066,4.67169340142361,"III",4.00840944484241,4.67169340142361,0.0195735834317423
90,5,"II",5.16990940282397,4.13791770876328,"I",5.14853716769737,4.13791770876328,0.0213722351266004
35,9,"vi",4.65497380393448,4.41037707522672,"IV",4.68100403117895,4.41037707522672,0.0260302272444699
75,9,"vi",4.65497380393448,4.41037707522672,"IV",4.68100403117895,4.41037707522672,0.0260302272444699
22,7,"vi",5.61333523188962,4.25684219016635,"iii",5.64190902330453,4.25684219016635,0.0285737914149182
62,7,"vi",5.61333523188962,4.25684219016635,"iii",5.64190902330453,4.25684219016635,0.0285737914149182
164,7,"vi",5.61333523188962,4.25684219016635,"iii",5.64190902330453,4.25684219016635,0.0285737914149182
98,9,"vi",3.19200141008885,4.29803855510528,"IV",3.16247163858094,4.29803855510528,0.0295297715079079
27,9,"I",2.82332823949355,4.74043268659819,"IV",2.78745900927305,4.74043268659819,0.0358692302204946
67,9,"I",2.82332823949355,4.74043268659819,"IV",2.78745900927305,4.74043268659819,0.0358692302204946
169,9,"I",2.82332823949355,4.74043268659819,"IV",2.78745900927305,4.74043268659819,0.0358692302204946
25,4,"IV",3.08096993661449,4.80764735679976,"V",3.11830531755283,4.80764735679976,0.0373353809383383
65,4,"IV",3.08096993661449,4.80764735679976,"V",3.11830531755283,4.80764735679976,0.0373353809383383
167,4,"IV",3.08096993661449,4.80764735679976,"V",3.11830531755283,4.80764735679976,0.0373353809383383
46,9,"I",2.82499224286565,4.84198637935647,"IV",2.78541460334874,4.84198637935647,0.0395776395169052
148,9,"I",2.82499224286565,4.84198637935647,"IV",2.78541460334874,4.84198637935647,0.0395776395169052
89,3,"II",5.37443055535627,4.89550434612729,"ii",5.41633108882617,4.89550434612729,0.0419005334699047
91,5,"IV",4.21449195052143,5.26846769484311,"I",4.14918311547685,5.26846769484311,0.0653088350445801
130,7,"vi",5.03688656704017,4.89550434612729,"iii",4.96940334450052,4.89550434612729,0.0674832225396536
33,13,"iii",5.87658421834344,4.42976632133817,"-VII",5.95185044392507,4.42976632133817,0.0752662255816325
73,13,"iii",5.87658421834344,4.42976632133817,"-VII",5.95185044392507,4.42976632133817,0.0752662255816325
175,13,"iii",5.87658421834344,4.42976632133817,"-VII",5.95185044392507,4.42976632133817,0.0752662255816325
205,4,"vi",3.62064241522828,5.11090706858801,"V",3.53364275563081,5.11090706858801,0.0869996595974678
93,9,"V",3.88508637999631,4.70482511965962,"IV",3.78578082699142,4.70482511965962,0.0993055530048959
