"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"ii",2,5.83664471688393,3.68581486503185
4,"I",3,6.01726184426002,3.95617713439477
5,"ii",2,4.78432929091256,5.41730923241205
6,"I",3,3.59831087998458,5.09827331949398
7,"I",4,4.07804088692039,5.16015154481734
8,"I",5,1.87807083921253,4.62087548863204
9,"I",6,1.7651211098226,4.50266108778114
10,"I",6,0.805291685377744,3.19069377820701
11,"I",8,2.63675859734545,4.45814054123874
12,"I",8,2.02304672259967,4.67683982169901
13,"IV",9,3.74490591804387,4.76001143399154
14,"IV",9,2.31056377676825,4.6205943633214
15,"vi",10,5.10657138558475,4.69386921552807
16,"vi",6,0.876828306765987,3.08563151495753
17,"V",8,4.48049619161465,4.50283202461461
18,"V",5,3.38445997357099,3.08595016855269
19,"-VII",5,6.61891163582246,4.20159231671285
20,"-VII",3,3.90851790843707,5.07688616355058
21,"-VII",4,3.24055049475857,4.83765250164063
22,"-VII",4,1.70180603902057,4.47987031211335
23,"I",6,3.76432865437301,4.59836656980957
24,"I",5,1.713309791022,4.33516568955217
25,"I",6,2.69586297686799,4.98952285203677
26,"I",6,1.02793002117111,3.59900685795719
27,"I",7,0.993925830782983,3.50941971883537
28,"I",9,2.59578885557319,4.7303663392519
29,"IV",8,4.65658986747874,4.27356433839046
30,"IV",7,3.22142443415904,4.90960097139788
31,"vi",8,5.09328853829913,4.78614665593098
32,"vi",6,0.876828306765987,3.08563151495753
33,"V",8,4.48049619161465,4.50283202461461
34,"V",5,3.38445997357099,3.08595016855269
35,"-VII",5,6.61891163582246,4.20159231671285
36,"-VII",3,3.90851790843707,5.07688616355058
37,"-VII",4,3.24055049475857,4.83765250164063
38,"-VII",4,1.70180603902057,4.47987031211335
39,"I",6,3.76432865437301,4.59836656980957
40,"I",5,1.713309791022,4.33516568955217
41,"I",6,2.69586297686799,4.98952285203677
42,"I",6,1.02793002117111,3.59900685795719
43,"IV",7,4.98633252530296,3.50941971883537
44,"IV",6,3.51552434351173,4.60460552053159
45,"IV",6,3.72800464227135,5.01106763898284
46,"IV",7,1.99629922529955,4.27540583164806
47,"vi",8,4.65573282748586,4.70554371471369
48,"vi",6,0.746662289274603,2.76267275483858
49,"V",7,5.27423218858887,3.57373620762832
50,"V",5,2.75646675878837,4.12949369014191
51,"-VII",5,6.61891163582246,4.20159231671285
52,"-VII",3,3.90851790843707,5.07688616355058
53,"-VII",4,3.24055049475857,4.83765250164063
54,"-VII",4,1.70180603902057,4.47987031211335
55,"-VI",6,5.18519849846765,4.59836656980957
56,"-VI",4,1.9416306978508,4.57616189563385
57,"-III",5,4.25719827863181,4.69237883107272
58,"-III",4,0.730613295756927,2.95402721840164
59,"-VI",5,3.75188689554103,3.37749499956495
60,"-VI",5,0.687700015810391,2.82816801554922
61,"-III",6,2.91316405367505,4.47233791471155
62,"I",5,6.74299355214542,2.18975513649021
63,"I",3,3.1065187855875,5.09188971812724
64,"iv",4,5.75856576276892,4.78957596000079
65,"-VII",3,4.7176765808292,5.07733628753166
66,"v",4,6.27620283575286,3.82984710919844
67,"i",3,2.38482611984092,4.9749079240903
68,"iv",4,4.90995660714953,4.73672400002505
69,"iv",3,5.1386202133391,4.93885455154969
70,"-VII",3,5.12952080246896,5.25356264723109
71,"-VII",3,1.58180403846178,4.16037947644556
