"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"IV",3,3.99664433879896,4.75848018632342
5,"V",4,3.44568606918734,4.62437589947826
6,"I",5,1.93127211833361,4.35743476122165
7,"I",6,1.49331412423335,4.20551294295985
8,"IV",7,1.21148712101182,3.73607640135563
9,"V",8,1.03434049675683,3.49038095423986
10,"I",9,1.54464727215123,3.92492674130261
11,"I",10,1.50534508091401,4.18771994060797
12,"IV",10,0.570755824565286,2.3848715157454
13,"V",10,0.212078077298603,1.21254621548661
14,"I",10,0.528211470051969,2.23801723704959
15,"I",10,0.834630545224187,2.97493891717353
16,"IV",10,0.570755824565286,2.3848715157454
17,"V",10,0.212078077298603,1.21254621548661
18,"I",10,0.528211470051969,2.23801723704959
19,"I",10,0.834630545224187,2.97493891717353
20,"ii",10,6.72438418152203,2.3848715157454
21,"V",5,2.61620941306188,4.65771341871193
22,"I",6,2.94074201299037,4.48325886302789
23,"I",6,2.77686407907314,4.91458723162367
24,"ii",7,2.5129327501861,4.31741687927513
25,"V",8,1.79017864684013,3.98383776405474
26,"I",9,2.09096228054731,4.27678405745973
27,"I",10,1.87185982989369,4.32046423238598
28,"ii",10,2.76140132549155,4.37404923438564
29,"V",10,1.20040210760092,3.46396521587704
30,"I",10,1.61014829966878,3.8856741806645
31,"I",10,1.87185982989369,4.32046423238598
32,"ii",10,2.76140132549155,4.37404923438564
33,"V",10,1.20040210760092,3.46396521587704
34,"ii",10,3.40470386823401,3.8856741806645
35,"iii",5,7.4244776198328,0.71650455511224
36,"IV",4,2.99652130182778,4.35719928461431
37,"iii",4,4.60635901002256,3.49641962306129
38,"ii",4,2.82002077141359,4.73780044436374
39,"iii",5,1.92579076995302,4.21502620371988
40,"IV",5,1.02386108511708,3.26679081073165
41,"iii",4,4.93731249922406,2.94672085370017
42,"I",4,4.12907144581592,4.73780044436374
43,"I",4,4.98305769323648,4.57368960903476
44,"ii",3,5.18683088965682,5.34920906232156
45,"V",3,3.41490177125335,5.16769897466906
46,"I",4,2.9032385265115,4.92696503244609
47,"I",5,3.07008577915662,5.09497721100082
48,"ii",6,2.92621302889159,4.60526240579588
49,"V",7,1.76086623980322,3.72374082225392
50,"I",8,2.30963929749082,4.28204628602099
51,"I",9,2.202926298411,4.49725916562377
52,"ii",10,2.76140132549155,4.37404923438564
53,"V",10,1.20040210760092,3.46396521587704
54,"I",10,1.61014829966878,3.8856741806645
55,"I",10,1.87185982989369,4.32046423238598
56,"ii",10,2.76140132549155,4.37404923438564
57,"V",10,1.20040210760092,3.46396521587704
58,"ii",10,3.40470386823401,3.8856741806645
59,"iii",5,7.4244776198328,0.71650455511224
60,"IV",4,2.99652130182778,4.35719928461431
61,"iii",4,4.60635901002256,3.49641962306129
62,"ii",4,2.82002077141359,4.73780044436374
63,"iii",5,1.92579076995302,4.21502620371988
64,"IV",5,1.02386108511708,3.26679081073165
65,"iii",4,4.93731249922406,2.94672085370017
66,"I",4,4.12907144581592,4.73780044436374
67,"I",4,4.98305769323648,4.57368960903476
68,"IV",3,4.10170015333275,5.34920906232156
69,"V",4,4.31953682852707,5.04443053754557
70,"I",4,2.46234198115903,4.74811802960503
71,"I",5,3.08410373932177,4.99239265817664
72,"IV",6,2.57389819888105,4.67946365311651
73,"V",7,1.80111325561013,4.33520702771464
74,"I",8,1.97907166734003,4.34028185304073
75,"I",9,2.77187339482871,4.88571097964787
76,"IV",10,0.570755824565286,2.3848715157454
77,"V",10,0.212078077298603,1.21254621548661
78,"I",10,0.528211470051969,2.23801723704959
