"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,103,"-VII",6,6.34583966488375,4.22984978802416,"-VII",6,6.34583966488375,4.22984978802416,
1,104,"-VI",3,4.87431696412989,4.8001994581095,"-VI",3,4.87431696412989,4.8001994581095,
1,105,"i",4,5.12167740161395,4.44181892193217,"i",4,5.12167740161395,4.44181892193217,
1,106,"IV",3,5.59384085616316,5.12237706242082,"IV",3,5.59384085616316,5.12237706242082,
1,107,"IV",2,4.36496180486224,5.26651464609565,"IV",2,4.36496180486224,5.26651464609565,
1,108,"-III",3,5.51425793092013,5.05695800580246,"II",3,5.51425793092013,5.05695800580246,0
1,109,"i",3,5.13221760749787,5.17758920364135,"i",3,6.83912970511685,4.55898169461804,
1,110,"ii",3,5.67394413939356,5.04621940493274,"ii",2,5.48463003186099,5.02692345628341,
1,111,"ii",2,3.73468652661555,5.11950585388345,"ii",2,3.73468652661555,5.11950585388345,
1,112,"i",3,4.7130591252605,5.15539174648862,"i",3,4.7130591252605,5.15539174648862,
1,113,"i",4,1.08026249927886,3.57214329440729,"i",4,1.08026249927886,3.57214329440729,
,,,,,,,,,,
2,100,"-III",5,3.24409509899704,4.90425072585924,"-III",5,3.24409509899704,4.90425072585924,
2,101,"I",6,3.71195687517798,4.40889745089378,"I",6,3.71195687517798,4.40889745089378,
2,102,"I",5,1.32873987528145,3.91305188204408,"I",5,1.32873987528145,3.91305188204408,
2,103,"-VII",6,6.34583966488375,4.22984978802416,"-VII",6,6.34583966488375,4.22984978802416,
2,104,"-VI",3,4.87431696412989,4.8001994581095,"-VI",3,4.87431696412989,4.8001994581095,
2,105,"i",4,5.12167740161395,4.44181892193217,"v",4,5.11715675297283,4.44181892193217,0.00452064864111801
2,106,"IV",3,5.59384085616316,5.12237706242082,"IV",3,3.70797643284349,5.03006968066828,
2,107,"IV",2,4.36496180486224,5.26651464609565,"IV",4,3.46080216879966,4.72208277553638,
2,108,"-III",3,5.51425793092013,5.05695800580246,"-III",4,6.04779353198403,4.11980826029385,
2,109,"i",3,5.13221760749787,5.17758920364135,"i",3,5.13221760749787,5.17758920364135,
2,110,"ii",3,5.67394413939356,5.04621940493274,"ii",3,5.67394413939356,5.04621940493274,
,,,,,,,,,,
3,95,"I",6,3.71195687517798,4.40889745089378,"I",6,3.71195687517798,4.40889745089378,
3,96,"I",5,1.32873987528145,3.91305188204408,"I",5,1.32873987528145,3.91305188204408,
3,97,"I",6,3.56316841189685,4.22984978802416,"I",6,3.56316841189685,4.22984978802416,
