"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,152,"vi",10,1.91242952705217,4.49727171576125,"vi",10,1.91242952705217,4.49727171576125,
1,153,"I",10,5.8272708099263,2.03422226374139,"I",10,5.8272708099263,2.03422226374139,
1,154,"I",5,3.84479404386806,3.82422586530218,"I",5,3.84479404386806,3.82422586530218,
1,155,"I",5,3.46827406769236,4.53718807592455,"I",5,3.46827406769236,4.53718807592455,
1,156,"I",5,2.29878840201117,4.78423903924499,"I",5,2.29878840201117,4.78423903924499,
1,157,"ii",6,5.09588330505115,4.5267200874211,"V",6,5.0918191621484,4.5267200874211,0.0040641429027497
1,158,"V",5,2.95578049674898,4.66847269379694,"V",5,2.88452212375325,4.81728152536592,
1,159,"I",6,2.58326189549033,4.690939247098,"I",6,2.85658825710545,4.77662725353816,
1,160,"vi",7,3.5403627982588,4.63897346153494,"vi",7,5.30922189855556,4.28426550702787,
1,161,"ii",6,0.909616042719382,3.23755221632993,"ii",5,3.59868959425617,4.57952340893915,
1,162,"V",7,2.31599058738932,2.75667917049262,"V",5,0.585352906890801,2.5283336982711,
,,,,,,,,,,
2,148,"vi",10,1.91242952705217,4.49727171576125,"vi",10,1.91242952705217,4.49727171576125,
2,149,"ii",10,0.457181333633776,2.03422226374139,"ii",10,0.457181333633776,2.03422226374139,
2,150,"V",6,0.0571101998317255,0.414171928503724,"V",6,0.0571101998317255,0.414171928503724,
2,151,"I",10,1.62170430168723,4.18962370873638,"I",10,1.62170430168723,4.18962370873638,
2,152,"vi",10,1.91242952705217,4.49727171576125,"vi",10,1.91242952705217,4.49727171576125,
2,153,"I",10,5.8272708099263,2.03422226374139,"vi",10,5.77124153324461,2.03422226374139,0.0560292766816959
2,154,"I",5,3.84479404386806,3.82422586530218,"I",5,5.00426533135155,4.64818797227769,
2,155,"I",5,3.46827406769236,4.53718807592455,"I",4,1.90028924485901,4.4341125683611,
2,156,"I",5,2.29878840201117,4.78423903924499,"I",5,3.59437862806378,4.73308569121734,
2,157,"ii",6,5.09588330505115,4.5267200874211,"ii",5,5.32162920281566,4.66179074252087,
2,158,"V",5,2.95578049674898,4.66847269379694,"V",4,3.32698993224555,4.95392720829359,
,,,,,,,,,,
3,3,"I",2,2.20046829427291,4.79859356102467,"I",2,2.20046829427291,4.79859356102467,
3,4,"I",3,1.98156719156254,4.76194456656204,"I",3,1.98156719156254,4.76194456656204,
3,5,"I",4,1.5798194038242,4.43687984018319,"I",4,1.5798194038242,4.43687984018319,
3,6,"ii",5,5.05717721871959,3.8707181526601,"ii",5,5.05717721871959,3.8707181526601,
3,7,"V",6,1.40976725728493,3.90071487353091,"V",6,1.40976725728493,3.90071487353091,
3,8,"I",7,2.37726986598404,4.36682230899518,"ii",7,2.30639375239207,4.36682230899518,0.0708761135919707
3,9,"vi",8,3.75416925325676,4.28286752901472,"vi",6,8.50218011263775,1.11754904727154,
3,10,"ii",6,0.909616042719382,3.23755221632993,"ii",3,4.45295640288387,5.05072723758999,
3,11,"V",7,2.31599058738932,2.75667917049262,"V",3,3.74264172077566,4.9827741341701,
3,12,"I",7,2.12492834045092,4.71045673609012,"I",4,3.78794470190251,4.98350868673681,
3,13,"vi",8,2.48275409658446,4.88239363989153,"vi",4,4.79278629225221,5.32636550100957,
,,,,,,,,,,
4,57,"I",5,1.60668651696049,3.90884086093887,"I",5,1.60668651696049,3.90884086093887,
4,58,"vi",5,5.86140278741359,4.02105159163984,"vi",5,5.86140278741359,4.02105159163984,
4,59,"ii",4,2.99870598416385,4.88576187355395,"ii",4,2.99870598416385,4.88576187355395,
4,60,"V",5,0.976812176721985,3.24750992135442,"V",5,0.976812176721985,3.24750992135442,
4,61,"I",6,2.83052739340886,4.97210911167006,"I",6,2.83052739340886,4.97210911167006,
4,62,"vi",7,3.89345750769932,5.13200300866221,"IV",7,3.97577589506559,5.13200300866221,0.0823183873662678
4,63,"ii",8,2.12430281926088,4.45820022991308,"ii",7,5.11000630675967,2.22341110014567,
4,64,"V",6,0.0571101998317255,0.414171928503724,"V",6,1.45973228730734,3.82359678564054,
4,65,"I",10,1.62170430168723,4.18962370873638,"I",7,1.94664930015926,3.59643907607612,
4,66,"vi",10,1.91242952705217,4.49727171576125,"vi",7,4.56411854596056,4.90970777421175,
4,67,"ii",10,0.457181333633776,2.03422226374139,"ii",6,3.92103767848058,4.68363670288728,
