"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"ii",5,5.05717721871959,3.8707181526601
7,"V",6,1.40976725728493,3.90071487353091
8,"I",7,2.37726986598404,4.36682230899518
9,"vi",8,3.75416925325676,4.28286752901472
10,"ii",6,0.909616042719382,3.23755221632993
11,"V",7,2.31599058738932,2.75667917049262
12,"I",7,2.12492834045092,4.71045673609012
13,"vi",8,2.48275409658446,4.88239363989153
14,"ii",9,1.49914513869082,4.02442848822527
15,"V",6,0.0571101998317255,0.414171928503724
16,"I",10,1.62170430168723,4.18962370873638
17,"vi",10,1.91242952705217,4.49727171576125
18,"ii",10,0.457181333633776,2.03422226374139
19,"V",6,0.0571101998317255,0.414171928503724
20,"I",10,1.62170430168723,4.18962370873638
21,"vi",10,1.91242952705217,4.49727171576125
22,"ii",10,0.457181333633776,2.03422226374139
23,"V",6,0.0571101998317255,0.414171928503724
24,"I",10,1.62170430168723,4.18962370873638
25,"vi",10,1.91242952705217,4.49727171576125
26,"ii",10,0.457181333633776,2.03422226374139
27,"V",6,0.0571101998317255,0.414171928503724
28,"I",10,1.62170430168723,4.18962370873638
29,"vi",10,1.91242952705217,4.49727171576125
30,"ii",10,0.457181333633776,2.03422226374139
31,"V",6,0.0571101998317255,0.414171928503724
32,"I",10,1.62170430168723,4.18962370873638
33,"vi",10,1.91242952705217,4.49727171576125
34,"ii",10,0.457181333633776,2.03422226374139
35,"V",6,0.0571101998317255,0.414171928503724
36,"I",10,1.62170430168723,4.18962370873638
37,"vi",10,1.91242952705217,4.49727171576125
38,"ii",10,0.457181333633776,2.03422226374139
39,"V",6,0.0571101998317255,0.414171928503724
40,"I",10,1.62170430168723,4.18962370873638
41,"vi",10,1.91242952705217,4.49727171576125
42,"ii",10,0.457181333633776,2.03422226374139
43,"V",6,0.0571101998317255,0.414171928503724
44,"I",10,1.62170430168723,4.18962370873638
45,"vi",10,1.91242952705217,4.49727171576125
46,"ii",10,0.457181333633776,2.03422226374139
47,"V",6,0.0571101998317255,0.414171928503724
48,"I",10,1.62170430168723,4.18962370873638
49,"vi",10,1.91242952705217,4.49727171576125
50,"ii",10,0.457181333633776,2.03422226374139
51,"V",6,0.0571101998317255,0.414171928503724
52,"I",10,1.62170430168723,4.18962370873638
53,"vi",10,1.91242952705217,4.49727171576125
54,"ii",10,0.457181333633776,2.03422226374139
55,"ii",6,8.20037407684064,0.414171928503724
56,"V",4,1.85761735939158,4.57342457527539
57,"I",5,1.60668651696049,3.90884086093887
58,"vi",5,5.86140278741359,4.02105159163984
59,"ii",4,2.99870598416385,4.88576187355395
60,"V",5,0.976812176721985,3.24750992135442
61,"I",6,2.83052739340886,4.97210911167006
62,"vi",7,3.89345750769932,5.13200300866221
63,"ii",8,2.12430281926088,4.45820022991308
64,"V",6,0.0571101998317255,0.414171928503724
65,"I",10,1.62170430168723,4.18962370873638
66,"vi",10,1.91242952705217,4.49727171576125
67,"ii",10,0.457181333633776,2.03422226374139
68,"V",6,0.0571101998317255,0.414171928503724
69,"I",10,1.62170430168723,4.18962370873638
70,"vi",10,1.91242952705217,4.49727171576125
71,"ii",10,0.457181333633776,2.03422226374139
72,"V",6,0.0571101998317255,0.414171928503724
73,"I",10,1.62170430168723,4.18962370873638
74,"vi",10,1.91242952705217,4.49727171576125
75,"ii",10,0.457181333633776,2.03422226374139
76,"V",6,0.0571101998317255,0.414171928503724
77,"I",10,1.62170430168723,4.18962370873638
