"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53024235592001,5.47613019928548
2,"-iii",1,7.76542424159169,3.97772469473729
3,"vi",1,6.16404843510564,5.45421392285192
4,"vi",1,4.81009516150824,5.45980692496306
5,"vi",2,4.43464392718816,5.38808458010163
6,"iii",3,5.23512167604485,5.2165103321051
7,"V",3,5.31277798747681,4.37443467660169
8,"vi",3,5.56333920519954,5.09520464277051
9,"vi",3,4.38219438146371,5.05790224414843
10,"vi",3,3.86341512419824,5.24263324609723
11,"iii",4,5.43714727954317,5.00653903903936
12,"V",3,5.31277798747681,4.37443467660169
13,"vi",3,5.56333920519954,5.09520464277051
14,"vi",3,4.38219438146371,5.05790224414843
15,"vi",3,3.86341512419824,5.24263324609723
16,"iii",4,5.43714727954317,5.00653903903936
17,"V",3,5.31277798747681,4.37443467660169
18,"vi",3,5.56333920519954,5.09520464277051
19,"vi",3,4.38219438146371,5.05790224414843
20,"vi",3,3.86341512419824,5.24263324609723
21,"iii",4,5.43714727954317,5.00653903903936
22,"V",3,5.31277798747681,4.37443467660169
23,"vi",3,5.56333920519954,5.09520464277051
24,"vi",3,4.38219438146371,5.05790224414843
25,"vi",3,3.86341512419824,5.24263324609723
26,"iii",4,5.43714727954317,5.00653903903936
27,"V",3,5.31277798747681,4.37443467660169
28,"vi",3,5.56333920519954,5.09520464277051
29,"vi",3,4.38219438146371,5.05790224414843
30,"vi",3,3.86341512419824,5.24263324609723
31,"iii",4,5.43714727954317,5.00653903903936
32,"V",3,5.31277798747681,4.37443467660169
33,"r",3,2.97032519645037,5.09520464277051
34,"vi",3,5.90733623784506,3.43216107468465
35,"vi",3,4.12364197342996,4.81167519913763
36,"vi",3,2.32934784004578,4.92860826158999
37,"iii",4,5.81354093489869,4.17335909736089
38,"V",3,5.31277798747681,4.37443467660169
39,"vi",3,5.56333920519954,5.09520464277051
40,"vi",3,4.38219438146371,5.05790224414843
41,"vi",3,3.86341512419824,5.24263324609723
42,"iii",4,5.43714727954317,5.00653903903936
43,"V",3,5.31277798747681,4.37443467660169
44,"vi",3,5.56333920519954,5.09520464277051
45,"vi",3,4.38219438146371,5.05790224414843
46,"vi",3,3.86341512419824,5.24263324609723
47,"iii",4,5.43714727954317,5.00653903903936
48,"V",3,5.31277798747681,4.37443467660169
49,"V",3,2.94160986388279,5.09520464277051
50,"I",4,2.91093080489685,4.6616286138083
51,"V",5,5.13313149830094,4.74598444414401
52,"I",4,3.25504480341438,5.07668716057033
53,"vi",5,5.38517052703767,4.84933509369069
54,"vi",5,4.57879778044916,4.77138133828854
55,"V",4,3.52389652171985,5.11614884752051
56,"I",5,2.66720126697529,4.34102058505183
57,"V",5,4.56140850741744,4.56590407761414
58,"I",4,3.26370960873665,4.99852541980862
59,"vi",5,5.12497423211755,5.12269386322606
60,"vi",5,4.57879778044916,4.77138133828854
61,"V",4,3.52389652171985,5.11614884752051
62,"IV",5,3.39487401280225,4.34102058505183
63,"V",5,2.97873968497294,4.05939546956133
64,"IV",5,3.66011708657872,4.65665808008061
65,"V",5,2.08702905034222,4.37547145755916
66,"IV",6,1.69782633213849,4.2926100178612
67,"V",7,1.37829279664117,3.86568232233436
68,"vi",8,4.4758814469972,4.07141793940077
69,"vi",6,1.20349402676904,3.60893778670843
70,"vi",7,3.53626966746237,4.09899418030345
71,"vi",6,1.83758001662285,4.42310760717007
72,"vi",7,3.4795131685619,4.61208631685282
73,"V",7,5.21136563323542,4.18408523953555
74,"IV",5,2.55967406534579,4.33336305516407
75,"V",5,1.17919346899565,3.60973116932218
76,"IV",6,4.13047300397562,3.87153496989261
77,"V",5,2.08702905034222,4.37547145755916
78,"IV",6,1.69782633213849,4.2926100178612
79,"V",7,1.37829279664117,3.86568232233436
80,"vi",8,4.4758814469972,4.07141793940077
81,"vi",6,1.20349402676904,3.60893778670843
82,"vi",7,3.53626966746237,4.09899418030345
83,"vi",6,1.83758001662285,4.42310760717007
84,"vi",7,3.4795131685619,4.61208631685282
85,"iii",7,5.98955960203436,4.18408523953555
86,"V",3,5.31277798747681,4.37443467660169
87,"vi",3,5.56333920519954,5.09520464277051
88,"vi",3,4.38219438146371,5.05790224414843
89,"vi",3,3.86341512419824,5.24263324609723
90,"iii",4,5.43714727954317,5.00653903903936
91,"V",3,5.31277798747681,4.37443467660169
92,"vi",3,5.56333920519954,5.09520464277051
93,"vi",3,4.38219438146371,5.05790224414843
94,"vi",3,3.86341512419824,5.24263324609723
95,"iii",4,5.43714727954317,5.00653903903936
96,"V",3,5.31277798747681,4.37443467660169
97,"V",3,2.94160986388279,5.09520464277051
98,"V",4,2.57577694653723,4.6616286138083
99,"iii",5,5.66838012211303,4.12306116758522
100,"r",4,3.56124481418132,4.79639086180366
101,"vi",3,6.65175818054184,3.34254174746391
102,"vi",2,3.79202945606787,5.32106055777468
103,"vi",3,2.32934784004578,4.92860826158999
104,"iii",4,5.81354093489869,4.17335909736089
105,"V",3,5.31277798747681,4.37443467660169
106,"vi",3,5.56333920519954,5.09520464277051
107,"vi",3,4.38219438146371,5.05790224414843
108,"vi",3,3.86341512419824,5.24263324609723
109,"iii",4,5.43714727954317,5.00653903903936
110,"V",3,5.31277798747681,4.37443467660169
111,"vi",3,5.56333920519954,5.09520464277051
112,"vi",3,4.38219438146371,5.05790224414843
113,"vi",3,3.86341512419824,5.24263324609723
114,"iii",4,5.43714727954317,5.00653903903936
115,"V",3,5.31277798747681,4.37443467660169
116,"V",3,2.94160986388279,5.09520464277051
117,"I",4,2.91093080489685,4.6616286138083
118,"V",5,5.13313149830094,4.74598444414401
119,"I",4,3.25504480341438,5.07668716057033
120,"vi",5,5.38517052703767,4.84933509369069
121,"vi",5,4.57879778044916,4.77138133828854
122,"V",4,3.52389652171985,5.11614884752051
123,"I",5,2.66720126697529,4.34102058505183
124,"V",5,4.56140850741744,4.56590407761414
125,"I",4,3.26370960873665,4.99852541980862
126,"vi",5,5.12497423211755,5.12269386322606
127,"vi",5,4.57879778044916,4.77138133828854
128,"V",4,3.52389652171985,5.11614884752051
