"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"I",2,1.89816789494214,3.69160509208492
4,"iii",3,5.17981699161085,4.60309558539726
5,"IV",4,1.79839786863603,3.92159247047911
6,"IV",5,4.31256202329771,4.34562832896349
7,"I",4,3.42277080540795,5.03971004491367
8,"V",5,5.02739225581661,4.31515444173789
9,"IV",4,3.44630400402084,4.92670837785727
10,"ii",5,5.40906136255789,4.61769418478942
11,"IV",4,3.78655117919927,4.3584308158876
12,"vi",4,5.87355061175654,3.88548014985142
13,"iii",3,5.14408262782456,4.90174717146527
14,"IV",3,1.81200234542706,4.47559935838821
15,"IV",4,2.65497813193654,4.7966078332308
16,"I",5,3.449270526754,5.01373757369702
17,"iii",5,4.08998418963443,4.30405741411233
18,"IV",5,1.66569155660085,4.01195632265256
19,"IV",5,4.21869864595305,4.3971902241749
20,"I",4,3.42277080540795,5.03971004491367
21,"iii",5,1.78948573517566,4.31515444173789
22,"IV",5,1.66569155660085,4.01195632265256
23,"iv",5,6.39881506310105,4.3971902241749
24,"I",2,3.89070296044973,5.37393131877675
25,"IV",3,4.56384549383138,5.3108086909555
26,"I",4,3.89350493103444,5.26397388785767
27,"V",5,3.93047360509702,4.95428849964523
28,"IV",5,3.86511550978873,4.59552172851749
29,"ii",5,5.36709246288062,4.61960339993401
30,"IV",4,3.78655117919927,4.3584308158876
31,"I",4,3.67529852213998,3.88548014985142
32,"V",4,4.43821171161163,4.96027602351138
33,"IV",4,3.27931903191983,4.84092401383771
34,"ii",5,5.38522883444331,4.55801209397549
35,"IV",4,3.78655117919927,4.3584308158876
36,"vi",4,5.87355061175654,3.88548014985142
37,"iii",3,5.14408262782456,4.90174717146527
38,"IV",3,1.81200234542706,4.47559935838821
39,"V",4,4.15593297070301,4.7966078332308
40,"I",4,3.24769152875006,4.90851022269421
41,"iii",5,4.76874317911148,5.16867257086248
42,"IV",5,1.23513954073158,3.66942530153708
43,"IV",6,2.92625047187781,4.37304144505043
44,"I",5,4.01449675202502,4.05186426093361
45,"iii",5,1.78948573517566,4.31515444173789
46,"IV",5,1.66569155660085,4.01195632265256
47,"iv",5,6.39881506310105,4.3971902241749
48,"I",2,3.89070296044973,5.37393131877675
49,"VI",3,5.25954522470768,5.3108086909555
50,"II",4,1.76995831490206,4.40520479831426
51,"VI",4,4.57698547682435,3.282700816966
52,"V",4,5.85204313676348,4.26401249496186
53,"iii",2,4.1041917861875,5.24829871751373
54,"V",3,4.71283926939606,5.02158567023009
55,"vii",3,6.66369871064982,5.06391363784234
56,"#iv",2,6.16020908738185,4.74796070662719
57,"V",2,4.41628260427873,4.34776426705694
58,"VI",2,2.5374226529715,5.16286129465006
59,"V",3,4.32600744960725,4.68026616702998
60,"II",3,6.31129095815008,4.90594331677458
61,"#iv",2,5.79186024052478,5.28021000543268
62,"V",2,1.55815382080646,4.3439225849799
63,"V",2,5.09722133331819,5.16286129465006
64,"II",2,5.29047870844457,5.35775390619195
65,"#iv",3,6.10354420696014,5.00262264660797
66,"V",2,1.55815382080646,4.3439225849799
67,"v",2,5.8895606250239,5.16286129465006
68,"II",2,5.00593962327559,5.12890727706251
69,"V",3,5.13038695645447,4.28615116292225
70,"II",2,4.60378085948069,5.33122649122004
71,"#iv",3,6.33169991685158,4.63065863660414
72,"V",2,1.55815382080646,4.3439225849799
73,"V",2,5.09722133331819,5.16286129465006
74,"II",2,5.29047870844457,5.35775390619195
75,"#iv",3,6.10354420696014,5.00262264660797
76,"V",2,1.55815382080646,4.3439225849799
77,"V",2,5.09722133331819,5.16286129465006
78,"II",2,5.29047870844457,5.35775390619195
79,"#iv",3,6.10354420696014,5.00262264660797
80,"V",2,1.55815382080646,4.3439225849799
81,"V",2,5.09722133331819,5.16286129465006
82,"r",2,2.79001987825877,5.35775390619195
83,"r",3,1.62096270766607,3.37938912825507
