"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"r",2,1.85123749467927,3.69167488857668
4,"r",3,1.60007421202557,3.49582239973655
5,"r",4,1.61932294839933,3.52808904205392
6,"r",5,1.54480512127085,3.45424437329361
7,"r",6,1.50783422215191,3.45755221021047
8,"r",7,1.53278201117379,3.47241006630785
9,"V",8,4.42119306229349,3.40286462949202
10,"IV",9,3.39548335795056,3.18327662224361
11,"I",4,0.890634812586322,3.26809776708109
12,"IV",5,4.8486898381795,4.48974578865678
13,"I",4,3.22475747773831,5.05113840262653
14,"IV",5,3.42294234743763,5.03372866769695
15,"I",6,2.4806304693617,4.78813027910487
16,"V",7,3.47376882580935,4.94017478651704
17,"I",8,2.94161609731695,4.48699246882182
18,"IV",9,1.93210894157525,4.25700588530515
19,"I",10,2.06174171100025,4.17902575170744
20,"IV",9,4.2987161495555,4.22149701593319
21,"I",8,1.80171831923199,4.25528168456534
22,"V",8,4.57305137061491,3.33274070190214
23,"IV",8,3.8132699504686,4.15442113082017
24,"I",7,2.15038408160713,4.22870320537036
25,"IV",8,2.59105200796031,4.20571018963129
26,"I",7,0.487297842819948,2.23772775654516
27,"IV",10,1.51150916141636,3.88825679008789
28,"I",7,0.310097853050926,1.676967263015
29,"V",9,1.01438928724624,3.52272039572583
30,"I",10,2.65289734048662,4.17564588244257
31,"I",9,3.02861230397302,3.9967084562382
32,"I",9,1.59486496721918,3.81166733393005
33,"I",9,2.01760883557069,4.01137831764792
34,"V",9,4.10954147099938,3.99524756259911
35,"I",8,3.02785624835,4.12044832841478
36,"I",8,1.23680818032533,3.78561458696043
37,"I",9,1.85278707464749,3.87703514253846
38,"I",10,1.2766167178982,3.52045134003425
39,"V",10,2.50034897508785,4.28323310435157
40,"I",10,1.93614678291953,4.29749091479303
41,"I",8,0.429809540301294,2.07724579745329
42,"IV",10,5.07172518027718,1.94799511501274
43,"I",7,3.68001438679677,4.63796534195393
44,"IV",6,2.54973082005631,4.38221620827722
45,"I",7,1.14098372397643,3.59892948488726
46,"V",8,2.90108859312817,4.72111731386022
47,"IV",8,4.27377658629361,3.46775378226558
48,"I",7,2.15038408160713,4.22870320537036
49,"IV",8,2.59105200796031,4.20571018963129
50,"I",7,0.487297842819948,2.23772775654516
51,"IV",10,1.51150916141636,3.88825679008789
52,"I",7,0.310097853050926,1.676967263015
53,"V",9,1.01438928724624,3.52272039572583
54,"I",10,2.65289734048662,4.17564588244257
55,"r",9,3.14446822121768,3.9967084562382
56,"r",4,0.360499804221038,1.62511908880446
57,"r",6,0.873813494854411,2.48118683836343
58,"V",6,4.60038639310079,3.3235064730595
59,"I",4,2.20140922225278,3.60286564987981
60,"IV",5,3.00135800583249,4.80944956140217
61,"I",5,2.66231292563497,4.2275609167262
62,"IV",5,3.98773911770334,5.06907544274418
63,"I",5,2.74749558003458,4.93547988340358
64,"V",6,3.99738468022701,4.92093154629486
65,"IV",7,3.61326700427751,4.4420149290028
66,"I",7,2.15038408160713,4.22870320537036
67,"IV",8,2.59105200796031,4.20571018963129
68,"I",7,0.487297842819948,2.23772775654516
69,"IV",10,1.51150916141636,3.88825679008789
70,"I",7,0.310097853050926,1.676967263015
71,"V",9,1.01438928724624,3.52272039572583
72,"I",10,2.65289734048662,4.17564588244257
