"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,15,"-VI",6,3.85400045441732,3.26346024006672,"-VI",6,3.85400045441732,3.26346024006672,
1,16,"-III",6,3.68437511215406,4.51682394854321,"-III",6,3.68437511215406,4.51682394854321,
1,17,"-III",6,2.01847710148593,4.2355572078942,"-III",6,2.01847710148593,4.2355572078942,
1,18,"i",5,6.26543433127724,3.73484746514692,"i",5,6.26543433127724,3.73484746514692,
1,19,"-III",3,5.37992043917222,4.734512363592,"-III",3,5.37992043917222,4.734512363592,
1,20,"-VII",3,4.9900724030968,4.8326452569405,"iv",3,4.96507126187291,4.8326452569405,0.0250011412238909
1,21,"i",3,2.61751833275957,4.75594208449348,"i",3,4.18368560443578,5.22019587939999,
1,22,"i",4,3.34527768612312,4.90157979897905,"i",4,2.50443692037025,4.61371099720822,
1,23,"-VII",5,3.97611004095427,4.78678568521861,"-VII",5,4.39883877082365,4.78958778965322,
1,24,"-VII",5,3.04950644471247,4.22330986543464,"-VII",4,2.46353042009141,4.31419836068529,
1,25,"i",5,2.88471300385434,4.55913928674499,"i",5,3.60598663552238,4.29086289241284,
,,,,,,,,,,
2,34,"-VI",6,3.85400045441732,3.26346024006672,"-VI",6,3.85400045441732,3.26346024006672,
2,35,"-III",6,3.68437511215406,4.51682394854321,"-III",6,3.68437511215406,4.51682394854321,
2,36,"-III",6,2.01847710148593,4.2355572078942,"-III",6,2.01847710148593,4.2355572078942,
2,37,"i",5,6.26543433127724,3.73484746514692,"i",5,6.26543433127724,3.73484746514692,
2,38,"-III",3,5.37992043917222,4.734512363592,"-III",3,5.37992043917222,4.734512363592,
2,39,"-VII",3,4.9900724030968,4.8326452569405,"iv",3,4.96507126187291,4.8326452569405,0.0250011412238909
2,40,"i",3,2.61751833275957,4.75594208449348,"i",3,4.18368560443578,5.22019587939999,
2,41,"i",4,3.34527768612312,4.90157979897905,"i",4,2.50443692037025,4.61371099720822,
2,42,"-VII",5,3.97611004095427,4.78678568521861,"-VII",5,4.39883877082365,4.78958778965322,
2,43,"-VII",5,3.04950644471247,4.22330986543464,"-VII",4,2.46353042009141,4.31419836068529,
2,44,"i",5,2.88471300385434,4.55913928674499,"i",5,3.60598663552238,4.29086289241284,
,,,,,,,,,,
3,53,"-VI",6,3.85400045441732,3.26346024006672,"-VI",6,3.85400045441732,3.26346024006672,
3,54,"-III",6,3.68437511215406,4.51682394854321,"-III",6,3.68437511215406,4.51682394854321,
3,55,"-III",6,2.01847710148593,4.2355572078942,"-III",6,2.01847710148593,4.2355572078942,
3,56,"i",5,6.26543433127724,3.73484746514692,"i",5,6.26543433127724,3.73484746514692,
3,57,"-III",3,5.37992043917222,4.734512363592,"-III",3,5.37992043917222,4.734512363592,
3,58,"-VII",3,4.9900724030968,4.8326452569405,"iv",3,4.96507126187291,4.8326452569405,0.0250011412238909
3,59,"i",3,2.61751833275957,4.75594208449348,"i",3,4.18368560443578,5.22019587939999,
3,60,"i",4,3.34527768612312,4.90157979897905,"i",4,2.50443692037025,4.61371099720822,
3,61,"-VII",5,3.97611004095427,4.78678568521861,"-VII",5,4.39883877082365,4.78958778965322,
3,62,"-VII",5,3.04950644471247,4.22330986543464,"-VII",4,2.46353042009141,4.31419836068529,
3,63,"i",5,2.88471300385434,4.55913928674499,"i",5,3.60598663552238,4.29086289241284,
,,,,,,,,,,
4,72,"-VI",6,3.85400045441732,3.26346024006672,"-VI",6,3.85400045441732,3.26346024006672,
4,73,"-III",6,3.68437511215406,4.51682394854321,"-III",6,3.68437511215406,4.51682394854321,
4,74,"-III",6,2.01847710148593,4.2355572078942,"-III",6,2.01847710148593,4.2355572078942,
4,75,"i",5,6.26543433127724,3.73484746514692,"i",5,6.26543433127724,3.73484746514692,
4,76,"-III",3,5.37992043917222,4.734512363592,"-III",3,5.37992043917222,4.734512363592,
4,77,"-VII",3,4.9900724030968,4.8326452569405,"iv",3,4.96507126187291,4.8326452569405,0.0250011412238909
4,78,"i",3,2.61751833275957,4.75594208449348,"i",3,4.18368560443578,5.22019587939999,
4,79,"i",4,3.34527768612312,4.90157979897905,"i",4,2.50443692037025,4.61371099720822,
4,80,"-VII",5,3.97611004095427,4.78678568521861,"-VII",5,4.39883877082365,4.78958778965322,
4,81,"-VII",5,3.04950644471247,4.22330986543464,"-VII",4,2.46353042009141,4.31419836068529,
4,82,"i",5,2.88471300385434,4.55913928674499,"i",5,3.60598663552238,4.29086289241284,
,,,,,,,,,,
