"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
20,19,"-VII",4.9900724030968,4.8326452569405,"iv",4.96507126187291,4.8326452569405,0.0250011412238909
39,19,"-VII",4.9900724030968,4.8326452569405,"iv",4.96507126187291,4.8326452569405,0.0250011412238909
58,19,"-VII",4.9900724030968,4.8326452569405,"iv",4.96507126187291,4.8326452569405,0.0250011412238909
77,19,"-VII",4.9900724030968,4.8326452569405,"iv",4.96507126187291,4.8326452569405,0.0250011412238909
96,19,"-VII",4.9900724030968,4.8326452569405,"iv",4.96507126187291,4.8326452569405,0.0250011412238909
19,15,"-III",5.37992043917222,4.734512363592,"-VI",5.33266815655405,4.734512363592,0.0472522826181727
38,15,"-III",5.37992043917222,4.734512363592,"-VI",5.33266815655405,4.734512363592,0.0472522826181727
57,15,"-III",5.37992043917222,4.734512363592,"-VI",5.33266815655405,4.734512363592,0.0472522826181727
76,15,"-III",5.37992043917222,4.734512363592,"-VI",5.33266815655405,4.734512363592,0.0472522826181727
95,15,"-III",5.37992043917222,4.734512363592,"-VI",5.33266815655405,4.734512363592,0.0472522826181727
11,13,"-VI",3.9915008815543,5.24627589242165,"-VII",4.061995196158,5.24627589242165,0.0704943146037
30,13,"-VI",3.9915008815543,5.24627589242165,"-VII",4.061995196158,5.24627589242165,0.0704943146037
49,13,"-VI",3.9915008815543,5.24627589242165,"-VII",4.061995196158,5.24627589242165,0.0704943146037
68,13,"-VI",3.9915008815543,5.24627589242165,"-VII",4.061995196158,5.24627589242165,0.0704943146037
87,13,"-VI",3.9915008815543,5.24627589242165,"-VII",4.061995196158,5.24627589242165,0.0704943146037
16,15,"-III",3.68437511215406,4.51682394854321,"-VI",3.75841002452821,4.51682394854321,0.0740349123741573
35,15,"-III",3.68437511215406,4.51682394854321,"-VI",3.75841002452821,4.51682394854321,0.0740349123741573
54,15,"-III",3.68437511215406,4.51682394854321,"-VI",3.75841002452821,4.51682394854321,0.0740349123741573
73,15,"-III",3.68437511215406,4.51682394854321,"-VI",3.75841002452821,4.51682394854321,0.0740349123741573
92,15,"-III",3.68437511215406,4.51682394854321,"-VI",3.75841002452821,4.51682394854321,0.0740349123741573
19,3,"-III",5.37992043917222,4.734512363592,"ii",5.46257747914848,4.734512363592,0.0826570399762607
38,3,"-III",5.37992043917222,4.734512363592,"ii",5.46257747914848,4.734512363592,0.0826570399762607
57,3,"-III",5.37992043917222,4.734512363592,"ii",5.46257747914848,4.734512363592,0.0826570399762607
76,3,"-III",5.37992043917222,4.734512363592,"ii",5.46257747914848,4.734512363592,0.0826570399762607
95,3,"-III",5.37992043917222,4.734512363592,"ii",5.46257747914848,4.734512363592,0.0826570399762607
20,15,"-VII",4.9900724030968,4.8326452569405,"-VI",4.9062677056672,4.8326452569405,0.0838046974296072
39,15,"-VII",4.9900724030968,4.8326452569405,"-VI",4.9062677056672,4.8326452569405,0.0838046974296072
58,15,"-VII",4.9900724030968,4.8326452569405,"-VI",4.9062677056672,4.8326452569405,0.0838046974296072
77,15,"-VII",4.9900724030968,4.8326452569405,"-VI",4.9062677056672,4.8326452569405,0.0838046974296072
96,15,"-VII",4.9900724030968,4.8326452569405,"-VI",4.9062677056672,4.8326452569405,0.0838046974296072
20,14,"-VII",4.9900724030968,4.8326452569405,"-III",5.07904709358972,4.8326452569405,0.0889746904929201
39,14,"-VII",4.9900724030968,4.8326452569405,"-III",5.07904709358972,4.8326452569405,0.0889746904929201
58,14,"-VII",4.9900724030968,4.8326452569405,"-III",5.07904709358972,4.8326452569405,0.0889746904929201
77,14,"-VII",4.9900724030968,4.8326452569405,"-III",5.07904709358972,4.8326452569405,0.0889746904929201
96,14,"-VII",4.9900724030968,4.8326452569405,"-III",5.07904709358972,4.8326452569405,0.0889746904929201
8,11,"-VI",5.13660018767142,3.88066977992507,"v",5.04400471708493,3.88066977992507,0.0925954705864944
27,11,"-VI",5.17780659684927,3.9114552904724,"v",5.08521112626277,3.9114552904724,0.0925954705864944
46,11,"-VI",5.17780659684927,3.9114552904724,"v",5.08521112626277,3.9114552904724,0.0925954705864944
65,11,"-VI",5.17780659684927,3.9114552904724,"v",5.08521112626277,3.9114552904724,0.0925954705864944
84,11,"-VI",5.17780659684927,3.9114552904724,"v",5.08521112626277,3.9114552904724,0.0925954705864944
19,13,"-III",5.37992043917222,4.734512363592,"-VII",5.28691456138843,4.734512363592,0.0930058777837885
38,13,"-III",5.37992043917222,4.734512363592,"-VII",5.28691456138843,4.734512363592,0.0930058777837885
57,13,"-III",5.37992043917222,4.734512363592,"-VII",5.28691456138843,4.734512363592,0.0930058777837885
76,13,"-III",5.37992043917222,4.734512363592,"-VII",5.28691456138843,4.734512363592,0.0930058777837885
95,13,"-III",5.37992043917222,4.734512363592,"-VII",5.28691456138843,4.734512363592,0.0930058777837885
18,5,"i",6.26543433127724,3.73484746514692,"I",6.16868941962198,3.73484746514692,0.0967449116552634
37,5,"i",6.26543433127724,3.73484746514692,"I",6.16868941962198,3.73484746514692,0.0967449116552634
56,5,"i",6.26543433127724,3.73484746514692,"I",6.16868941962198,3.73484746514692,0.0967449116552634
75,5,"i",6.26543433127724,3.73484746514692,"I",6.16868941962198,3.73484746514692,0.0967449116552634
94,5,"i",6.26543433127724,3.73484746514692,"I",6.16868941962198,3.73484746514692,0.0967449116552634
