"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"-VI",1,6.55560965630982,4.0433005801987
3,"V",2,5.43258217837299,4.28908799221541
4,"i",2,3.77383132291152,5.18171688592781
5,"-VII",3,3.30952950018411,4.90206631896157
6,"-VII",4,5.0278028387732,4.72982495358367
7,"-III",3,4.29653476296038,5.08613407001921
8,"-VI",4,4.46747817408581,4.76574553093225
9,"V",4,5.15849624990465,4.46067612849334
10,"i",3,4.09620409893112,4.8811862624116
11,"-VII",3,3.30952950018411,4.90206631896157
12,"-VI",4,2.51740814641969,4.72982495358367
13,"V",5,2.5825440316029,4.23624641957693
14,"i",6,2.02373334991866,4.00733456563101
15,"-VII",7,1.40597954542921,3.50677224392406
16,"-III",5,5.6244229609696,3.24834555565626
17,"-VI",4,4.95969935724634,4.48084190665891
18,"V",3,4.83064644537238,5.00152801845265
19,"I",3,4.65645311388038,4.8811862624116
20,"-VI",3,5.08526377755961,5.33300033831424
21,"V",4,1.78746335438088,4.55289249522921
22,"i",5,4.70889320404707,4.05943946091484
23,"-VII",3,3.30952950018411,4.90206631896157
24,"-VII",4,5.0278028387732,4.72982495358367
25,"-III",3,4.29653476296038,5.08613407001921
26,"-VI",4,4.46747817408581,4.76574553093225
27,"V",4,5.15849624990465,4.46067612849334
28,"i",3,4.09620409893112,4.8811862624116
29,"-VII",3,3.30952950018411,4.90206631896157
30,"-VI",4,2.51740814641969,4.72982495358367
31,"V",5,2.5825440316029,4.23624641957693
32,"i",6,2.02373334991866,4.00733456563101
33,"-VII",7,1.40597954542921,3.50677224392406
34,"-III",5,5.6244229609696,3.24834555565626
35,"-VI",4,4.95969935724634,4.48084190665891
36,"V",3,4.83064644537238,5.00152801845265
37,"I",3,4.65645311388038,4.8811862624116
38,"iv",3,4.91627977081111,5.33300033831424
39,"-VII",4,4.59340021221093,4.94537446027341
40,"-III",4,2.32737223357749,4.34767758128045
41,"iv",4,5.67656532986586,4.4917089700323
42,"-VII",3,5.02371067681555,5.10069355496313
43,"i",3,4.75193230020665,3.91378958666858
44,"-VII",3,3.9196504783797,4.88876700468891
45,"iv",4,4.39639806128076,4.67612505783885
46,"-VII",4,2.42596245433428,4.51623655529934
47,"-III",4,4.91782852006977,2.02559979725048
48,"iv",4,5.69944314997106,4.47397113083116
49,"-VII",3,5.02371067681555,5.10069355496313
50,"I",3,4.61271872622481,3.91378958666858
51,"-VI",3,5.81015254799978,4.25402570209122
52,"V",3,4.48358359700154,5.03532791765066
53,"i",3,4.12273426718016,4.83574473449862
54,"-VII",3,3.30952950018411,4.90206631896157
55,"-VII",4,5.0278028387732,4.72982495358367
56,"-III",3,4.29653476296038,5.08613407001921
57,"-VI",4,4.46747817408581,4.76574553093225
58,"V",4,5.15849624990465,4.46067612849334
59,"i",3,4.09620409893112,4.8811862624116
60,"-VII",3,3.30952950018411,4.90206631896157
61,"-VI",4,2.51740814641969,4.72982495358367
62,"V",5,2.5825440316029,4.23624641957693
63,"i",6,2.02373334991866,4.00733456563101
64,"-VII",7,1.40597954542921,3.50677224392406
65,"-III",5,5.6244229609696,3.24834555565626
66,"-VI",4,4.95969935724634,4.48084190665891
67,"V",3,4.83064644537238,5.00152801845265
68,"I",3,4.65645311388038,4.8811862624116
69,"iv",3,4.91627977081111,5.33300033831424
70,"-VII",4,4.59340021221093,4.94537446027341
71,"-III",4,2.32737223357749,4.34767758128045
72,"iv",4,5.67656532986586,4.4917089700323
73,"-VII",3,5.02371067681555,5.10069355496313
74,"i",3,4.75193230020665,3.91378958666858
75,"-VII",3,3.9196504783797,4.88876700468891
76,"iv",4,4.39639806128076,4.67612505783885
77,"-VII",4,2.42596245433428,4.51623655529934
78,"-III",4,4.91782852006977,2.02559979725048
79,"iv",4,5.69944314997106,4.47397113083116
80,"-VII",3,5.02371067681555,5.10069355496313
81,"I",3,4.61271872622481,3.91378958666858
82,"-VI",3,5.81015254799978,4.25402570209122
83,"V",3,4.48358359700154,5.03532791765066
84,"i",3,4.12273426718016,4.83574473449862
85,"-VII",3,3.30952950018411,4.90206631896157
86,"-VII",4,5.0278028387732,4.72982495358367
87,"-III",3,4.29653476296038,5.08613407001921
88,"-VI",4,4.46747817408581,4.76574553093225
89,"V",4,5.15849624990465,4.46067612849334
90,"i",3,4.09620409893112,4.8811862624116
91,"-VII",3,3.30952950018411,4.90206631896157
92,"-VI",4,2.51740814641969,4.72982495358367
93,"V",5,2.5825440316029,4.23624641957693
94,"i",6,2.02373334991866,4.00733456563101
95,"-VII",7,1.40597954542921,3.50677224392406
96,"-III",5,5.6244229609696,3.24834555565626
97,"-VI",4,4.95969935724634,4.48084190665891
98,"V",3,4.83064644537238,5.00152801845265
99,"I",3,4.65645311388038,4.8811862624116
100,"-VI",3,5.08526377755961,5.33300033831424
101,"V",4,1.78746335438088,4.55289249522921
102,"i",5,4.70889320404707,4.05943946091484
103,"-VII",3,3.30952950018411,4.90206631896157
104,"-VII",4,5.0278028387732,4.72982495358367
105,"-III",3,4.29653476296038,5.08613407001921
106,"-VI",4,4.46747817408581,4.76574553093225
107,"V",4,5.15849624990465,4.46067612849334
108,"i",3,4.09620409893112,4.8811862624116
109,"-VII",3,3.30952950018411,4.90206631896157
110,"-VI",4,2.51740814641969,4.72982495358367
111,"V",5,2.5825440316029,4.23624641957693
112,"i",6,2.02373334991866,4.00733456563101
113,"-VII",7,1.40597954542921,3.50677224392406
114,"-III",5,5.6244229609696,3.24834555565626
115,"-VI",4,4.95969935724634,4.48084190665891
116,"V",3,4.83064644537238,5.00152801845265
