"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
33,35,"#IV",7.20465970174239,4.97485989599695,"-V",7.20465970174239,4.97485989599695,0
37,35,"#IV",7.71155307241015,4.29781054380798,"-V",7.71155307241015,4.29781054380798,0
55,35,"#IV",7.20465970174239,4.97485989599695,"-V",7.20465970174239,4.97485989599695,0
59,35,"#IV",7.71155307241015,4.29781054380798,"-V",7.71155307241015,4.29781054380798,0
65,26,"-ii",8.76759728322183,3.62856348388438,"#iio",8.76759728322183,3.62856348388438,0
65,34,"-ii",8.76759728322183,3.62856348388438,"-II+",8.76759728322183,3.62856348388438,0
65,37,"-ii",8.76759728322183,3.62856348388438,"#II",8.76759728322183,3.62856348388438,0
65,42,"-ii",8.76759728322183,3.62856348388438,"-iio",8.76759728322183,3.62856348388438,0
65,49,"-ii",8.76759728322183,3.62856348388438,"io",8.76759728322183,3.62856348388438,0
65,50,"-ii",8.76759728322183,3.62856348388438,"III+",8.76759728322183,3.62856348388438,0
65,51,"-ii",8.76759728322183,3.62856348388438,"ivo",8.76759728322183,3.62856348388438,0
65,57,"-ii",8.76759728322183,3.62856348388438,"-i",8.76759728322183,3.62856348388438,0
66,7,"v",6.93986353588715,4.04558533311315,"iii",6.93986353588715,4.04558533311315,0
70,26,"-ii",8.38018145603482,4.23536735701396,"#iio",8.38018145603482,4.23536735701396,0
70,34,"-ii",8.38018145603482,4.23536735701396,"-II+",8.38018145603482,4.23536735701396,0
70,37,"-ii",8.38018145603482,4.23536735701396,"#II",8.38018145603482,4.23536735701396,0
70,42,"-ii",8.38018145603482,4.23536735701396,"-iio",8.38018145603482,4.23536735701396,0
70,49,"-ii",8.38018145603482,4.23536735701396,"io",8.38018145603482,4.23536735701396,0
70,50,"-ii",8.38018145603482,4.23536735701396,"III+",8.38018145603482,4.23536735701396,0
70,51,"-ii",8.38018145603482,4.23536735701396,"ivo",8.38018145603482,4.23536735701396,0
70,57,"-ii",8.38018145603482,4.23536735701396,"-i",8.38018145603482,4.23536735701396,0
72,16,"iio",6.2104130172547,5.13319858014797,"-vii",6.2104130172547,5.13319858014797,0
74,26,"ivo",7.70588728298076,4.68277024976462,"#iio",7.70588728298076,4.68277024976462,0
74,34,"ivo",7.70588728298076,4.68277024976462,"-II+",7.70588728298076,4.68277024976462,0
74,37,"ivo",7.70588728298076,4.68277024976462,"#II",7.70588728298076,4.68277024976462,0
74,42,"ivo",7.70588728298076,4.68277024976462,"-iio",7.70588728298076,4.68277024976462,0
74,46,"ivo",7.70588728298076,4.68277024976462,"-ii",7.70588728298076,4.68277024976462,0
74,49,"ivo",7.70588728298076,4.68277024976462,"io",7.70588728298076,4.68277024976462,0
74,50,"ivo",7.70588728298076,4.68277024976462,"III+",7.70588728298076,4.68277024976462,0
74,57,"ivo",7.70588728298076,4.68277024976462,"-i",7.70588728298076,4.68277024976462,0
76,26,"ivo",6.6137441847479,5.09818463570374,"#iio",6.6137441847479,5.09818463570374,0
76,34,"ivo",6.6137441847479,5.09818463570374,"-II+",6.6137441847479,5.09818463570374,0
76,37,"ivo",6.6137441847479,5.09818463570374,"#II",6.6137441847479,5.09818463570374,0
76,42,"ivo",6.6137441847479,5.09818463570374,"-iio",6.6137441847479,5.09818463570374,0
76,46,"ivo",6.6137441847479,5.09818463570374,"-ii",6.6137441847479,5.09818463570374,0
76,49,"ivo",6.6137441847479,5.09818463570374,"io",6.6137441847479,5.09818463570374,0
76,50,"ivo",6.6137441847479,5.09818463570374,"III+",6.6137441847479,5.09818463570374,0
76,57,"ivo",6.6137441847479,5.09818463570374,"-i",6.6137441847479,5.09818463570374,0
80,26,"ivo",7.28698537588604,5.14405176405999,"#iio",7.28698537588604,5.14405176405999,0
80,34,"ivo",7.28698537588604,5.14405176405999,"-II+",7.28698537588604,5.14405176405999,0
80,37,"ivo",7.28698537588604,5.14405176405999,"#II",7.28698537588604,5.14405176405999,0
80,46,"ivo",7.28698537588604,5.14405176405999,"-ii",7.28698537588604,5.14405176405999,0
80,57,"ivo",7.28698537588604,5.14405176405999,"-i",7.28698537588604,5.14405176405999,0
82,26,"ivo",6.6137441847479,5.09818463570374,"#iio",6.6137441847479,5.09818463570374,0
82,34,"ivo",6.6137441847479,5.09818463570374,"-II+",6.6137441847479,5.09818463570374,0
82,37,"ivo",6.6137441847479,5.09818463570374,"#II",6.6137441847479,5.09818463570374,0
82,42,"ivo",6.6137441847479,5.09818463570374,"-iio",6.6137441847479,5.09818463570374,0
82,46,"ivo",6.6137441847479,5.09818463570374,"-ii",6.6137441847479,5.09818463570374,0
82,49,"ivo",6.6137441847479,5.09818463570374,"io",6.6137441847479,5.09818463570374,0
82,50,"ivo",6.6137441847479,5.09818463570374,"III+",6.6137441847479,5.09818463570374,0
82,57,"ivo",6.6137441847479,5.09818463570374,"-i",6.6137441847479,5.09818463570374,0
104,35,"#IV",7.20465970174239,4.97485989599695,"-V",7.20465970174239,4.97485989599695,0
108,35,"#IV",7.71155307241015,4.29781054380798,"-V",7.71155307241015,4.29781054380798,0
126,35,"#IV",7.20465970174239,4.97485989599695,"-V",7.20465970174239,4.97485989599695,0
130,35,"#IV",7.71155307241015,4.29781054380798,"-V",7.71155307241015,4.29781054380798,0
136,26,"-ii",8.76759728322183,3.62856348388438,"#iio",8.76759728322183,3.62856348388438,0
136,34,"-ii",8.76759728322183,3.62856348388438,"-II+",8.76759728322183,3.62856348388438,0
136,37,"-ii",8.76759728322183,3.62856348388438,"#II",8.76759728322183,3.62856348388438,0
136,42,"-ii",8.76759728322183,3.62856348388438,"-iio",8.76759728322183,3.62856348388438,0
136,49,"-ii",8.76759728322183,3.62856348388438,"io",8.76759728322183,3.62856348388438,0
136,50,"-ii",8.76759728322183,3.62856348388438,"III+",8.76759728322183,3.62856348388438,0
136,51,"-ii",8.76759728322183,3.62856348388438,"ivo",8.76759728322183,3.62856348388438,0
136,57,"-ii",8.76759728322183,3.62856348388438,"-i",8.76759728322183,3.62856348388438,0
