"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,15,"V",9,3.44311187951232,3.75063979810328,"V",9,3.44311187951232,3.75063979810328,
1,16,"I",8,1.69434064229449,4.16189333831781,"I",8,1.69434064229449,4.16189333831781,
1,17,"IV",8,4.35782815265024,3.3428491906295,"IV",8,4.35782815265024,3.3428491906295,
1,18,"V",7,2.04258675420787,3.9939749940485,"V",7,2.04258675420787,3.9939749940485,
1,19,"I",8,2.92501731866279,4.39153976537089,"I",8,2.92501731866279,4.39153976537089,
1,20,"vi",8,4.69105829473891,4.38224571422598,"iii",8,4.69705783301847,4.38224571422598,0.0059995382795659
1,21,"vi",7,4.46743266045335,4.64423440584812,"vi",7,2.00555431844968,3.96738036762808,
1,22,"IV",5,2.81991973793565,4.83990150381976,"IV",7,1.73643055800536,4.21206199183472,
1,23,"V",6,1.59387734271432,3.94783154170239,"V",6,0.371614690727804,1.8163378608383,
1,24,"IV",6,4.18973648167245,3.19583149183702,"IV",5,6.7236150205321,1.52993331381444,
1,25,"I",5,1.29960765397681,3.83063101383876,"I",4,2.72958766180835,4.69677295596224,
,,,,,,,,,,
2,47,"V",9,3.44311187951232,3.75063979810328,"V",9,3.44311187951232,3.75063979810328,
2,48,"I",8,1.69434064229449,4.16189333831781,"I",8,1.69434064229449,4.16189333831781,
2,49,"IV",8,4.35782815265024,3.3428491906295,"IV",8,4.35782815265024,3.3428491906295,
2,50,"V",7,2.04258675420787,3.9939749940485,"V",7,2.04258675420787,3.9939749940485,
2,51,"I",8,2.92501731866279,4.39153976537089,"I",8,2.92501731866279,4.39153976537089,
2,52,"vi",8,4.69105829473891,4.38224571422598,"iii",8,4.69705783301847,4.38224571422598,0.0059995382795659
2,53,"vi",7,4.46743266045335,4.64423440584812,"vi",7,2.00555431844968,3.96738036762808,
2,54,"IV",5,2.81991973793565,4.83990150381976,"IV",7,1.73643055800536,4.21206199183472,
2,55,"V",6,1.59387734271432,3.94783154170239,"V",6,0.371614690727804,1.8163378608383,
2,56,"IV",6,4.18973648167245,3.19583149183702,"IV",5,6.7236150205321,1.52993331381444,
2,57,"I",5,1.29960765397681,3.83063101383876,"I",4,2.72958766180835,4.69677295596224,
,,,,,,,,,,
3,26,"V",6,4.47056006614991,4.20382530406013,"V",6,4.47056006614991,4.20382530406013,
3,27,"I",5,2.81680013458341,4.47589055585761,"I",5,2.81680013458341,4.47589055585761,
3,28,"I",6,3.31472025434786,4.93222539060839,"I",6,3.31472025434786,4.93222539060839,
3,29,"IV",7,1.81275045003622,4.26529480368079,"IV",7,1.81275045003622,4.26529480368079,
3,30,"I",8,3.42271709778152,4.01194619245335,"I",8,3.42271709778152,4.01194619245335,
3,31,"V",7,2.1676057234012,4.03248236574267,"IV",7,2.20955381946461,4.03248236574267,0.0419480960634155
3,32,"IV",8,3.54681277192672,4.31377384050272,"IV",7,4.77571135121203,2.76589765552885,
3,33,"I",6,1.79482335609327,4.12482423837592,"I",6,3.02866418873979,4.86587308615978,
3,34,"vi",7,4.40086006767606,3.89957415811081,"vi",7,4.41089132135711,4.25425709064221,
3,35,"ii",6,1.06233548176788,3.33248033955622,"ii",6,4.14153859370605,4.0808184806482,
3,36,"IV",5,4.19257034850781,2.16541940293541,"IV",5,3.49818796328146,3.12172144964734,
,,,,,,,,,,
4,58,"V",6,4.47056006614991,4.20382530406013,"V",6,4.47056006614991,4.20382530406013,
4,59,"I",5,2.81680013458341,4.47589055585761,"I",5,2.81680013458341,4.47589055585761,
4,60,"I",6,3.31472025434786,4.93222539060839,"I",6,3.31472025434786,4.93222539060839,
4,61,"IV",7,1.81275045003622,4.26529480368079,"IV",7,1.81275045003622,4.26529480368079,
4,62,"I",8,3.42271709778152,4.01194619245335,"I",8,3.42271709778152,4.01194619245335,
4,63,"V",7,2.1676057234012,4.03248236574267,"IV",7,2.20955381946461,4.03248236574267,0.0419480960634155
4,64,"IV",8,3.54681277192672,4.31377384050272,"IV",7,4.77571135121203,2.76589765552885,
4,65,"vi",6,5.1752259414116,4.12482423837592,"vi",6,5.43263120191027,4.86587308615978,
4,66,"V",5,2.50014721847086,4.49868002017398,"V",4,2.50538503235334,4.08571592389163,
4,67,"IV",5,3.14667756727554,4.04418642750091,"IV",5,3.12797092994103,4.24404347246108,
4,68,"I",5,2.68879179818856,3.05233688201991,"I",5,1.2318574539642,3.59075473455902,
,,,,,,,,,,
5,69,"V",5,2.96357526073365,4.82229860410149,"V",5,2.96357526073365,4.82229860410149,
5,70,"I",6,3.11625344117441,4.37583214063505,"I",6,3.11625344117441,4.37583214063505,
5,71,"I",6,3.72230139701685,4.79328086142369,"I",6,3.72230139701685,4.79328086142369,
5,72,"IV",6,2.40785842839093,4.55954574382866,"IV",6,2.40785842839093,4.55954574382866,
5,73,"I",7,3.18271835324887,4.36603205767938,"I",7,3.18271835324887,4.36603205767938,
5,74,"V",7,2.1676057234012,4.03248236574267,"IV",7,2.20955381946461,4.03248236574267,0.0419480960634155
5,75,"IV",8,3.54681277192672,4.31377384050272,"IV",7,4.77571135121203,2.76589765552885,
5,76,"I",6,1.79482335609327,4.12482423837592,"I",6,3.02866418873979,4.86587308615978,
5,77,"r",7,3.36133150606781,3.89957415811081,"r",7,3.74919842104707,4.25425709064221,
5,78,"r",6,0.702410075832319,2.39670689803926,"r",5,1.55403645972243,3.33299402486005,
,,,,,,,,,,
6,13,"V",9,1.60161017836769,4.0386228743262,"V",9,1.60161017836769,4.0386228743262,
6,14,"IV",10,5.13526446327371,2.12305111833237,"IV",10,5.13526446327371,2.12305111833237,
6,15,"V",9,3.44311187951232,3.75063979810328,"V",9,3.44311187951232,3.75063979810328,
6,16,"I",8,1.69434064229449,4.16189333831781,"I",8,1.69434064229449,4.16189333831781,
6,17,"IV",8,4.35782815265024,3.3428491906295,"IV",8,4.35782815265024,3.3428491906295,
6,18,"V",7,2.04258675420787,3.9939749940485,"I",7,1.99415396194696,3.9939749940485,0.0484327922609089
6,19,"I",8,2.92501731866279,4.39153976537089,"I",8,3.47779410180733,4.60231958395651,
6,20,"vi",8,4.69105829473891,4.38224571422598,"vi",8,4.60559413135134,4.11450800048766,
6,21,"vi",7,4.46743266045335,4.64423440584812,"vi",7,3.66009643813938,4.3869340359981,
6,22,"IV",5,2.81991973793565,4.83990150381976,"IV",6,3.522092234142,4.75258599629212,
6,23,"V",6,1.59387734271432,3.94783154170239,"V",6,2.29255295530365,4.19451479021377,
,,,,,,,,,,
7,45,"V",9,1.60161017836769,4.0386228743262,"V",9,1.60161017836769,4.0386228743262,
7,46,"IV",10,5.13526446327371,2.12305111833237,"IV",10,5.13526446327371,2.12305111833237,
7,47,"V",9,3.44311187951232,3.75063979810328,"V",9,3.44311187951232,3.75063979810328,
7,48,"I",8,1.69434064229449,4.16189333831781,"I",8,1.69434064229449,4.16189333831781,
7,49,"IV",8,4.35782815265024,3.3428491906295,"IV",8,4.35782815265024,3.3428491906295,
7,50,"V",7,2.04258675420787,3.9939749940485,"I",7,1.99415396194696,3.9939749940485,0.0484327922609089
7,51,"I",8,2.92501731866279,4.39153976537089,"I",8,3.47779410180733,4.60231958395651,
7,52,"vi",8,4.69105829473891,4.38224571422598,"vi",8,4.60559413135134,4.11450800048766,
7,53,"vi",7,4.46743266045335,4.64423440584812,"vi",7,3.66009643813938,4.3869340359981,
7,54,"IV",5,2.81991973793565,4.83990150381976,"IV",6,3.522092234142,4.75258599629212,
7,55,"V",6,1.59387734271432,3.94783154170239,"V",6,2.29255295530365,4.19451479021377,
