"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20005892128806,4.79832085890759
4,"I",3,1.9811558436079,4.76168960224739
5,"iv",4,6.0087311852061,4.33150653502069
6,"IV",4,6.00527982678906,4.52849581107281
7,"I",3,5.79450388117739,4.80887279071534
8,"V",2,4.77749219970477,5.4156538082708
9,"vi",3,3.75491928556165,5.07559937523559
10,"iii",4,3.54816563289153,4.7759255044124
11,"IV",5,1.80192826778335,4.22760396573514
12,"V",6,3.50721072410699,4.63704153776405
13,"I",6,2.07161510506427,4.60582979040418
14,"iv",7,5.86493701595993,5.01143331457785
15,"IV",4,5.66911219417889,4.86760139650067
16,"I",3,5.79450388117739,4.80887279071534
17,"V",2,4.77749219970477,5.4156538082708
18,"vi",3,3.75491928556165,5.07559937523559
19,"iii",4,3.54816563289153,4.7759255044124
20,"v",5,7.22702863766823,4.22760396573514
21,"-VI",2,5.6463630453853,4.91009006443756
22,"I",2,5.3554944663673,5.30211440671148
23,"iii",2,4.81056828669077,5.39801975638217
24,"IV",3,2.62467373674531,4.83785597394675
25,"IV",4,3.95871073338715,4.92546512682075
26,"-III",4,5.29242305428791,4.79198758040641
27,"v",4,6.23662738445059,4.81877250854178
28,"-VI",2,4.76716663927324,5.28412464865493
29,"-VI",3,4.46152709759744,4.99210583584846
30,"I",3,4.62518052075794,4.89765532825485
31,"iv",3,6.07879543802419,5.06553182342515
32,"I",2,4.03413487213458,5.36141676786575
33,"iv",3,3.38797565461683,5.17357931875712
34,"I",4,2.46973781233266,4.97202241453968
35,"iv",5,2.49274436472824,4.78449229638439
36,"I",6,2.11730681982252,4.73801424099419
37,"I",7,3.71535160256457,4.5053049147292
38,"I",6,2.1731306800214,4.81935488416247
39,"iv",5,5.74978186621618,4.73383388003846
40,"IV",4,6.00527982678906,4.52849581107281
41,"I",3,5.79450388117739,4.80887279071534
42,"V",2,4.77749219970477,5.4156538082708
43,"vi",3,3.75491928556165,5.07559937523559
44,"iii",4,3.54816563289153,4.7759255044124
45,"IV",5,1.80192826778335,4.22760396573514
46,"V",6,3.50721072410699,4.63704153776405
47,"I",6,2.07161510506427,4.60582979040418
48,"iv",7,5.86493701595993,5.01143331457785
49,"IV",4,5.66911219417889,4.86760139650067
50,"I",3,5.79450388117739,4.80887279071534
51,"V",2,4.77749219970477,5.4156538082708
52,"vi",3,3.75491928556165,5.07559937523559
53,"iii",4,3.54816563289153,4.7759255044124
54,"v",5,7.22702863766823,4.22760396573514
55,"-VI",2,5.6463630453853,4.91009006443756
56,"I",2,5.3554944663673,5.30211440671148
57,"iii",2,4.81056828669077,5.39801975638217
58,"IV",3,2.62467373674531,4.83785597394675
59,"IV",4,3.95871073338715,4.92546512682075
60,"-III",4,5.29242305428791,4.79198758040641
61,"v",4,6.23662738445059,4.81877250854178
62,"-VI",2,4.76716663927324,5.28412464865493
63,"-VI",3,4.46152709759744,4.99210583584846
64,"I",3,4.62518052075794,4.89765532825485
65,"iv",3,6.07879543802419,5.06553182342515
66,"I",2,4.03413487213458,5.36141676786575
67,"iv",3,3.38797565461683,5.17357931875712
68,"I",4,2.46973781233266,4.97202241453968
69,"iv",5,2.49274436472824,4.78449229638439
70,"I",6,2.11730681982252,4.73801424099419
71,"I",7,3.71535160256457,4.5053049147292
72,"I",6,2.1731306800214,4.81935488416247
73,"iv",5,5.74978186621618,4.73383388003846
74,"IV",4,6.00527982678906,4.52849581107281
75,"I",3,5.79450388117739,4.80887279071534
76,"V",2,4.77749219970477,5.4156538082708
77,"vi",3,3.75491928556165,5.07559937523559
