"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
15,4,"I",2.63519816495588,4.78291493669009,"V",2.63235129724799,4.78291493669009,0.00284686770789389
27,4,"I",2.63519816495588,4.78291493669009,"V",2.63235129724799,4.78291493669009,0.00284686770789389
51,4,"I",2.63519816495588,4.78291493669009,"V",2.63235129724799,4.78291493669009,0.00284686770789389
9,12,"-VII",5.95653567566229,4.58858396533603,"i",5.962552112,4.58858396533603,0.00601643633771065
45,12,"-VII",5.80976653054711,4.64496517680874,"i",5.81578296688483,4.64496517680874,0.00601643633771154
10,9,"I",2.96035939389769,4.57700415938289,"IV",2.94714577875934,4.57700415938289,0.0132136151383544
46,9,"I",2.96035939389769,4.57700415938289,"IV",2.94714577875934,4.57700415938289,0.0132136151383544
9,14,"-VII",5.95653567566229,4.58858396533603,"-III",5.97379617931576,4.58858396533603,0.0172605036534765
45,14,"-VII",5.80976653054711,4.64496517680874,"-III",5.82702703420059,4.64496517680874,0.0172605036534765
18,13,"I",3.25099835114311,4.95626647973063,"-VII",3.22050128440985,4.95626647973063,0.0304970667332665
54,5,"-VII",3.22050128440985,4.95626647973063,"I",3.25099835114311,4.95626647973063,0.0304970667332665
44,13,"I",3.95341901873801,5.01253410764691,"-VII",4.00644682911074,5.01253410764691,0.0530278103727264
30,11,"vi",5.02023910672283,4.95626647973063,"v",4.96470412085178,4.95626647973063,0.0555349858710583
21,9,"-VII",3.98591559150398,4.58464962344745,"IV",3.91887100266345,4.58464962344745,0.0670445888405364
11,14,"vi",4.078090606486,4.66876447977219,"-III",4.00971973627751,4.66876447977219,0.0683708702084864
47,14,"vi",4.078090606486,4.66876447977219,"-III",4.00971973627751,4.66876447977219,0.0683708702084864
30,15,"vi",5.02023910672283,4.95626647973063,"-VI",4.95120431168231,4.95626647973063,0.0690347950405279
16,14,"-VII",7.34114219015468,2.48568053322821,"-III",7.41950542208805,2.48568053322821,0.0783632319333654
28,14,"-VII",7.34114219015468,2.48568053322821,"-III",7.41950542208805,2.48568053322821,0.0783632319333654
52,14,"-VII",7.34114219015468,2.48568053322821,"-III",7.41950542208805,2.48568053322821,0.0783632319333654
8,9,"I",3.33742271302341,5.00856057466837,"IV",3.41913888687176,5.00856057466837,0.0817161738483438
17,9,"I",2.95097703778387,4.79709582245291,"IV",2.86497910398256,4.79709582245291,0.0859979338013144
29,9,"I",2.95097703778387,4.79709582245291,"IV",2.86497910398256,4.79709582245291,0.0859979338013144
53,9,"I",2.95097703778387,4.79709582245291,"IV",2.86497910398256,4.79709582245291,0.0859979338013144
44,7,"I",3.95341901873801,5.01253410764691,"iii",3.86694330363919,5.01253410764691,0.0864757150988256
