"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47627240628701
2,"I",1,1.74864089588333,4.04693558372562
3,"V",2,3.960735056842,4.79674074848729
4,"IV",3,3.11871790892746,4.44560229792672
5,"V",4,2.54765574429779,4.3229337527225
6,"IV",5,3.87844672914853,3.39186221844309
7,"V",5,2.56580848958082,4.60168387259083
8,"I",6,3.43914840389847,4.35290717442819
9,"I",6,3.244023287907,4.89940535793629
10,"I",7,3.25046709796924,4.65934714657542
11,"I",7,2.56371004307405,4.12631223647439
12,"IV",7,2.85789460960315,4.645268897651
13,"IV",8,2.79032252817535,4.28600796325188
14,"IV",8,2.75922209326899,4.49720509581055
15,"I",9,2.70092893372019,3.41127291963863
16,"I",8,3.29825394540482,2.98234531822003
17,"-VII",7,4.13927643463381,5.01599892927772
18,"V",7,4.77324507272568,3.63745366303875
19,"I",5,1.38044808446658,3.97517578145919
20,"I",5,0.864480628610326,3.35594832460952
21,"IV",7,4.35570783815595,4.57629068394055
22,"IV",5,3.89836580988094,4.9840443863213
23,"IV",5,3.76980188018625,5.04167608780205
24,"I",6,2.69291563860035,4.0786314350911
25,"V",7,2.48317295429724,4.16796050064773
26,"-VII",6,4.806453560476,3.84806619568342
27,"I",6,2.29224593584467,3.36071582140892
28,"IV",5,6.25421311673821,2.85462244196848
29,"IV",3,4.29443846182996,5.22092452240711
30,"I",4,4.3577152124739,5.02873186540945
31,"I",4,3.31247840299007,5.03508341341728
32,"I",5,3.68109852090396,5.17507850510925
33,"V",6,4.06998564502661,5.05263801172012
34,"vi",7,3.88270533246993,3.95009077337278
35,"I",6,6.18979736907742,2.69758296138711
36,"IV",4,3.60659532935824,4.8090181401421
37,"I",4,3.166925204503,5.03502358281001
38,"-VII",5,5.2267317544157,4.94639066721685
39,"-VII",4,3.84372165120928,4.8924740772711
40,"V",4,5.26264363269379,3.64272821650448
41,"I",4,3.58164246667779,4.43505391600279
42,"I",4,4.12761564092495,5.00417416708494
43,"IV",4,3.85236630362917,5.24109984300463
44,"IV",5,3.89836580988094,4.9840443863213
45,"IV",5,3.76980188018625,5.04167608780205
46,"I",6,2.69291563860035,4.0786314350911
47,"V",7,2.48317295429724,4.16796050064773
48,"I",6,1.29126118877593,3.84806619568342
49,"I",7,1.11716601766451,3.70925033085936
50,"I",10,1.21002037117972,3.63941759245691
51,"IV",8,3.6630355823344,3.81737992645885
52,"-VII",8,5.19532455813746,4.59017256967672
53,"IV",5,2.9899049775197,4.80030742748223
54,"V",6,5.05351753118897,3.82519857950583
55,"I",4,2.47969086086147,4.67570750083688
56,"I",5,3.93860755677846,5.11617823217505
57,"IV",5,3.44353960273984,5.06613921506422
58,"IV",6,3.66731895768322,4.74807213462409
59,"IV",6,3.45099665331182,4.87185278523944
60,"I",7,2.87697522470915,3.86737959699428
61,"I",7,1.96432867266097,4.16796050064773
62,"-VII",8,4.34127161586962,4.70432878476503
63,"-VII",7,3.06346594906313,3.63745366303875
64,"I",7,3.57914551389636,4.68542585570403
65,"V",6,4.36394872172275,4.63539658354575
66,"IV",5,4.08859281503745,4.41980055193102
67,"V",4,3.24369201431077,4.82923646077686
68,"IV",5,3.31191446611651,4.40606337066281
69,"V",5,2.56580848958082,4.60168387259083
70,"I",6,3.43914840389847,4.35290717442819
71,"I",6,3.244023287907,4.89940535793629
72,"IV",7,3.38519147713431,4.65934714657542
73,"IV",7,2.41973586305799,4.45842658943483
74,"IV",8,3.45253218157956,4.53234600995769
75,"V",8,1.78792597121194,3.60491445270232
76,"I",7,1.75413684655934,4.09241766614084
77,"I",6,3.21999933962885,4.66850472470701
78,"I",6,2.30648655357996,4.65278605511081
79,"I",7,2.38730444038285,4.49120863038557
80,"vi",7,5.11120686730841,3.53006981260192
81,"vi",7,1.78128105688438,4.2036049146935
82,"vi",8,3.93825373142787,4.33792548624496
83,"vi",7,2.01208146364307,4.55175101643056
84,"vi",8,3.70132497562905,5.01577088623758
85,"vi",6,2.23503660394503,4.84439791757212
86,"III",7,4.5953886271753,4.5194341398008
87,"III",6,1.76398905953919,4.37054350671216
88,"vi",4,3.92330363893375,3.07495656526431
89,"vi",4,2.87661868158044,4.25212711960338
90,"vi",4,3.37849340055135,4.92014463225715
91,"vi",5,1.72358929725554,4.44579013727752
92,"-III",6,6.57319099429811,4.68541686396934
93,"-III",3,5.48517122505046,4.5368470282136
94,"-III",2,4.13737697144001,5.31975621473875
95,"-III",3,3.4990202371496,5.21061708344589
96,"vi",4,6.81614479309994,5.10191835230838
97,"vi",1,4.80732454153555,5.45966583293588
98,"vi",2,4.43167755428258,5.3856520018791
