"swapped_idx","alphabet_idx","true_chord","true_ic","true_ent","swapped_chord","swapped_ic","swapped_ent","dist"
10,39,"-vio",8.68384725264916,3.45455716212127,"#V",8.68384725264916,3.45455716212127,0
10,46,"-vio",8.68384725264916,3.45455716212127,"-ii",8.68384725264916,3.45455716212127,0
10,52,"-vio",8.68384725264916,3.45455716212127,"-I",8.68384725264916,3.45455716212127,0
22,39,"-vio",10.6676206435427,1.54376757021583,"#V",10.6676206435427,1.54376757021583,0
22,46,"-vio",10.6676206435427,1.54376757021583,"-ii",10.6676206435427,1.54376757021583,0
22,52,"-vio",10.6676206435427,1.54376757021583,"-I",10.6676206435427,1.54376757021583,0
96,39,"-vio",8.86568779959963,3.19182312304262,"#V",8.86568779959963,3.19182312304262,0
96,46,"-vio",8.86568779959963,3.19182312304262,"-ii",8.86568779959963,3.19182312304262,0
96,52,"-vio",8.86568779959963,3.19182312304262,"-I",8.86568779959963,3.19182312304262,0
12,5,"IV",5.1235274691696,5.45986919378854,"I",5.12423554036953,5.45986919378854,0.000708071199925442
24,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
38,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
62,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
76,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
98,5,"IV",5.1235274691696,5.45986919378854,"I",5.12423554036953,5.45986919378854,0.000708071199925442
111,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
125,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
139,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
153,9,"I",5.12423554036953,5.45986919378854,"IV",5.1235274691696,5.45986919378854,0.000708071199925442
50,10,"-VII",4.95859862630817,5.07772862782008,"II",4.95428716267579,5.07772862782008,0.00431146363238177
87,10,"-VII",5.21550235899035,4.74832369426604,"II",5.21119089535797,4.74832369426604,0.00431146363238177
11,19,"vi",6.20206408119464,5.21675494847072,"iv",6.1845766544658,5.21675494847072,0.0174874267288407
23,19,"vi",6.20206408119464,5.21675494847072,"iv",6.1845766544658,5.21675494847072,0.0174874267288407
97,19,"vi",6.20206408119464,5.21675494847072,"iv",6.1845766544658,5.21675494847072,0.0174874267288407
37,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
61,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
75,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
110,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
124,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
138,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
152,19,"vi",6.6529761012684,4.41875883156298,"iv",6.63548867453956,4.41875883156298,0.0174874267288416
45,6,"v",5.63896077870648,5.24068784350571,"VI",5.62033007536126,5.24068784350571,0.0186307033452131
13,5,"V",4.34067573206218,5.33830103506086,"I",4.32116692365893,5.33830103506086,0.0195088084032431
99,5,"V",4.34067573206218,5.33830103506086,"I",4.32116692365893,5.33830103506086,0.0195088084032431
83,9,"-VII",3.7869687952359,5.24068784350571,"IV",3.80811687978521,5.24068784350571,0.0211480845493108
42,3,"iii",4.75712444723348,4.97633539528934,"ii",4.73493231013371,4.97633539528934,0.0221921370997684
80,3,"iii",4.75712444723348,4.97633539528934,"ii",4.73493231013371,4.97633539528934,0.0221921370997684
36,25,"-vio",9.62493501521059,2.01547092100079,"#io",9.60227441779942,2.01547092100079,0.0226605974111713
60,25,"-vio",8.24556624897091,3.67419616149223,"#io",8.22290565155974,3.67419616149223,0.0226605974111713
74,25,"-vio",9.62493501521059,2.01547092100079,"#io",9.60227441779942,2.01547092100079,0.0226605974111713
109,25,"-vio",9.62493501521059,2.01547092100079,"#io",9.60227441779942,2.01547092100079,0.0226605974111713
123,25,"-vio",9.62493501521059,2.01547092100079,"#io",9.60227441779942,2.01547092100079,0.0226605974111713
137,25,"-vio",9.62493501521059,2.01547092100079,"#io",9.60227441779942,2.01547092100079,0.0226605974111713
151,25,"-vio",9.62493501521059,2.01547092100079,"#io",9.60227441779942,2.01547092100079,0.0226605974111713
47,3,"I",5.30812420651919,5.14583926084973,"ii",5.28482898608378,5.14583926084973,0.023295220435406
10,31,"-vio",8.68384725264916,3.45455716212127,"-viio",8.66038827982517,3.45455716212127,0.0234589728239882
96,31,"-vio",8.86568779959963,3.19182312304262,"-viio",8.84222882677565,3.19182312304262,0.0234589728239882
22,31,"-vio",10.6676206435427,1.54376757021583,"-viio",10.6441616707187,1.54376757021583,0.02345897282399
10,26,"-vio",8.68384725264916,3.45455716212127,"#iio",8.70769399460353,3.45455716212127,0.0238467419543671
10,34,"-vio",8.68384725264916,3.45455716212127,"-II+",8.70769399460353,3.45455716212127,0.0238467419543671
10,37,"-vio",8.68384725264916,3.45455716212127,"#II",8.70769399460353,3.45455716212127,0.0238467419543671
10,42,"-vio",8.68384725264916,3.45455716212127,"-iio",8.70769399460353,3.45455716212127,0.0238467419543671
10,49,"-vio",8.68384725264916,3.45455716212127,"io",8.70769399460353,3.45455716212127,0.0238467419543671
10,50,"-vio",8.68384725264916,3.45455716212127,"III+",8.70769399460353,3.45455716212127,0.0238467419543671
10,57,"-vio",8.68384725264916,3.45455716212127,"-i",8.70769399460353,3.45455716212127,0.0238467419543671
22,26,"-vio",10.6676206435427,1.54376757021583,"#iio",10.6914673854971,1.54376757021583,0.0238467419543671
22,34,"-vio",10.6676206435427,1.54376757021583,"-II+",10.6914673854971,1.54376757021583,0.0238467419543671
22,37,"-vio",10.6676206435427,1.54376757021583,"#II",10.6914673854971,1.54376757021583,0.0238467419543671
22,42,"-vio",10.6676206435427,1.54376757021583,"-iio",10.6914673854971,1.54376757021583,0.0238467419543671
22,49,"-vio",10.6676206435427,1.54376757021583,"io",10.6914673854971,1.54376757021583,0.0238467419543671
22,50,"-vio",10.6676206435427,1.54376757021583,"III+",10.6914673854971,1.54376757021583,0.0238467419543671
22,57,"-vio",10.6676206435427,1.54376757021583,"-i",10.6914673854971,1.54376757021583,0.0238467419543671
96,26,"-vio",8.86568779959963,3.19182312304262,"#iio",8.889534541554,3.19182312304262,0.0238467419543671
96,34,"-vio",8.86568779959963,3.19182312304262,"-II+",8.889534541554,3.19182312304262,0.0238467419543671
96,37,"-vio",8.86568779959963,3.19182312304262,"#II",8.889534541554,3.19182312304262,0.0238467419543671
96,42,"-vio",8.86568779959963,3.19182312304262,"-iio",8.889534541554,3.19182312304262,0.0238467419543671
96,49,"-vio",8.86568779959963,3.19182312304262,"io",8.889534541554,3.19182312304262,0.0238467419543671
96,50,"-vio",8.86568779959963,3.19182312304262,"III+",8.889534541554,3.19182312304262,0.0238467419543671
96,57,"-vio",8.86568779959963,3.19182312304262,"-i",8.889534541554,3.19182312304262,0.0238467419543671
49,10,"iii",4.81960340047419,5.33107055362872,"II",4.78501991203987,5.33107055362872,0.0345834884343246
11,10,"vi",6.20206408119464,5.21675494847072,"II",6.23768799092536,5.21675494847072,0.0356239097307212
11,13,"vi",6.20206408119464,5.21675494847072,"-VII",6.23768799092536,5.21675494847072,0.0356239097307212
11,14,"vi",6.20206408119464,5.21675494847072,"-III",6.23768799092536,5.21675494847072,0.0356239097307212
11,15,"vi",6.20206408119464,5.21675494847072,"-VI",6.23768799092536,5.21675494847072,0.0356239097307212
23,10,"vi",6.20206408119464,5.21675494847072,"II",6.23768799092536,5.21675494847072,0.0356239097307212
23,13,"vi",6.20206408119464,5.21675494847072,"-VII",6.23768799092536,5.21675494847072,0.0356239097307212
23,14,"vi",6.20206408119464,5.21675494847072,"-III",6.23768799092536,5.21675494847072,0.0356239097307212
