"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,42,"vi",4,3.15114745076769,5.03121521203211,"vi",4,3.15114745076769,5.03121521203211,
1,43,"II",5,4.7760422355497,4.70298276650573,"II",5,4.7760422355497,4.70298276650573,
1,44,"V",4,2.69694054621421,4.48183670861782,"V",4,2.69694054621421,4.48183670861782,
1,45,"IV",5,4.16303154171373,4.67377227311551,"IV",5,4.16303154171373,4.67377227311551,
1,46,"I",4,4.20545692238106,4.54709347916498,"I",4,4.20545692238106,4.54709347916498,
1,47,"IV",4,4.46592596111592,4.82344108251925,"V",4,4.47543840468957,4.82344108251925,0.00951244357364533
1,48,"V",4,3.51154887018445,5.04874040740779,"V",4,3.60080612305022,4.79099528739383,
1,49,"I",5,2.80644715912997,4.77624400816288,"I",5,3.80237904070733,4.49700561905764,
1,50,"IV",6,2.70757508515535,4.78116968380369,"IV",5,3.39381707328602,4.86037989050573,
1,51,"V",7,1.80322267558237,3.69915427413594,"V",6,2.27013125350734,4.1578674653005,
1,52,"I",8,1.59577570483706,4.08489006666474,"I",6,1.13290864802392,3.5732864856094,
,,,,,,,,,,
2,76,"vi",4,3.15114745076769,5.03121521203211,"vi",4,3.15114745076769,5.03121521203211,
2,77,"II",5,4.7760422355497,4.70298276650573,"II",5,4.7760422355497,4.70298276650573,
2,78,"V",4,2.69694054621421,4.48183670861782,"V",4,2.69694054621421,4.48183670861782,
2,79,"IV",5,4.16303154171373,4.67377227311551,"IV",5,4.16303154171373,4.67377227311551,
2,80,"I",4,4.20545692238106,4.54709347916498,"I",4,4.20545692238106,4.54709347916498,
2,81,"IV",4,4.46592596111592,4.82344108251925,"V",4,4.47543840468957,4.82344108251925,0.00951244357364533
2,82,"V",4,3.51154887018445,5.04874040740779,"V",4,3.60080612305022,4.79099528739383,
2,83,"I",5,2.80644715912997,4.77624400816288,"I",5,3.80237904070733,4.49700561905764,
2,84,"IV",6,2.70757508515535,4.78116968380369,"IV",5,3.39381707328602,4.86037989050573,
2,85,"V",7,1.80322267558237,3.69915427413594,"V",6,2.27013125350734,4.1578674653005,
2,86,"I",8,1.59577570483706,4.08489006666474,"I",6,1.13290864802392,3.5732864856094,
,,,,,,,,,,
3,100,"I",10,0.501155919155756,2.16616309384129,"I",10,0.501155919155756,2.16616309384129,
3,101,"I",10,0.67534126750608,2.56808898337488,"I",10,0.67534126750608,2.56808898337488,
3,102,"IV",10,0.685792019673528,2.72663995251459,"IV",10,0.685792019673528,2.72663995251459,
3,103,"V",10,0.201048777390491,1.16378950414172,"V",10,0.201048777390491,1.16378950414172,
3,104,"V",10,4.37486721710737,2.16616309384129,"V",10,4.37486721710737,2.16616309384129,
3,105,"V",10,2.6269806460508,4.38136411742012,"I",10,2.64605574519898,4.38136411742012,0.0190750991481821
3,106,"r",10,3.82576873864565,4.10116097913722,"r",8,5.04234050754364,1.89361641617917,
3,107,"r",4,1.47848105778935,3.14056917899405,"r",6,0.951848535451611,2.74806634793718,
,,,,,,,,,,
