"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"vi",2,4.42754217158364,4.7962006206721
4,"IV",3,2.74566524896309,4.86322935583356
5,"V",4,1.19627939163826,3.72660579822542
6,"I",5,1.29229915114957,3.69677643966231
7,"vi",6,2.19083506799169,4.42090445020065
8,"V",7,4.3980047548835,3.92120450804686
9,"V",7,3.64529727549207,4.32987167186609
10,"I",5,3.45323578239656,4.41002859879218
11,"vi",5,4.58388267632623,4.73269338827061
12,"IV",5,3.68502535104172,4.61708264991736
13,"V",5,2.28119139662324,4.33636750207135
14,"I",6,3.09019304916872,4.44624427993509
15,"vi",6,3.24070161417768,4.80099867756884
16,"V",7,4.09571212552543,4.4719581032106
17,"V",7,3.64529727549207,4.32987167186609
18,"I",5,3.45323578239656,4.41002859879218
19,"V",5,3.02568147784931,4.73269338827061
20,"vi",6,4.73896977128707,4.19305513708137
21,"iii",5,3.29951718481656,4.82664995184849
22,"IV",6,1.29448043006046,3.82326033458796
23,"V",7,1.66132102177354,4.0611282710554
24,"I",6,0.844456425554571,3.20822350024512
25,"I",8,5.04388418668752,3.76320199487384
26,"IV",5,4.21672400482454,4.98375206095214
27,"V",5,3.30415940365284,5.02315336491875
28,"IV",6,3.49471630146887,4.33548909386635
29,"-III",7,5.97294894477125,4.22346834632426
30,"IV",3,3.90040048554679,5.1045137357032
31,"V",4,1.39986526843629,3.79449083311617
32,"I",5,4.30210413484635,4.50861749755571
33,"IV",4,4.70439513729382,5.1962150992211
34,"V",4,2.79599199376882,4.78089945061638
35,"IV",5,3.85012579792063,4.98122286769263
36,"-III",6,5.9428742962582,4.26050052353127
37,"IV",3,3.90040048554679,5.1045137357032
38,"V",4,1.39986526843629,3.79449083311617
39,"I",5,4.30210413484635,4.50861749755571
40,"I",4,3.6179831642423,5.1962150992211
41,"vi",5,4.54813406599038,5.03112229597602
42,"IV",5,3.02826487887141,4.7741397728861
43,"V",6,0.703796123660336,2.67050858605354
44,"I",7,1.87685343751076,3.63464744636147
45,"vi",8,2.72956151102104,4.29975463462022
46,"V",8,3.74511636771779,3.89116747978468
47,"V",8,3.64529727549207,4.32987167186609
48,"I",5,3.45323578239656,4.41002859879218
49,"vi",5,4.58388267632623,4.73269338827061
50,"IV",5,3.68502535104172,4.61708264991736
51,"V",5,2.28119139662324,4.33636750207135
52,"I",6,3.09019304916872,4.44624427993509
53,"vi",6,3.24070161417768,4.80099867756884
54,"V",7,4.09571212552543,4.4719581032106
55,"V",7,3.64529727549207,4.32987167186609
56,"I",5,3.45323578239656,4.41002859879218
57,"V",5,3.02568147784931,4.73269338827061
58,"vi",6,4.73896977128707,4.19305513708137
59,"iii",5,3.29951718481656,4.82664995184849
60,"IV",6,1.29448043006046,3.82326033458796
61,"V",7,1.66132102177354,4.0611282710554
62,"I",6,0.844456425554571,3.20822350024512
63,"vi",8,4.29479900055041,3.76320199487384
64,"IV",6,4.02079127247883,4.21262916372501
65,"iv",5,6.5928693914476,4.44436491424721
66,"I",2,3.89070296044973,5.37393131877675
67,"r",3,2.85892359982173,5.31883788646164
68,"r",4,1.06219633287418,3.02780582886008
