"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"i",1,3.53531957968047,4.04565444768758
3,"i",2,1.85125750979379,4.58062289472694
4,"iv",3,5.10957766335027,4.24691615598501
5,"iv",4,2.08366871474772,4.68557444645545
6,"i",5,1.9321035549625,4.59333982744107
7,"i",6,1.1622665887337,3.62164868670209
8,"iv",7,2.73446931500605,3.68898579380543
9,"iv",7,2.14030698670785,4.5194711691549
10,"i",8,2.46487896985772,4.63120408053783
11,"i",8,0.950043659650926,3.29232112504214
12,"iv",10,1.70678120165736,3.78590762936372
13,"iv",10,1.11860486962308,3.51329156742126
14,"i",10,2.15883751228697,4.3677155667703
15,"i",8,0.950043659650926,3.29232112504214
16,"iv",10,1.70678120165736,3.78590762936372
17,"iv",10,1.11860486962308,3.51329156742126
18,"i",10,2.15883751228697,4.3677155667703
19,"i",8,0.950043659650926,3.29232112504214
20,"iv",10,1.70678120165736,3.78590762936372
21,"iv",10,1.11860486962308,3.51329156742126
22,"i",10,2.15883751228697,4.3677155667703
23,"i",8,0.950043659650926,3.29232112504214
24,"iv",10,1.70678120165736,3.78590762936372
25,"iv",10,1.11860486962308,3.51329156742126
26,"i",10,2.15883751228697,4.3677155667703
27,"i",8,0.950043659650926,3.29232112504214
28,"iv",10,1.70678120165736,3.78590762936372
29,"iv",10,1.11860486962308,3.51329156742126
30,"i",10,2.15883751228697,4.3677155667703
31,"i",8,0.950043659650926,3.29232112504214
32,"iv",10,1.70678120165736,3.78590762936372
33,"iv",10,1.11860486962308,3.51329156742126
34,"i",10,2.15883751228697,4.3677155667703
35,"i",8,0.950043659650926,3.29232112504214
36,"iv",10,1.70678120165736,3.78590762936372
37,"iv",10,1.11860486962308,3.51329156742126
38,"i",10,2.15883751228697,4.3677155667703
39,"i",8,0.950043659650926,3.29232112504214
40,"iv",10,1.70678120165736,3.78590762936372
41,"iv",10,1.11860486962308,3.51329156742126
42,"i",10,2.15883751228697,4.3677155667703
43,"i",8,0.950043659650926,3.29232112504214
44,"iv",10,1.70678120165736,3.78590762936372
45,"iv",10,1.11860486962308,3.51329156742126
46,"i",10,2.15883751228697,4.3677155667703
47,"i",8,0.950043659650926,3.29232112504214
48,"iv",10,1.70678120165736,3.78590762936372
49,"iv",10,1.11860486962308,3.51329156742126
50,"i",10,2.15883751228697,4.3677155667703
51,"i",8,0.950043659650926,3.29232112504214
52,"iv",10,1.70678120165736,3.78590762936372
53,"iv",10,1.11860486962308,3.51329156742126
54,"-VI",10,3.84307795295049,4.3677155667703
55,"v",6,4.07501930585033,3.70405735260101
56,"iv",4,1.14591157203798,3.68446091136898
57,"iv",5,3.15866861817203,5.09613868261053
58,"-VI",6,3.11772499333876,4.99863823076327
59,"v",4,0.918029101910622,3.35949020225041
60,"iv",4,0.646160676350869,2.71613986005059
61,"V",6,5.29708891325607,3.73877915550114
62,"i",4,2.61010128077601,4.67357676550136
63,"i",4,4.86572512312759,2.84783952544153
64,"iv",4,4.27398905304292,4.56183635137271
65,"iv",4,2.55074370972655,4.70391991554183
66,"i",5,2.85196171828451,4.66968221222971
67,"i",6,0.950043659650928,3.29232112504214
68,"iv",7,2.12192560796441,3.77880298114494
69,"iv",8,1.54513735845646,4.11301142961841
70,"i",9,1.70571628552835,4.23296347696577
71,"i",8,0.950043659650926,3.29232112504214
72,"iv",10,1.70678120165736,3.78590762936372
73,"iv",10,1.11860486962308,3.51329156742126
74,"i",10,2.15883751228697,4.3677155667703
75,"i",8,0.950043659650926,3.29232112504214
76,"iv",10,1.70678120165736,3.78590762936372
77,"iv",10,1.11860486962308,3.51329156742126
78,"i",10,2.15883751228697,4.3677155667703
79,"i",8,0.950043659650926,3.29232112504214
80,"iv",10,1.70678120165736,3.78590762936372
81,"iv",10,1.11860486962308,3.51329156742126
82,"i",10,2.15883751228697,4.3677155667703
83,"i",8,0.950043659650926,3.29232112504214
84,"iv",10,1.70678120165736,3.78590762936372
85,"iv",10,1.11860486962308,3.51329156742126
86,"i",10,2.15883751228697,4.3677155667703
87,"i",8,0.950043659650926,3.29232112504214
88,"iv",10,1.70678120165736,3.78590762936372
89,"iv",10,1.11860486962308,3.51329156742126
90,"i",10,2.15883751228697,4.3677155667703
91,"i",8,0.950043659650926,3.29232112504214
92,"iv",10,1.70678120165736,3.78590762936372
93,"iv",10,1.11860486962308,3.51329156742126
94,"i",10,2.15883751228697,4.3677155667703
95,"i",8,0.950043659650926,3.29232112504214
96,"iv",10,1.70678120165736,3.78590762936372
97,"iv",10,1.11860486962308,3.51329156742126
98,"i",10,2.15883751228697,4.3677155667703
99,"i",8,0.950043659650926,3.29232112504214
100,"iv",10,1.70678120165736,3.78590762936372
101,"iv",10,1.11860486962308,3.51329156742126
102,"i",10,2.15883751228697,4.3677155667703
103,"i",8,0.950043659650926,3.29232112504214
104,"iv",10,1.70678120165736,3.78590762936372
105,"iv",10,1.11860486962308,3.51329156742126
106,"i",10,2.15883751228697,4.3677155667703
107,"i",8,0.950043659650926,3.29232112504214
108,"iv",10,1.70678120165736,3.78590762936372
109,"iv",10,1.11860486962308,3.51329156742126
110,"i",10,2.15883751228697,4.3677155667703
111,"i",8,0.950043659650926,3.29232112504214
112,"iv",10,1.70678120165736,3.78590762936372
113,"iv",10,1.11860486962308,3.51329156742126
114,"i",10,2.15883751228697,4.3677155667703
115,"i",8,0.950043659650926,3.29232112504214
116,"iv",10,1.70678120165736,3.78590762936372
117,"iv",10,1.11860486962308,3.51329156742126
118,"i",10,2.15883751228697,4.3677155667703
119,"i",8,0.950043659650926,3.29232112504214
120,"iv",10,1.70678120165736,3.78590762936372
121,"iv",10,1.11860486962308,3.51329156742126
122,"i",10,2.15883751228697,4.3677155667703
123,"i",8,0.950043659650926,3.29232112504214
124,"iv",10,1.70678120165736,3.78590762936372
125,"iv",10,1.11860486962308,3.51329156742126
126,"i",10,2.15883751228697,4.3677155667703
127,"i",8,0.950043659650926,3.29232112504214
128,"iv",10,1.70678120165736,3.78590762936372
129,"iv",10,1.11860486962308,3.51329156742126
130,"i",10,2.15883751228697,4.3677155667703
131,"i",8,0.950043659650926,3.29232112504214
132,"iv",10,1.70678120165736,3.78590762936372
133,"iv",10,1.11860486962308,3.51329156742126
134,"r",10,3.71340341201469,4.3677155667703
