"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"I",2,2.20046829427291,4.79859356102467
4,"I",3,1.98156719156254,4.76194456656204
5,"I",4,1.5798194038242,4.43687984018319
6,"I",5,1.2616926996204,3.88650960547304
7,"I",6,1.88979591077031,4.66416159969298
8,"IV",7,4.0429459126919,4.5391173051375
9,"V",8,3.9192932330913,4.32420398562821
10,"I",8,1.31019637130229,3.56517850025693
11,"I",9,2.2917788481024,4.30028416336246
12,"V",10,4.15140731331968,3.79202335657543
13,"V",7,3.78206077370727,4.16357390467151
14,"III",6,5.58498887547622,4.81860035859603
15,"III",4,0.709917486014244,2.5936056466811
16,"vi",4,5.05734562062166,3.2021501223305
17,"vi",3,2.45590120835377,4.8337559641574
18,"IV",4,4.54424455472443,4.79612491101716
19,"V",4,3.81602286926849,4.66602625616395
20,"I",4,2.56331164248104,4.8457433247172
21,"I",5,3.21545364547591,5.02105571404225
22,"I",6,2.75189406825336,4.67669554342149
23,"I",7,2.13188231533992,4.4206766570442
24,"IV",8,3.34433029197611,4.40580889355517
25,"V",8,4.13183593531468,4.18142395574489
26,"I",7,1.44943481714958,3.65280389945534
27,"I",8,1.04313959715859,3.37603669712942
28,"V",9,3.83913545335817,4.2163931607554
29,"V",7,3.78206077370727,4.16357390467151
30,"III",6,5.58498887547622,4.81860035859603
31,"III",4,0.709917486014244,2.5936056466811
32,"vi",4,5.05734562062166,3.2021501223305
33,"vi",3,2.45590120835377,4.8337559641574
34,"IV",4,4.54424455472443,4.79612491101716
35,"V",4,3.81602286926849,4.66602625616395
36,"I",4,2.56331164248104,4.8457433247172
37,"I",5,3.21545364547591,5.02105571404225
38,"IV",6,2.86983118010448,4.67669554342149
39,"IV",7,2.27252330588895,4.50009958805069
40,"iii",7,6.32978251831412,2.59464273210964
41,"iii",5,4.5868119506167,4.48942805732119
42,"IV",4,3.35005196044411,4.95930009978576
43,"IV",5,1.54883381888718,4.11027677241743
44,"I",5,3.77915433069405,4.49118249595791
45,"I",5,1.65786643495119,4.32822916926761
46,"IV",6,3.30978023211813,4.75316137944748
47,"IV",6,1.96378134153765,4.59235111738148
48,"iii",7,5.15311797001009,4.7414198366452
49,"iii",5,4.5868119506167,4.48942805732119
50,"vi",4,4.35691669567229,4.95930009978576
51,"II",3,5.03425837175825,4.81144882839572
52,"IV",3,4.81357986993078,4.55064773432386
53,"V",3,3.26135486635585,5.00499111946689
54,"I",4,2.20607712207643,4.70541033727465
55,"I",5,3.28841464516418,5.05916691084254
56,"IV",6,4.18388087450799,5.01835840876345
57,"V",5,3.304868334866,5.02295398495309
58,"I",6,2.02499383101357,4.35454575415563
59,"I",7,3.39895184820346,5.07853611958987
60,"V",8,3.90598643320767,4.75701076229446
61,"V",7,3.78206077370727,4.16357390467151
62,"III",6,5.58498887547622,4.81860035859603
63,"III",4,0.709917486014244,2.5936056466811
64,"vi",4,5.05734562062166,3.2021501223305
65,"vi",3,2.45590120835377,4.8337559641574
66,"IV",4,4.54424455472443,4.79612491101716
67,"V",4,3.81602286926849,4.66602625616395
68,"I",4,2.56331164248104,4.8457433247172
69,"I",5,3.21545364547591,5.02105571404225
70,"I",6,2.75189406825336,4.67669554342149
71,"I",7,2.13188231533992,4.4206766570442
72,"IV",8,3.34433029197611,4.40580889355517
73,"V",8,4.13183593531468,4.18142395574489
74,"I",7,1.44943481714958,3.65280389945534
75,"I",8,1.04313959715859,3.37603669712942
76,"V",9,3.83913545335817,4.2163931607554
77,"V",7,3.78206077370727,4.16357390467151
78,"III",6,5.58498887547622,4.81860035859603
79,"III",4,0.709917486014244,2.5936056466811
80,"vi",4,5.05734562062166,3.2021501223305
81,"vi",3,2.45590120835377,4.8337559641574
82,"IV",4,4.54424455472443,4.79612491101716
83,"V",4,3.81602286926849,4.66602625616395
84,"I",4,2.56331164248104,4.8457433247172
85,"I",5,3.21545364547591,5.02105571404225
86,"IV",6,2.86983118010448,4.67669554342149
87,"V",7,3.18918642682946,4.50009958805069
88,"I",7,1.65777850535628,3.99417721767941
89,"I",8,3.71688039012348,4.62744908241581
90,"IV",8,2.86163090997778,4.75701076229446
91,"V",9,1.60161017836769,4.0386228743262
92,"I",10,0.500021820987021,2.15452137207541
93,"I",10,0.787327247159459,2.88284808089944
94,"r",10,4.39819950469661,2.69879176005069
95,"r",5,0.529699803404915,2.05846754522109
