"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,23,"I",9,1.01431241762094,3.41530278660338,"I",9,1.01431241762094,3.41530278660338,
1,24,"V",10,1.68705053689177,4.23201413463685,"V",10,1.68705053689177,4.23201413463685,
1,25,"I",10,1.58174394770361,3.94915964490135,"I",10,1.58174394770361,3.94915964490135,
1,26,"II",10,6.78533881745787,3.40972904377703,"II",10,6.78533881745787,3.40972904377703,
1,27,"II",5,4.65881387614837,4.01292052188004,"II",5,4.65881387614837,4.01292052188004,
1,28,"VI",4,5.9005664323103,4.8735863223597,"-II",4,5.92931516842453,4.8735863223597,0.0287487361142267
1,29,"VI",2,3.82179608654756,5.30327510878119,"VI",3,6.86619950247693,4.49915763670473,
1,30,"II",3,2.48864420706462,4.74621321921981,"II",1,4.49542083161568,5.4074667874647,
1,31,"II",4,3.36032919644234,4.19017422011037,"II",2,3.74532135456263,5.19784660519091,
1,32,"VI",4,6.32112962128151,4.31324088831923,"VI",3,5.85066598613552,5.05228922626553,
1,33,"II",2,3.99057047736376,5.30327510878119,"II",2,3.99057047736376,5.30327510878119,
,,,,,,,,,,
2,27,"II",5,4.65881387614837,4.01292052188004,"II",5,4.65881387614837,4.01292052188004,
2,28,"VI",4,5.9005664323103,4.8735863223597,"VI",4,5.9005664323103,4.8735863223597,
2,29,"VI",2,3.82179608654756,5.30327510878119,"VI",2,3.82179608654756,5.30327510878119,
2,30,"II",3,2.48864420706462,4.74621321921981,"II",3,2.48864420706462,4.74621321921981,
2,31,"II",4,3.36032919644234,4.19017422011037,"II",4,3.36032919644234,4.19017422011037,
2,32,"VI",4,6.32112962128151,4.31324088831923,"-II",4,6.34987835739574,4.31324088831923,0.0287487361142267
2,33,"II",2,3.99057047736376,5.30327510878119,"II",3,4.6715416422136,4.49915763670473,
2,34,"II",3,4.06454316664297,4.86601028945867,"II",3,3.94901747386173,4.63033401278658,
2,35,"II",3,3.56561089062721,5.05228922626553,"II",3,2.23524046651686,4.93894443595786,
2,36,"VI",4,6.36553760033479,4.23458203971471,"VI",4,6.49942304559321,3.95245150293113,
2,37,"VI",2,3.82179608654756,5.30327510878119,"VI",2,3.82179608654756,5.30327510878119,
,,,,,,,,,,
3,31,"II",4,3.36032919644234,4.19017422011037,"II",4,3.36032919644234,4.19017422011037,
3,32,"VI",4,6.32112962128151,4.31324088831923,"VI",4,6.32112962128151,4.31324088831923,
3,33,"II",2,3.99057047736376,5.30327510878119,"II",2,3.99057047736376,5.30327510878119,
3,34,"II",3,4.06454316664297,4.86601028945867,"II",3,4.06454316664297,4.86601028945867,
3,35,"II",3,3.56561089062721,5.05228922626553,"II",3,3.56561089062721,5.05228922626553,
3,36,"VI",4,6.36553760033479,4.23458203971471,"-II",4,6.39428633644901,4.23458203971471,0.0287487361142267
3,37,"VI",2,3.82179608654756,5.30327510878119,"VI",3,6.86619950247693,4.49915763670473,
3,38,"II",3,2.48864420706462,4.74621321921981,"II",1,4.49542083161568,5.4074667874647,
3,39,"II",4,3.36032919644234,4.19017422011037,"II",2,3.74532135456263,5.19784660519091,
3,40,"VI",4,6.32112962128151,4.31324088831923,"VI",3,5.85066598613552,5.05228922626553,
3,41,"II",2,3.99057047736376,5.30327510878119,"II",2,3.99057047736376,5.30327510878119,
,,,,,,,,,,
4,35,"II",3,3.56561089062721,5.05228922626553,"II",3,3.56561089062721,5.05228922626553,
4,36,"VI",4,6.36553760033479,4.23458203971471,"VI",4,6.36553760033479,4.23458203971471,
4,37,"VI",2,3.82179608654756,5.30327510878119,"VI",2,3.82179608654756,5.30327510878119,
4,38,"II",3,2.48864420706462,4.74621321921981,"II",3,2.48864420706462,4.74621321921981,
4,39,"II",4,3.36032919644234,4.19017422011037,"II",4,3.36032919644234,4.19017422011037,
4,40,"VI",4,6.32112962128151,4.31324088831923,"-II",4,6.34987835739574,4.31324088831923,0.0287487361142267
4,41,"II",2,3.99057047736376,5.30327510878119,"II",3,4.6715416422136,4.49915763670473,
4,42,"VI",3,3.59832796547304,4.86601028945867,"VI",3,5.84929465201217,4.63033401278658,
4,43,"II",4,2.24504961060148,4.70363796900081,"II",2,3.99057047736376,5.30327510878119,
4,44,"VI",5,2.35045946620767,4.40108194253415,"VI",3,3.59832796547304,4.86601028945867,
4,45,"II",6,2.2639119744269,4.11612058635924,"II",4,2.24504961060148,4.70363796900081,
,,,,,,,,,,
5,47,"II",6,2.2639119744269,4.11612058635924,"II",6,2.2639119744269,4.11612058635924,
5,48,"VI",6,2.35045946620767,4.40108194253415,"VI",6,2.35045946620767,4.40108194253415,
5,49,"II",6,2.2639119744269,4.11612058635924,"II",6,2.2639119744269,4.11612058635924,
5,50,"II",6,4.40329716534315,4.40108194253415,"II",6,4.40329716534315,4.40108194253415,
