"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53054875818109,5.47627240628701
2,"i",1,3.53521349006188,4.04548618273205
3,"i",2,1.85112413711529,4.58064686348215
4,"ii",3,6.15822553391042,4.115219505008
5,"V",3,3.27228385721989,4.47196366666752
6,"v",3,6.84793272694938,3.36284025633233
7,"iio",3,7.12878240324787,4.39523551951658
8,"iv",2,6.41748207065716,4.96638030149708
9,"V",1,5.00394131239108,5.45929794115661
10,"V",2,3.73826485198323,5.28929567234358
11,"I",3,3.41481081034945,5.07341220880406
12,"I",4,2.42487072703011,4.91644739062988
13,"I",5,3.35619166762733,5.16111183811
14,"I",6,1.86240078576651,4.55272290803072
15,"I",7,2.97633172533915,4.40879901452403
16,"I",7,2.14481653579609,4.58782221448342
17,"I",8,2.55661881502097,4.80339457311208
18,"I",9,2.2408791038947,4.72325158926274
19,"I",10,2.13280232511939,4.41182573775979
20,"I",10,1.01719115568388,3.59288189336606
21,"-VII",10,6.03173663915257,2.33049678968012
22,"-VII",10,3.12970066492528,3.99000674026844
23,"-VI",10,3.36295561329662,3.97806973158165
24,"-VI",4,0.568466303077757,2.56106189696488
25,"V",5,0.703932605256557,2.86199432775519
26,"V",6,0.335326874145995,1.68944720237813
27,"I",7,0.492805716148644,2.27124125442787
28,"-VII",10,6.53394725271891,3.27495793937754
29,"-III",4,5.629487879011,3.96445327065519
30,"IV",3,3.67623898979578,5.01918982938279
31,"I",4,4.80505808782249,4.25263468593585
32,"-VII",3,5.31196095833774,5.23679589142987
33,"-III",3,4.61012219139535,4.77136878365852
34,"IV",4,3.98122070419929,4.47780201444108
35,"I",4,4.80505808782249,4.25263468593585
36,"I",3,3.47414595706795,5.23679589142987
37,"-VII",4,3.88258146632283,5.05066139511686
38,"-VII",5,2.40017584191047,4.20509241406634
39,"-VI",6,4.52321992590225,4.28679350236409
40,"-VI",4,0.568466303077757,2.56106189696488
41,"V",5,0.703932605256557,2.86199432775519
42,"V",6,0.335326874145995,1.68944720237813
43,"I",7,0.492805716148644,2.27124125442787
44,"-VII",9,6.05302025404527,4.07505392450909
45,"-III",4,5.629487879011,3.96445327065519
46,"IV",3,3.67623898979578,5.01918982938279
47,"I",4,4.80505808782249,4.25263468593585
48,"-VII",3,5.31196095833774,5.23679589142987
49,"-III",3,4.61012219139535,4.77136878365852
50,"IV",4,3.98122070419929,4.47780201444108
51,"IV",4,3.91685265932326,4.25263468593585
52,"V",4,4.39435253905858,4.84425520453788
53,"I",4,2.81685700647584,4.87905949515414
54,"IV",5,4.34284139364106,4.97400422445915
55,"V",5,2.60947115224856,4.57380645052241
56,"I",6,1.47540145409555,4.21733027699027
57,"IV",7,3.10437886946284,4.84478536875658
58,"V",8,1.44960260593513,3.71119498666857
59,"I",9,1.56736175346775,4.10918948687228
60,"IV",10,2.95531819230454,4.90222253431406
61,"I",10,3.49245394505675,1.82526355444499
62,"I",10,2.86339503689663,4.17994613352242
63,"I",10,2.56021880730598,4.52906921292154
64,"I",9,1.88005369171658,4.31302788384807
65,"I",8,2.6984064103689,4.43913564961519
66,"I",8,2.39400270451366,4.74947809003334
67,"I",9,1.55012478352515,4.17200393717265
68,"I",10,2.20954067794619,4.36220864391256
69,"-VII",10,5.07834487902373,3.85926261279106
70,"-VII",10,3.03252807385582,3.82988075879296
71,"-VI",10,3.36295561329662,3.97806973158165
72,"-VI",4,0.568466303077757,2.56106189696488
